frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
311,0.057187,0.026717,-0.016692,0.007879,-0.000598,0.008916,-0.390255,-0.076673,-0.311523,-0.025598,0.076195,0.030578,-0.063669,-0.000484,-0.004292,-0.004815,-0.000558,0.016615,-0.027352,-1.005889
312,0.057521,0.026753,-0.016432,0.007342,0.003515,0.003107,-0.084892,-0.150706,0.119675,0.023879,0.076158,0.03033,-0.0638,-0.000448,-0.003965,-0.004465,-0.003929,0.007625,-0.01087,-1.006052
313,0.05783,0.026692,-0.016242,0.008162,-0.004006,0.004842,-0.01882,-0.107756,0.182089,0.080378,0.076131,0.030129,-0.063918,-0.000425,-0.009064,0.00015,-0.035991,0.03184,-0.047706,-1.005889
314,0.057997,0.026641,-0.016189,0.007588,0.000656,-0.000299,0.004202,-0.015564,0.030361,0.116955,0.07613,0.030055,-0.06397,-0.000298,-0.002615,-0.002959,-0.000635,0.015347,-0.025357,-1.006052
315,0.058317,0.026503,-0.016116,0.008348,-0.005948,0.002527,-0.032582,-0.007798,0.010409,0.164146,0.076122,0.029968,-0.064037,-9e-05,-0.000794,-0.0009,2.4e-05,-9e-06,2e-06,-1.005726
316,0.058604,0.026307,-0.01605,0.007684,-0.000265,-0.001405,0.003001,-0.015983,0.029108,0.184231,0.076122,0.029972,-0.06404,0.000101,0.000887,0.001004,1.6e-05,-1.6e-05,4e-05,-1.005889
317,0.058851,0.026123,-0.015933,0.008253,-0.004711,0.003986,-0.033616,-0.007159,0.010379,0.205785,0.076121,0.030009,-0.063991,0.000149,0.001313,0.001486,1.3e-05,-4e-06,1.3e-05,-1.006379
318,0.058942,0.026032,-0.015851,0.000646,-0.005379,0.00428,-0.035273,0.007476,-0.019187,0.215582,0.076129,0.03003,-0.063959,0.000113,0.000999,0.001131,1.3e-05,5e-06,7e-06,-1.006542
319,0.059075,0.025795,-0.01566,0.000654,-0.005466,0.00418,-0.035803,0.007889,-0.019125,0.226849,0.076144,0.030056,-0.063931,2.2e-05,0.000201,0.000226,6e-06,-4e-06,-1.1e-05,-1.006542
320,0.059141,0.02553,-0.015443,0.000613,-0.005049,0.004677,-0.036014,0.007884,-0.019338,0.229625,0.076154,0.030052,-0.063935,-2.3e-05,-0.000192,-0.000218,1e-05,-3e-06,1.2e-05,-1.006542
321,0.059152,0.025396,-0.015313,0.001242,-0.010174,0.009272,-0.081317,0.019806,-0.041433,0.229625,0.076159,0.030045,-0.063943,-2.6e-05,-0.000227,-0.000257,1.2e-05,1e-05,1.9e-05,-1.006705
322,0.05922,0.025223,-0.015084,0.000496,-0.003793,0.00617,0.295168,-0.564818,-0.34015,0.226849,0.076165,0.030048,-0.063947,0.0,3e-06,4e-06,-8e-06,-2.4e-05,7e-06,-1.006705
323,0.059399,0.025146,-0.014831,0.00798,-0.001691,0.007561,0.149314,-0.43003,0.024447,0.220155,0.07616,0.030059,-0.063943,5e-06,4.8e-05,5.3e-05,3e-06,-0.0,-3.1e-05,-1.006705
324,0.059648,0.025118,-0.01454,0.007858,-0.000874,0.008493,-1.250091,-2.093363,1.73311,0.216236,0.076154,0.030069,-0.063954,-2.3e-05,-0.000213,-0.000242,5e-06,-6e-06,8e-06,-1.006705
325,0.059789,0.025116,-0.014387,0.007822,-0.000147,0.009359,0.020595,-0.152267,-0.021584,0.214766,0.076159,0.030069,-0.063962,-8e-06,-8.7e-05,-9.9e-05,6e-06,4e-06,1.8e-05,-1.006705
326,0.060096,0.025143,-0.014024,0.007766,0.000301,0.009859,-0.094715,-0.583494,-0.61421,0.209377,0.076165,0.030069,-0.063963,-0.0,4e-06,6e-06,-6e-06,-1.3e-05,7e-06,-1.006542
327,0.06041,0.025156,-0.013608,0.008339,-0.004294,0.015039,0.070871,-0.353531,0.038265,0.200233,0.076171,0.030069,-0.063963,-3e-06,2e-06,4e-06,-1.2e-05,-2.5e-05,-7e-06,-1.006705
328,0.060579,0.025164,-0.01337,0.007577,0.001923,0.011705,0.150503,-0.44057,0.047628,0.195824,0.076165,0.030073,-0.063966,-3e-06,1e-06,6e-06,-7e-06,-2e-05,1e-05,-1.006705
329,0.060941,0.025168,-0.01283,0.008154,-0.002728,0.016796,0.016094,-0.26806,0.118878,0.187986,0.076165,0.030076,-0.063962,-1e-06,1.8e-05,2.4e-05,-6e-06,-1.6e-05,-2.7e-05,-1.006705
330,0.061288,0.025097,-0.012243,0.015837,-0.003069,0.015256,-0.038117,-0.178424,0.173048,0.182598,0.076171,0.030076,-0.06397,-6.5e-05,-0.000567,-0.000642,-0.0,-4e-06,1.7e-05,-1.006705
331,0.061568,0.024955,-0.011681,0.008345,-0.0047,0.014439,-0.074954,-0.09852,0.183737,0.173943,0.076187,0.030086,-0.063983,-1e-06,5e-06,6e-06,-1e-05,-2e-05,1.7e-05,-1.006869
332,0.06166,0.024881,-0.011432,0.000198,-0.00112,0.009168,0.025572,-0.120748,-0.067587,0.167085,0.076193,0.03009,-0.063986,-2e-06,3e-06,6e-06,-1.4e-05,-2.2e-05,7e-06,-1.006542
333,0.06177,0.024755,-0.011034,0.007935,-0.00182,0.007263,-0.049189,0.006649,0.011489,0.147817,0.076204,0.030098,-0.063993,-4e-06,1e-06,5e-06,-1.6e-05,-3.2e-05,1e-06,-1.006542
334,0.061799,0.024716,-0.010839,-0.000172,0.001486,0.001694,-0.017226,0.018061,0.00363,0.113036,0.076204,0.030099,-0.063999,-1e-06,4e-06,7e-06,-7e-06,1e-06,1.8e-05,-1.006869
