frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
20,0.045311,0.022139,-0.025768,-0.008905,0.011946,-0.006029,0.098147,-0.177776,0.390991,-0.148719,0.074989,0.017338,-0.064228,-1e-06,1e-06,3e-06,5e-06,-1.8e-05,1.4e-05,-0.556187
21,0.044667,0.022668,-0.026049,-0.017778,0.023002,-0.013321,-4.516736,-1.846339,-1.912095,-0.110999,0.074989,0.017352,-0.064234,4e-06,4.8e-05,6.2e-05,4e-06,-2e-05,8e-06,-0.546389
22,0.044289,0.023078,-0.02627,-0.017702,0.023719,-0.012359,-0.156745,-0.767892,1.032065,-0.0416,0.074977,0.017357,-0.064237,-1e-06,-5e-06,-2e-06,-4e-06,8e-06,-9e-06,-0.527284
23,0.043608,0.02428,-0.026912,-0.010704,0.036201,-0.019588,-0.441709,-2.069578,2.728918,0.208724,0.074883,0.017393,-0.06425,-0.00789,0.005763,-0.003909,0.036378,-0.001215,-0.005312,-0.433066
24,0.043217,0.025682,-0.027641,-0.010637,0.036377,-0.019376,0.112748,-1.289026,2.006385,0.430309,0.074647,0.017509,-0.064314,-0.007813,0.006323,-0.003191,-0.019141,0.101579,-0.203231,-0.276143
25,0.043078,0.026269,-0.027966,-0.001954,0.024016,-0.014025,-3.3581,-3.517236,-1.910126,0.483706,0.074452,0.017628,-0.064382,-0.007825,0.006161,-0.0034,-0.161917,0.406645,-0.785447,-0.146001
26,0.042784,0.026951,-0.028495,-0.008275,0.002513,-0.007374,0.130588,-0.740952,1.131475,0.507873,0.073875,0.01797,-0.064581,-0.023584,0.012274,-0.006978,0.018741,0.038086,-0.097433,0.166048
27,0.042335,0.026752,-0.02879,-0.015246,-0.014835,-0.00699,0.007219,-0.358348,0.542177,0.402877,0.073222,0.018386,-0.064822,-0.015703,0.006422,-0.003183,-0.15474,0.3377,-0.629331,0.417188
28,0.04154,0.025812,-0.029013,-0.022807,-0.023343,-0.006295,0.661701,1.413815,-2.075528,0.091155,0.072745,0.018734,-0.065072,-5.3e-05,0.004663,-0.005243,0.018244,0.135647,-0.236628,0.447887
29,0.041086,0.025415,-0.029117,-0.022832,-0.020248,-0.002028,0.706875,1.394,-2.132296,-0.064787,0.072756,0.018855,-0.065195,0.007812,0.004126,-0.005835,0.037227,0.062375,-0.128635,0.32297
30,0.040279,0.025152,-0.02928,-0.015764,-0.001869,-0.000902,1.117273,1.093177,-2.134266,-0.367855,0.073308,0.019075,-0.065512,0.015646,0.003448,-0.006642,0.081571,-0.031404,0.144563,0.016147
31,0.039733,0.025326,-0.029263,-0.01607,0.008116,0.001218,0.691992,-1.056486,0.185399,-0.663574,0.074047,0.019442,-0.065912,0.015846,0.01001,-0.009514,0.591794,-1.43607,2.711916,-0.295575
32,0.039506,0.025363,-0.02915,-0.015215,-0.003423,0.008781,0.718872,-1.048902,-0.127104,-0.811352,0.074474,0.019664,-0.06613,0.023767,0.015606,-0.013536,0.297748,-0.732733,1.343308,-0.444822
33,0.038987,0.025339,-0.028896,-0.015608,0.002825,0.005615,-0.049482,-0.874647,0.376974,-0.997177,0.075392,0.020104,-0.066538,0.023618,0.009701,-0.009936,-0.006466,0.052705,0.58319,-0.739399
34,0.038648,0.025465,-0.028496,-0.007162,0.001992,0.015452,-0.059422,0.022486,0.004203,-0.805474,0.075941,0.020517,-0.066918,0.007905,0.010679,-0.00878,0.032473,-0.03852,0.006302,-1.013564
35,0.038577,0.025742,-0.027827,0.000834,0.006667,0.02099,-0.054052,-0.468905,0.550179,-0.607402,0.076138,0.020818,-0.067147,0.007942,0.005749,-0.003853,0.037419,0.045525,-0.081082,-0.958045
36,0.038624,0.025841,-0.027421,0.000807,0.006463,0.020583,-0.645041,-1.366625,-0.816414,-0.466646,0.076139,0.020934,-0.067226,2e-05,0.005484,-0.004218,0.033077,0.079303,-0.143216,-0.866276
37,0.038707,0.025823,-0.026493,0.001533,-0.006242,0.026246,-3.035239,-2.660576,-3.803489,-0.16864,0.076033,0.021037,-0.067313,-0.007869,0.000118,0.000121,-0.006356,0.113174,-0.201586,-0.724376
38,0.038774,0.025509,-0.025526,0.001894,-0.014661,0.026565,-0.11663,-0.12087,0.113613,0.114506,0.075906,0.020966,-0.067287,-0.007868,0.000158,0.00017,-0.006393,0.113387,-0.202121,-0.647466
39,0.038803,0.025255,-0.025034,0.001878,-0.014981,0.026089,-0.02651,-0.113561,-0.116868,0.197784,0.075847,0.020906,-0.067246,-4.3e-05,-0.005673,0.003975,-0.036602,0.014694,-0.020951,-0.622483
40,0.038878,0.024658,-0.024089,0.001403,-0.011102,0.019696,-0.161463,-0.216632,0.10128,0.313557,0.075782,0.020823,-0.067176,4e-06,4.4e-05,5.8e-05,0.174048,-0.422945,0.781837,-0.588355
41,0.038956,0.024081,-0.023212,0.001806,-0.01702,0.023271,-0.168889,0.028121,-0.038112,0.368259,0.07577,0.020823,-0.067168,-1e-06,-1e-06,-1e-06,-0.001051,0.001883,-0.00357,-0.571373
42,0.038994,0.023621,-0.022438,0.0014,-0.011141,0.019568,-0.109942,0.011305,-0.003621,0.387854,0.07578,0.020832,-0.067206,-9.9e-05,-0.000793,-0.001019,-5.4e-05,1.9e-05,-3.8e-05,-0.562718
43,0.039002,0.023434,-0.022083,0.000973,-0.005913,0.015023,-0.086338,0.016028,-0.010856,0.396672,0.07579,0.020826,-0.067238,-8.5e-05,-0.000692,-0.00089,-4e-05,8e-06,-1.8e-05,-0.559453
44,0.039001,0.023087,-0.021415,0.00097,-0.006081,0.014774,-0.082967,0.018423,-0.01148,0.408755,0.075803,0.020792,-0.067291,-0.000124,-0.001018,-0.001308,-1.7e-05,-1e-05,-1.1e-05,-0.556023
45,0.038951,0.022771,-0.02078,0.000965,-0.006253,0.014521,-0.0701,-0.007581,-0.029494,0.412837,0.075798,0.020744,-0.067336,-5.7e-05,-0.000483,-0.000621,-2.1e-05,6e-06,-1.2e-05,-0.554554
46,0.038889,0.022623,-0.02048,-0.006431,-0.012084,0.019018,-0.114402,0.113101,-0.253057,0.411041,0.075791,0.020738,-0.067352,-5.1e-05,-0.000434,-0.00056,-1.7e-05,-1e-05,-7e-06,-0.554064
47,0.038721,0.0224,-0.019893,-0.007221,-3.9e-05,0.011997,0.341738,-0.373575,-0.256257,0.394712,0.075785,0.020742,-0.067355,1.1e-05,7.6e-05,9.9e-05,-0.005146,0.098596,-0.172679,-0.553574
48,0.038505,0.022303,-0.01926,-0.006716,-0.003032,0.019337,0.263404,-0.561441,-0.322841,0.370545,0.075786,0.020738,-0.067335,4e-05,0.000322,0.000416,-0.000722,0.001391,-0.002612,-0.553737
49,0.038281,0.022364,-0.01857,-0.007035,0.00464,0.017836,0.04002,-0.196843,-0.045309,0.352746,0.075786,0.020735,-0.06733,2e-06,-5e-06,-4e-06,-4e-06,4e-05,-7.8e-05,-0.553574
50,0.03818,0.022455,-0.0182,-0.006976,0.005971,0.019457,-0.317786,-0.823735,0.672225,0.346542,0.075786,0.020733,-0.067334,-4e-06,-4.1e-05,-5.3e-05,1.4e-05,3e-06,2e-05,-0.553247
51,0.038019,0.022723,-0.017429,0.000839,0.007268,0.020151,-0.620183,-1.049961,-1.219859,0.341153,0.07578,0.020734,-0.06734,-2e-06,-2.4e-05,-3.1e-05,5e-06,8e-06,1.1e-05,-0.553411
52,0.03787,0.023025,-0.016663,-0.007321,0.0119,0.015462,0.239443,-0.28448,-0.131355,0.3405,0.075792,0.020729,-0.067338,-2e-06,4e-06,5e-06,4e-06,-2e-05,-1.9e-05,-0.553248
53,0.037798,0.023156,-0.016289,-0.006912,0.00634,0.019474,0.145717,-0.211427,-0.113662,0.3405,0.075798,0.020729,-0.067338,-3e-06,2e-06,5e-06,-2e-06,0.0,-4.1e-05,-0.553411
54,0.037658,0.023359,-0.015549,0.00119,0.000263,0.022082,0.118041,-0.222883,-0.097305,0.339357,0.075803,0.02073,-0.067345,-4e-06,-1.5e-05,-1.8e-05,3e-06,-1e-06,0.0,-0.553411
55,0.037508,0.023503,-0.014804,-0.006525,-0.000406,0.021834,0.199586,-0.273176,-0.157072,0.336091,0.075798,0.020733,-0.067341,0.0,1.5e-05,2.2e-05,-7.9e-05,0.000177,-0.000274,-0.553574
56,0.037388,0.023599,-0.013988,-0.006475,0.000565,0.022854,-0.032293,-0.066319,-0.05026,0.330539,0.075798,0.020732,-0.067334,-0.0,8e-06,1.1e-05,-1e-06,5e-06,-5.5e-05,-0.553411
57,0.037342,0.023623,-0.01355,0.0012,0.00065,0.022196,0.411712,-0.479679,-0.203769,0.329396,0.075792,0.02073,-0.067338,-4e-06,-3.4e-05,-4.6e-05,3e-06,2e-06,0.0,-0.553411
58,0.037253,0.023567,-0.012668,0.001144,-0.000808,0.020352,0.03907,-0.145034,-0.048831,0.328906,0.075797,0.02073,-0.067345,1e-06,6e-06,6e-06,-6e-06,8e-06,8e-06,-0.553248
59,0.037175,0.023356,-0.011803,0.001058,-0.00302,0.017682,0.295883,-0.272626,-0.343032,0.329069,0.075803,0.020739,-0.067352,-2e-06,2e-06,5e-06,-0.000173,0.00033,-0.00063,-0.552921
60,0.037137,0.023212,-0.011402,-0.006225,-0.0092,0.021719,-0.061196,-0.042766,-0.083039,0.328743,0.075803,0.020734,-0.067348,-2e-06,0.0,5e-06,-2.1e-05,5.1e-05,-0.000128,-0.552921
61,0.037082,0.022903,-0.010681,0.000985,-0.005,0.015318,-0.091246,0.097171,-0.156652,0.329069,0.075803,0.020736,-0.067347,-4.1e-05,-0.000324,-0.000414,9e-06,1.3e-05,-2.7e-05,-0.552431
