frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
136,0.031167,0.034218,-0.009025,0.005797,0.021189,-0.029804,-1.038305,-2.292065,-4.504188,-0.90851,0.072664,0.023086,-0.069413,9e-05,0.005554,-0.004123,0.11109,-0.120509,-0.11949,0.503732
137,0.031627,0.034931,-0.010168,0.013384,0.020061,-0.031722,1.057474,2.338911,-1.077826,-0.934636,0.072759,0.023337,-0.069633,2.3e-05,0.004904,-0.005084,3.984529,-1.648344,-3.50928,0.487567
138,0.03216,0.035681,-0.011424,0.021105,0.019474,-0.033204,-0.467242,-0.510894,-1.049803,-0.931044,0.07286,0.02369,-0.069961,8.3e-05,0.010469,-0.009293,0.811778,-1.233939,-1.409057,0.474667
139,0.032473,0.036031,-0.012053,0.013611,0.013552,-0.029033,-0.122544,0.897469,-0.484547,-0.94623,0.072898,0.023907,-0.070161,2.6e-05,0.010195,-0.009741,1.230741,-0.52926,-1.232519,0.469115
140,0.033246,0.036611,-0.013252,0.021494,0.013773,-0.029674,-1.72574,-2.358235,-3.978639,-0.950802,0.07301,0.024423,-0.07066,-2.4e-05,0.01501,-0.015104,-0.054397,-0.237586,-0.347801,0.466502
141,0.034081,0.037009,-0.014264,0.029626,0.009728,-0.024218,-0.422559,0.881839,-0.222218,-0.959457,0.073188,0.025024,-0.071275,0.008229,0.019962,-0.019901,1.118418,-1.028239,-1.172398,0.47434
142,0.034551,0.037143,-0.01469,0.022321,0.004439,-0.019305,-1.941067,-2.436747,-3.735565,-0.96158,0.073311,0.025343,-0.071602,0.008253,0.020174,-0.019589,-0.019721,-0.401552,-0.118625,0.479565
143,0.035554,0.037236,-0.015378,0.030095,0.005373,-0.018767,0.04669,0.343879,-0.353172,-0.964355,0.073657,0.026085,-0.072329,0.008309,0.020645,-0.018856,-0.21712,-0.727523,-0.323062,0.48577
144,0.036644,0.037184,-0.015866,0.030926,-0.005228,-0.010049,0.035233,-0.183522,0.205592,-0.964192,0.074061,0.026913,-0.073074,0.008354,0.021118,-0.018101,1.174438,-0.948204,-1.21665,0.48822
145,0.037853,0.036954,-0.016262,0.030988,-0.005322,-0.010345,0.666867,1.798431,-1.945224,-0.966805,0.074468,0.027785,-0.073799,0.008399,0.021593,-0.017352,1.030028,-1.296908,-1.157401,0.493282
