frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1086,0.035628,0.060333,-0.00299,-0.015247,0.023872,-0.013107,-0.33898,0.913032,0.252567,0.48142,0.104094,0.039649,-0.049702,0.029262,0.006331,-0.025503,0.042441,0.035737,-0.159018,0.126041
1087,0.035266,0.060746,-0.003221,-0.021866,0.017306,-0.009588,-0.447372,0.890716,0.472025,0.495299,0.104607,0.039813,-0.050221,0.02932,0.00656,-0.025359,-1.325203,1.458174,-1.754494,0.13192
1088,0.034563,0.061353,-0.003582,-0.014557,0.010956,-0.006963,-0.327798,-0.069449,1.050915,0.510975,0.105733,0.040186,-0.051213,0.029276,0.008018,-0.023909,-0.349055,-0.367992,-0.35759,0.149718
1089,0.033777,0.061774,-0.003849,-0.01424,0.004636,-0.003779,-0.23764,0.526252,0.298357,0.516364,0.10703,0.040644,-0.052222,0.028937,0.014355,-0.027295,-0.516159,-0.757327,-0.582877,0.189398
1090,0.033029,0.062114,-0.004046,-0.014463,0.011423,-0.006524,0.039381,-0.034498,0.190012,0.517017,0.108515,0.041245,-0.053254,0.04376,0.016422,-0.026231,-0.563699,-0.831068,-0.66894,0.240508
1091,0.032673,0.062252,-0.004123,-0.021098,0.005365,-0.002577,0.050419,-0.097184,0.076193,0.516853,0.10931,0.041606,-0.053787,0.043334,0.022661,-0.029639,-0.32925,-0.191588,-0.799381,0.255368
1092,0.032016,0.062437,-0.004239,-0.013891,-0.000669,0.000362,-0.00642,0.031988,-0.065191,0.515384,0.110986,0.042358,-0.054869,0.043333,0.022035,-0.0306,-0.049744,-0.106575,-0.514469,0.261899
1093,0.031506,0.062537,-0.004294,-0.006922,2.7e-05,0.000537,-0.004036,0.013952,-0.030523,0.513098,0.112699,0.043274,-0.056068,0.042781,0.028682,-0.033622,-0.755863,0.104728,-1.529502,0.25896
1094,0.031317,0.062576,-0.004299,-0.006907,0.000245,0.000748,0.391613,0.237604,0.185019,0.512935,0.113493,0.043833,-0.056729,0.034865,0.033619,-0.037838,-0.359458,-0.436613,-0.661884,0.253735
1095,0.03111,0.062612,-0.004276,3.6e-05,0.000606,0.000602,-0.104092,0.186998,0.146342,0.511955,0.114821,0.04515,-0.058168,0.027019,0.034999,-0.035753,-3.444519,2.69096,3.016141,0.242631
1096,0.031127,0.062633,-0.004257,0.006982,0.000955,0.000451,-0.165401,0.256158,0.276864,0.510485,0.115642,0.04695,-0.059678,0.018072,0.051026,-0.037135,-1.646994,0.325057,-0.420266,0.182376
1097,0.031222,0.062648,-0.004241,0.006995,0.001164,0.000652,-0.20447,0.222457,0.46474,0.505913,0.115778,0.04791,-0.060343,0.002895,0.052177,-0.034349,-3.776212,2.349032,1.606751,0.140084
1098,0.03154,0.062739,-0.004167,0.014031,0.002991,0.001945,-0.075484,0.026342,0.358881,0.472275,0.115666,0.04992,-0.061508,-0.01166,0.049641,-0.025062,-2.011132,-1.422226,-1.509542,0.141717
