frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
135,0.046482,0.027956,-0.026032,-0.024208,0.017757,-0.008623,-0.34378,0.547204,0.558726,-0.537187,0.076408,0.032701,-0.079457,0.013886,-0.023637,0.003691,4.940432,-2.027464,0.291226,-0.982865
136,0.045895,0.028555,-0.026308,-0.009027,0.018857,-0.009003,-0.136428,0.269734,0.476654,-0.51547,0.076904,0.031624,-0.079255,0.006366,-0.030202,0.006774,0.032044,0.550358,0.473948,-0.986457
137,0.045737,0.028855,-0.02643,-0.000985,0.01409,-0.004802,-0.244035,0.283702,0.487717,-0.495222,0.077084,0.031031,-0.079121,0.006478,-0.029567,0.007524,-0.323748,-0.18372,0.835432,-0.99005
138,0.04569,0.029367,-0.026729,-0.00095,0.009942,-0.009526,-0.28759,0.379021,0.530062,-0.454235,0.077461,0.029887,-0.078769,0.006761,-0.027723,0.009722,-0.017787,0.573005,0.358782,-0.991519
139,0.045604,0.029718,-0.027239,-0.008451,0.006354,-0.012837,-0.37298,0.045082,-0.152848,-0.421088,0.077712,0.028726,-0.078356,-0.000805,-0.033371,0.013693,-0.075741,0.780093,0.086509,-0.991683
140,0.045543,0.030265,-0.02786,-0.001414,0.014069,-0.01526,-0.068672,2.227286,-1.516337,-0.416352,0.077851,0.027473,-0.077772,0.007133,-0.030661,0.016989,-0.007837,0.802294,0.166102,-0.985968
141,0.045545,0.030518,-0.028153,-0.001412,0.013626,-0.015764,0.014029,1.889951,-1.478966,-0.413576,0.077925,0.026894,-0.07741,-0.000262,-0.03426,0.023471,0.012147,0.840619,0.141898,-0.986621
142,0.045655,0.030963,-0.028734,0.006602,0.007834,-0.012737,-0.501502,0.689845,0.5095,-0.41374,0.077987,0.025715,-0.076555,-6.6e-05,-0.027213,0.021207,-0.129809,0.432241,0.014523,-0.992989
143,0.045912,0.031303,-0.029334,0.006622,0.005804,-0.015098,-0.559196,1.015523,0.189219,-0.414883,0.078026,0.02453,-0.075601,0.007768,-0.031148,0.027299,-0.02473,0.736134,0.326591,-0.991683
144,0.046033,0.03143,-0.029675,0.006621,0.004706,-0.016383,-0.449243,2.509655,-2.098748,-0.414556,0.078091,0.024008,-0.075038,0.000629,-0.026619,0.03278,-0.054968,0.846896,0.185077,-0.991193
145,0.046346,0.031606,-0.030393,0.014213,0.002098,-0.020299,-0.348857,0.907678,-0.320679,-0.414882,0.077929,0.023316,-0.073677,-0.013761,-0.012869,0.038409,0.03064,0.863903,0.432024,-0.994295
146,0.046983,0.031541,-0.031217,0.022356,-0.005814,-0.019977,-0.018329,0.426273,-0.628933,-0.407861,0.077433,0.022955,-0.072106,-0.013183,-0.008106,0.043775,0.009225,0.644516,0.334324,-0.993152
147,0.047356,0.03138,-0.031561,0.022927,-0.012001,-0.016755,-0.114319,0.527122,-0.61657,-0.401003,0.077236,0.022911,-0.071304,-0.012905,-0.000658,0.041666,0.080104,0.37537,-0.017692,-0.987764
148,0.048403,0.030827,-0.032193,0.031189,-0.017361,-0.013605,-0.067234,0.310516,-0.515642,-0.397574,0.076669,0.023025,-0.069741,-0.020424,0.004497,0.036672,0.18444,2.069658,-2.253527,-0.973557
149,0.049674,0.03006,-0.032608,0.031889,-0.022535,-0.009321,-1.358015,0.841198,-3.701333,-0.386143,0.075709,0.023165,-0.068446,-0.028451,0.005796,0.027295,0.005997,0.412156,-0.064564,-0.950697
150,0.050832,0.029185,-0.033006,0.024542,-0.02316,-0.009535,0.221761,-0.111809,-1.322384,-0.368671,0.074755,0.02344,-0.067533,-0.020996,0.008724,0.019994,0.000808,0.26869,-0.12111,-0.895994
151,0.051358,0.028733,-0.033183,0.024616,-0.022533,-0.008902,0.195856,-0.233325,-1.363742,-0.362956,0.074277,0.023612,-0.067158,-0.028534,0.008692,0.019816,-0.052334,-0.024734,-0.012186,-0.873134
152,0.052266,0.027811,-0.0334,0.017591,-0.02529,-0.000511,-4.791741,-2.245791,-2.555471,-0.352669,0.073264,0.023983,-0.066585,-0.021461,0.009134,0.009921,-0.000847,0.017013,-0.043493,-0.826269
153,0.052999,0.026921,-0.033326,0.017423,-0.021086,0.004605,0.362008,-0.912724,-1.303484,-0.35022,0.072241,0.024303,-0.066256,-0.021661,0.007211,0.007718,0.003984,-0.080265,0.127458,-0.812553
154,0.053264,0.026566,-0.033249,0.009077,-0.014491,0.002839,0.259213,-0.607168,-1.125363,-0.34875,0.071773,0.024451,-0.066114,-0.021639,0.006762,0.007222,-0.009419,-1.420306,2.513948,-0.810104
155,0.053437,0.026148,-0.033146,0.000646,-0.006829,0.002453,0.113226,-0.265374,-0.705988,-0.340585,0.070917,0.024703,-0.065894,-0.01451,0.004028,0.004234,-0.001426,-0.114764,0.195178,-0.806511
156,0.05342,0.026043,-0.033034,-0.007823,0.001035,0.002349,-1.254883,-1.030057,-1.092277,-0.330461,0.070111,0.024842,-0.065752,-0.014719,0.002603,0.002648,-0.001345,-0.083361,0.11888,-0.804715
157,0.053319,0.026077,-0.032969,-0.007875,0.002189,0.003803,0.157613,-0.440933,-0.289376,-0.319521,0.069812,0.024897,-0.065711,-0.007182,0.007068,-0.00258,0.043685,-0.198059,0.330655,-0.802429
158,0.052967,0.026222,-0.032774,-0.007975,0.004396,0.006569,0.289589,-0.828294,-0.276291,-0.31005,0.069461,0.02497,-0.065712,6e-06,0.004711,-0.005039,0.040494,-0.113575,0.189896,-0.790345
159,0.052827,0.026514,-0.032523,-0.000354,0.00691,0.008679,-0.893929,-1.880086,-1.128464,-0.30956,0.069406,0.02495,-0.065818,0.007155,-0.002912,-0.003007,-0.000621,-1.472204,2.607215,-0.787406
160,0.052956,0.026826,-0.032193,-0.000356,0.007096,0.008894,-4.220684,-2.586903,-2.479773,-0.296497,0.069636,0.024938,-0.06598,0.007418,0.003734,-0.006011,0.041471,-0.129969,0.222121,-0.78708
888,0.047661,0.048992,-0.014161,-0.033951,0.031852,0.064248,-0.146983,-0.073636,0.090754,-0.76661,0.061249,0.066037,-0.068058,0.023972,-0.008791,-0.006941,-0.004137,-0.072346,0.037693,-1.076104
889,0.046154,0.050545,-0.011994,-0.047983,0.044962,0.048381,-0.03095,-0.068078,0.079926,-0.76661,0.062313,0.065621,-0.068313,0.029914,-0.011176,-0.009004,4.438172,-3.301887,-0.55841,-1.069409
890,0.04437,0.052362,-0.010395,-0.040669,0.044572,0.037527,-0.365719,-0.453182,1.10162,-0.767427,0.063587,0.064755,-0.068566,0.040985,-0.029856,-0.007668,0.557708,-2.549351,2.318505,-1.06451
891,0.043462,0.05325,-0.009782,-0.040576,0.043517,0.02783,-0.4831,0.423087,0.652414,-0.766447,0.064484,0.064166,-0.068728,0.04799,-0.028301,-0.006437,-0.303908,-0.518952,0.89101,-1.062061
892,0.041784,0.054819,-0.008986,-0.039752,0.031768,0.018343,-0.424641,0.551318,0.365123,-0.759262,0.066017,0.063494,-0.068864,0.037776,-0.010772,-0.000456,0.051832,0.251434,0.148027,-1.054386
893,0.040235,0.056014,-0.0085,-0.03269,0.024085,0.011869,2.991216,3.561354,3.523832,-0.762038,0.06747,0.062907,-0.068764,0.037481,-0.017032,0.002655,-0.084547,-0.049798,0.106388,-1.046385
894,0.039585,0.056475,-0.00833,-0.03263,0.020039,0.00883,-0.460634,0.483381,0.496146,-0.760895,0.068361,0.062458,-0.068646,0.05038,-0.022369,0.006576,-0.100445,-0.08457,0.20116,-1.045895
895,0.038643,0.057158,-0.008199,-0.020023,0.017054,-0.002419,-0.04917,0.069075,0.259829,-0.741954,0.070078,0.06169,-0.068361,0.044756,-0.013687,0.005296,-0.0269,0.029768,0.242986,-1.044589
