frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
93,0.046597,0.032629,-0.020651,0.016372,-0.022649,0.004136,0.400033,-0.621407,-0.021841,-0.923369,0.081384,0.022777,-0.076922,0.015051,0.024171,-0.025648,0.004896,-0.409568,-0.55823,0.005043
94,0.046891,0.032314,-0.020621,0.01588,-0.014592,0.00274,-1.474915,-3.035321,0.397097,-0.918797,0.081737,0.023177,-0.077373,0.022915,0.018641,-0.021656,-0.144463,-0.666907,-0.685544,0.06595
95,0.04735,0.031794,-0.02042,0.008445,-0.011344,0.007162,0.371631,-0.774418,0.216257,-0.918471,0.082246,0.023778,-0.078076,0.007425,0.007809,-0.012822,-0.115067,-0.253707,-0.574302,0.172089
96,0.047501,0.031505,-0.020153,0.000956,-0.009627,0.009851,-0.016172,-0.320847,0.427608,-0.921736,0.08237,0.024059,-0.078588,-0.00041,0.006982,-0.013493,-4.917792,2.194994,1.04297,0.263205
97,0.047553,0.031149,-0.019789,0.008424,-0.009396,0.00937,-1.048516,-2.650064,1.47605,-0.929901,0.082176,0.023996,-0.078869,-0.008099,-0.003876,-0.005102,-0.004252,0.032365,-0.052518,0.32346
98,0.047672,0.030975,-0.019608,0.008423,-0.009009,0.009794,0.031324,-1.483217,0.199689,-0.929574,0.081984,0.0239,-0.078934,-0.008001,-0.008973,-0.000378,-0.04534,-0.074516,0.089229,0.342891
99,0.047713,0.030783,-0.019283,0.000445,-0.002709,0.007274,0.376411,-0.505847,0.125968,-0.926145,0.081408,0.023745,-0.079005,-0.015744,-0.001166,-0.001332,0.079062,0.204558,0.138414,0.373263
100,0.047566,0.0306,-0.018991,-0.007009,-0.004619,0.005922,-0.07071,-0.059335,0.118705,-0.930228,0.080778,0.023631,-0.078975,-0.015691,-0.000305,-0.000192,-0.004238,0.046185,-0.088017,0.403309
101,0.047531,0.030497,-0.018892,0.000478,-0.005436,0.00424,0.385029,-0.302725,-0.240522,-0.93382,0.080462,0.023576,-0.078931,-0.01567,-4e-06,0.000199,-0.019214,-0.451347,0.714617,0.420618
102,0.047503,0.030431,-0.018847,-9e-06,0.000495,0.000552,-0.018941,-0.002231,0.001345,-0.938882,0.079713,0.023496,-0.078934,-0.023643,-0.001318,-0.001557,-0.022986,-0.427105,0.676508,0.467808
103,0.047526,0.030431,-0.018833,-1e-06,-2.2e-05,-2.4e-05,-0.00019,0.002955,0.005041,-0.942637,0.078843,0.02344,-0.079107,-0.016163,0.001093,-0.010078,0.037414,-0.316175,0.483452,0.504712
104,0.047676,0.030496,-0.018785,-3.5e-05,0.00268,0.002957,-0.021011,0.105184,-0.168803,-0.942311,0.077838,0.023217,-0.079504,-0.024554,-0.009277,-0.012661,0.014394,-0.463678,0.733743,0.515163
105,0.047715,0.030552,-0.018713,-4.1e-05,0.002852,0.003142,-0.011805,0.087764,-0.14354,-0.942148,0.077276,0.023052,-0.079765,-0.024733,-0.010304,-0.014193,0.020739,-0.442273,0.674439,0.515979
106,0.047731,0.030566,-0.018583,-2.7e-05,0.001733,0.001907,0.00021,0.001201,0.002147,-0.94427,0.076105,0.02268,-0.080389,-0.03282,-0.004991,-0.018945,-0.032799,-0.190642,-0.48061,0.517449
107,0.047743,0.030605,-0.018502,-9e-06,0.000467,0.000514,-0.004611,0.006981,-0.001185,-0.943454,0.074985,0.02231,-0.081039,-0.025175,-0.011329,-0.016199,0.004799,-0.252827,0.295189,0.518755
108,0.047725,0.030614,-0.018499,-3e-06,3e-05,3.2e-05,0.001476,0.006469,-0.001784,-0.944924,0.07447,0.022108,-0.081366,-0.025249,-0.011266,-0.01626,0.016247,-0.09273,0.1592,0.518429
109,0.047737,0.030634,-0.018455,-2.4e-05,0.001722,0.001893,-0.008453,-0.010037,0.02452,-0.946556,0.073606,0.021764,-0.082013,-0.017193,-0.009516,-0.013918,-0.023765,-0.138429,-0.027742,0.51402
110,0.047741,0.030715,-0.018375,-2.7e-05,0.001933,0.002124,-0.000124,0.000648,0.000974,-0.94574,0.072867,0.021623,-0.082666,-0.017052,-0.002586,-0.016237,0.032238,0.063417,-0.112189,0.516796
111,0.047732,0.030762,-0.018269,-2.3e-05,0.001429,0.001565,0.001891,0.00466,-0.001888,-0.94574,0.072304,0.02155,-0.083296,-0.016951,-0.001475,-0.014768,0.031955,0.062707,-0.113205,0.516306
112,0.04774,0.030755,-0.018216,-2.3e-05,0.001476,0.001616,0.002098,-0.013578,0.025079,-0.945904,0.072113,0.021577,-0.083601,-0.008815,-0.000462,-0.013166,0.033227,0.03162,-0.060337,0.515326
113,0.047736,0.030717,-0.01808,-2e-05,0.001174,0.001284,-0.000193,-0.091266,0.163019,-0.946067,0.071743,0.021792,-0.084161,-0.016338,0.008149,-0.012997,0.064115,0.12442,-0.215086,0.507651
114,0.047751,0.030645,-0.017953,-1.4e-05,0.000752,0.000822,-0.014071,0.005153,-0.002758,-0.943781,0.071219,0.022175,-0.084644,-0.016077,0.009878,-0.010469,0.077485,0.027581,-0.04083,0.507488
115,0.047783,0.030613,-0.0179,0.007437,0.001489,0.000856,0.001486,-0.028156,0.054728,-0.943617,0.070919,0.022392,-0.084849,-0.015985,0.010436,-0.00965,0.000858,-0.203304,-0.191144,0.508305
116,0.047798,0.030585,-0.01784,-1e-06,-5.4e-05,-5.9e-05,-0.01174,0.101819,-0.17229,-0.94525,0.070507,0.022806,-0.085125,-0.00763,0.012572,-0.006283,0.029594,-0.158999,-0.079735,0.49916
117,0.047833,0.030551,-0.017873,6e-06,-0.00044,-0.000482,0.000223,0.000711,0.000151,-0.945414,0.070178,0.023234,-0.085343,-0.007701,0.012022,-0.007112,0.044706,0.000279,-0.207816,0.5021
118,0.047838,0.030545,-0.017887,-0.0,2.7e-05,2.9e-05,-0.102358,0.079609,0.054636,-0.94574,0.069566,0.023552,-0.085482,-0.015626,0.007283,-0.002012,0.030263,0.125738,-0.205537,0.512713
119,0.047849,0.030543,-0.017891,0.0,1.4e-05,1.4e-05,-0.001708,0.09589,-0.16985,-0.947537,0.069208,0.023675,-0.085496,-0.023428,0.008352,-0.000666,-1.529593,0.577349,0.188477,0.51304
120,0.047861,0.030538,-0.017883,-7e-06,0.000479,0.000523,-0.012396,0.09931,-0.171888,-0.951129,0.068527,0.023878,-0.085502,-0.015815,0.001054,0.001044,-0.000523,0.03049,-0.057603,0.513367
121,0.047878,0.030552,-0.017861,0.007455,0.000489,-0.000239,-0.010161,0.08518,-0.143177,-0.952598,0.067846,0.023961,-0.085486,-0.015724,0.001575,0.00179,-0.001634,0.029281,-0.059158,0.511897
122,0.047906,0.030557,-0.017859,0.007457,0.000422,-0.000311,-0.010522,0.084361,-0.142653,-0.953741,0.067545,0.023983,-0.085446,-0.015655,0.001973,0.002365,-0.001209,0.013273,-0.035246,0.509284
123,0.047923,0.030548,-0.017862,8e-06,-0.000524,-0.000572,0.001491,0.095363,-0.168189,-0.955374,0.067023,0.024044,-0.085347,-0.007739,0.001474,0.001904,-0.000322,-0.001399,-0.005653,0.510101
124,0.047918,0.030521,-0.017884,1.6e-05,-0.00112,-0.001224,-0.000759,0.01572,-0.026234,-0.957334,0.066555,0.024074,-0.08532,-0.007985,0.000114,-0.000142,-0.000878,0.014657,-0.029574,0.513693
125,0.047918,0.030505,-0.017901,0.0,2.5e-05,2.7e-05,-0.012622,0.099337,-0.172016,-0.957824,0.066195,0.024125,-0.085305,-0.007828,0.000965,0.001114,-0.000918,0.014682,-0.029574,0.508958
126,0.047918,0.030506,-0.017901,0.0,2.5e-05,3.1e-05,0.000508,0.00012,-0.000241,-0.956191,0.066074,0.024186,-0.085304,-0.007516,0.007503,-0.001557,0.034814,-0.017009,0.01119,0.49916
127,0.047942,0.030498,-0.017888,-3e-06,9.7e-05,0.000105,0.00145,0.003319,-0.002107,-0.956191,0.065866,0.024447,-0.085306,-0.007371,0.008219,-0.000503,0.038673,0.031089,-0.063721,0.489036
128,0.047968,0.030446,-0.017864,0.007462,0.000225,-0.000529,0.003726,-0.011485,0.027044,-0.957007,0.065632,0.024743,-0.085387,-0.007685,0.006481,-0.003094,0.030815,0.107742,-0.1744,0.501773
129,0.047998,0.030424,-0.01786,1e-06,-8.4e-05,-9.2e-05,0.000224,0.00053,-0.000243,-0.957007,0.065512,0.02484,-0.085424,5.2e-05,0.00026,0.000395,-0.000134,-0.000274,0.000466,0.508794
130,0.048004,0.030419,-0.017867,0.0,1e-05,1.1e-05,-3e-05,0.011145,0.01782,-0.954884,0.065503,0.024937,-0.085494,-1.4e-05,-9.2e-05,-0.000136,-0.000213,-0.002729,0.004071,0.50063
131,0.047953,0.030408,-0.017881,1.4e-05,-0.000878,-0.000959,0.000907,-0.00057,-0.000234,-0.954721,0.065671,0.025055,-0.085608,-8.9e-05,-0.000496,-0.000741,-8.5e-05,-0.000275,0.000484,0.493118
