frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
842,0.034581,0.056221,0.002785,-0.013106,0.010746,-0.021141,-0.540421,-0.903036,-1.294645,0.16137,0.087015,0.047144,-0.051469,-0.00779,0.015486,-0.034903,-0.211114,-1.204256,-0.794548,0.254388
843,0.034269,0.05648,0.002381,-0.013858,0.014659,-0.019101,-0.022424,-0.498014,0.034895,0.206765,0.086862,0.04755,-0.052238,-0.007386,0.020505,-0.039354,0.064034,-0.657674,-0.582706,0.278228
844,0.033508,0.057134,0.001688,-0.019578,0.013539,-0.012367,-0.168872,-0.262519,-0.074032,0.274367,0.086616,0.048526,-0.053859,-0.006156,0.028424,-0.042077,-1.379295,-0.932223,0.201118,0.320031
845,0.032657,0.057925,0.00113,-0.015481,0.023853,-0.014215,-0.393591,0.498643,0.280885,0.343602,0.086496,0.049741,-0.055535,0.001033,0.031673,-0.040122,0.030041,-0.661023,-0.784252,0.318071
846,0.032189,0.058975,0.000644,-0.005426,0.032274,-0.010621,-1.081132,0.907371,0.526178,0.343765,0.086465,0.051147,-0.056946,-0.00238,0.038046,-0.028811,-0.046721,-0.277244,-0.874629,0.19299
847,0.032083,0.059601,0.000491,-0.000642,0.037474,-0.008343,-0.960036,1.044831,0.929373,0.318455,0.086391,0.051941,-0.057448,-0.000463,0.044933,-0.024762,-4.506366,0.725948,2.073398,0.10661
848,0.032001,0.060829,0.000487,0.000943,0.026474,0.006224,-0.055926,3.083208,-0.651244,0.295431,0.086009,0.053852,-0.058044,-0.009403,0.049054,-0.00753,0.172263,0.566942,-0.921182,-0.005734
849,0.032142,0.06176,0.000831,0.007072,0.022955,0.01063,-0.588278,0.72158,0.450996,0.2115,0.085442,0.055565,-0.057927,-0.015107,0.035928,0.013609,-4.385205,1.186343,2.445611,-0.058314
850,0.032289,0.062145,0.001077,0.007849,0.017775,0.014649,0.191343,2.676385,-1.546822,0.081031,0.085126,0.056268,-0.057607,-0.02083,0.029665,0.024313,-0.072927,0.330421,-0.4929,-0.090809
851,0.032732,0.062995,0.001734,0.012792,0.019877,0.021702,-0.105689,0.387249,-0.686713,-0.123899,0.084393,0.057505,-0.056502,-0.018606,0.032546,0.032471,-0.194907,0.236758,-0.254013,-0.171801
852,0.033386,0.063814,0.002634,0.023946,0.018295,0.026553,0.027671,-0.033238,-0.970463,-0.256001,0.083431,0.058567,-0.054892,-0.029866,0.023688,0.048326,-0.055538,0.309843,0.086683,-0.243322
853,0.034221,0.06438,0.003765,0.019084,0.012419,0.030398,-0.120035,0.205361,-0.556117,-0.386797,0.082301,0.059117,-0.052754,-0.031484,0.007215,0.059963,-4.176352,1.734153,3.610011,-0.344236
854,0.034651,0.064599,0.004381,0.019848,0.007242,0.034405,-0.452466,-0.118765,-0.760651,-0.454562,0.081617,0.059187,-0.051533,-0.038034,0.001635,0.064003,-4.302556,1.152503,3.471494,-0.402204
855,0.035628,0.064868,0.005731,0.026089,0.002136,0.038103,-0.168549,0.008126,-0.212347,-0.559395,0.080147,0.05908,-0.048973,-0.033857,-0.0082,0.065617,-3.013555,-0.33663,5.472949,-0.484176
856,0.036695,0.065057,0.007184,0.025607,0.003373,0.038494,0.209472,0.471392,-0.940267,-0.735422,0.078715,0.058621,-0.046381,-0.035928,-0.018265,0.067674,0.406115,0.174311,1.087819,-0.574802
857,0.037259,0.065146,0.007945,0.025657,0.002671,0.038122,-0.131823,-0.062729,-0.248389,-0.836172,0.078012,0.058257,-0.045033,-0.030749,-0.020774,0.066372,0.242972,-0.180894,0.90777,-0.620034
858,0.038212,0.065402,0.009307,0.019054,0.007524,0.033882,0.095098,-0.329069,-0.443843,-0.849072,0.076919,0.057621,-0.042656,-0.024167,-0.012671,0.056419,-0.176772,-0.060924,0.671579,-0.704618
859,0.03912,0.065801,0.010584,0.02299,0.014438,0.029926,-0.144581,-0.0308,0.048854,-0.850868,0.076149,0.057095,-0.040548,-0.018739,-0.011237,0.050103,-0.37984,-0.246193,0.673075,-0.813206
860,0.039613,0.066072,0.011184,0.022769,0.014777,0.029954,-0.151636,0.056739,-0.131807,-0.850868,0.07586,0.056926,-0.039654,-0.012971,-0.008703,0.0442,-0.381074,-0.598199,0.431285,-0.82186
861,0.04057,0.066632,0.012418,0.023565,0.009223,0.033859,-0.234095,0.554702,-1.061402,-0.851358,0.075395,0.056653,-0.038095,-0.008246,-0.009155,0.036996,-0.389721,-0.703195,0.216744,-0.820881
862,0.041401,0.066959,0.013591,0.019955,0.00113,0.030853,0.815479,1.90932,-2.050689,-0.855277,0.075145,0.056273,-0.036884,-0.005022,-0.013672,0.02812,-0.222217,-0.265437,0.212917,-0.818268
863,0.042095,0.066812,0.01475,0.016404,-0.006562,0.028175,-0.116174,0.085374,-0.385125,-0.85936,0.074965,0.055908,-0.036044,-0.004708,-0.006233,0.017844,-0.091919,-0.032851,0.158047,-0.834271
864,0.042378,0.066619,0.015292,0.017392,-0.010366,0.026809,-0.176219,0.188243,-0.355613,-0.864258,0.074861,0.055778,-0.035699,-0.004594,-0.002624,0.012642,-0.066918,0.043065,-0.033525,-0.836557
865,0.042851,0.066097,0.016187,0.00801,-0.014949,0.01932,-0.14697,0.143692,-0.390524,-0.868994,0.074599,0.055567,-0.035243,-0.006083,-0.003479,0.005594,-0.062644,-0.147296,0.087027,-0.83525
866,0.043197,0.065568,0.016847,0.007725,-0.012474,0.014043,-0.025591,-0.062711,-0.300153,-0.875525,0.074366,0.055433,-0.035105,-0.000929,-0.002534,-0.001039,-1.312225,0.04075,1.019257,-0.829862
867,0.043382,0.065361,0.017091,0.012087,-0.006865,0.009683,-0.050503,-0.041923,0.007918,-0.877648,0.074245,0.055424,-0.035108,-0.005653,0.004296,-0.004617,-0.00594,-0.067311,-0.069413,-0.839333
868,0.043749,0.065116,0.017415,0.006183,-0.003924,0.004669,-0.024124,-0.099717,0.186013,-0.876505,0.073931,0.055445,-0.035138,-0.005979,0.003405,-0.004988,0.032422,0.008098,-0.040333,-0.854355
