frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.047292,0.034565,-0.014867,0.006817,0.00029,-0.000678,0.002039,-0.005571,0.00067,-0.870463,0.069949,0.019626,-0.06134,-1e-06,9e-06,8e-06,0.000114,-0.000261,-0.000246,0.434334
2,0.047326,0.034575,-0.014889,0.000156,-0.000737,-0.000629,0.8714,1.80112,-1.905763,-0.870136,0.069936,0.019617,-0.061336,-0.000167,-0.000429,-0.000376,0.00016,-3.8e-05,-0.000134,0.441845
3,0.047382,0.034558,-0.01491,0.000227,-0.000869,-0.000731,0.000153,-0.000142,0.000196,-0.8703,0.06994,0.019611,-0.06134,6.2e-05,0.000165,0.000146,0.000116,-9e-06,-7.9e-05,0.448214
4,0.047381,0.034545,-0.01492,-1e-05,3.4e-05,2.6e-05,0.000133,1.7e-05,3.6e-05,-0.86981,0.069932,0.019611,-0.061321,-0.00048,-0.004964,0.00472,-0.034132,0.019127,-0.015388,0.445274
5,0.047359,0.034548,-0.014921,-0.001153,0.005907,-0.003658,0.036196,-0.004956,0.021137,-0.869973,0.069928,0.019609,-0.061303,0.00029,0.000759,0.00067,6.5e-05,-9e-06,-4.5e-05,0.442988
6,0.047326,0.03456,-0.014933,-1e-06,7e-06,9e-06,7.6e-05,-1.2e-05,2.9e-05,-0.869973,0.069934,0.019557,-0.061219,-0.00036,-0.004647,0.004999,-0.015433,0.071151,0.01218,0.429925
7,0.047333,0.034579,-0.014944,0.0,2e-06,4e-06,-0.01324,0.09261,-0.177083,-0.869647,0.069953,0.019434,-0.061086,-0.000564,-0.005176,0.004537,0.077491,0.304684,0.129729,0.402982
8,0.047352,0.034586,-0.014941,-5.9e-05,0.000238,0.000201,0.000307,-0.000507,-0.000324,-0.868667,0.07002,0.019229,-0.060941,-0.000791,-0.00577,0.004013,-0.016537,0.068544,0.01076,0.347627
9,0.047367,0.034586,-0.014936,2e-06,-3e-06,-3e-06,0.000142,-5e-05,-2.6e-05,-0.867524,0.070087,0.019091,-0.060866,0.006196,-0.007131,0.00323,-0.037285,-0.005171,0.009584,0.293414
10,0.047412,0.034592,-0.014932,1e-06,-1e-06,-4e-06,7.7e-05,3e-06,3.5e-05,-0.866871,0.070279,0.018875,-0.060764,0.007161,-0.000893,-0.000378,-0.001348,-0.035345,0.051551,0.134043
11,0.047442,0.034595,-0.014933,2.6e-05,-0.000101,-8.7e-05,5.3e-05,0.0,2.6e-05,-0.867198,0.07052,0.018778,-0.060714,0.00669,-0.005868,0.004335,-0.014607,0.056265,0.04134,-0.085093
12,0.047458,0.034592,-0.014937,0.000104,-0.000399,-0.000336,4.9e-05,1.7e-05,7e-06,-0.867361,0.070591,0.018779,-0.060688,0.000552,0.00146,0.001278,-0.004124,-0.009774,-0.004697,-0.165759
13,0.047469,0.034589,-0.014935,-1e-06,9e-06,1e-05,-1.5e-05,-0.00067,-0.00021,-0.85642,0.070697,0.018853,-0.060626,0.001003,0.002655,0.002328,0.066797,0.161111,0.114265,-0.26406
14,0.047481,0.034578,-0.014914,0.0,-1e-06,-0.0,-8.1e-05,-4.2e-05,-5e-06,-0.841398,0.070869,0.018897,-0.060586,0.000181,0.000485,0.000423,-0.007187,-0.01562,-0.007007,-0.382609
