frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
231,0.058968,0.035417,-0.007297,-0.000268,-0.000785,0.007668,-1.564975,-0.63567,-0.795379,-0.886792,0.073945,0.021531,-0.058177,-0.000514,-0.002916,-0.001819,0.066546,-0.01878,0.027793,-0.9022
232,0.05893,0.035203,-0.006899,0.001424,-0.008314,0.010793,-0.105312,-1.375763,-0.325049,-0.88124,0.073979,0.02141,-0.058266,-0.000582,-0.003305,-0.002069,-0.002671,0.009103,-0.027942,-0.902363
233,0.058838,0.034878,-0.006543,0.000613,-0.003843,0.005607,0.393882,-0.882517,-0.978972,-0.866218,0.074051,0.021294,-0.05834,-0.000414,-0.002353,-0.001475,-0.001778,0.008847,-0.027581,-0.900077
234,0.058739,0.03457,-0.006217,0.00063,-0.003902,0.005571,-0.033819,-1.323775,-0.073353,-0.842704,0.074105,0.021235,-0.058403,-0.00016,0.003359,-0.005984,0.035919,-0.011143,0.018915,-0.887503
235,0.058713,0.034453,-0.006076,0.000564,-0.003661,0.005733,-1.409816,-1.010732,-0.965654,-0.805147,0.074132,0.02121,-0.058419,0.006589,-0.001582,-0.001115,0.000996,-0.014705,0.029521,-0.881462
236,0.058754,0.034265,-0.00581,0.000758,-0.00432,0.005302,-1.369244,-0.28773,-0.963576,-0.713051,0.074186,0.02117,-0.058458,-0.000113,-0.00065,-0.00041,7e-06,1.4e-05,-1.3e-05,-0.877542
237,0.058772,0.03413,-0.005635,0.000695,-0.004107,0.005431,-0.386861,-1.165966,-0.350136,-0.685782,0.074195,0.021178,-0.058477,4.5e-05,0.000249,0.000155,-2e-06,2e-06,-1.5e-05,-0.879829
238,0.058787,0.034099,-0.005584,0.000654,-0.003994,0.005499,-1.784244,-2.295943,1.801168,-0.703417,0.074191,0.021197,-0.058489,1.4e-05,7.6e-05,4.6e-05,1e-05,1e-06,-9e-06,-0.881462
239,0.058868,0.03414,-0.00554,0.006166,0.002871,0.001244,-3.991457,-0.258328,-3.342986,-0.736728,0.074172,0.021234,-0.05852,2.8e-05,0.004437,-0.005304,0.035761,-0.011273,0.019027,-0.884891
240,0.05893,0.034201,-0.00552,-0.000188,0.000652,0.000435,0.057301,-0.747328,0.572348,-0.756813,0.074142,0.021257,-0.058541,-0.0,1e-06,0.0,-0.000107,-2.6e-05,0.000104,-0.885707
241,0.058905,0.034266,-0.005464,-0.00732,0.001129,0.001447,0.048457,-0.535409,0.400511,-0.775265,0.074107,0.021265,-0.058542,0.0,1e-06,2e-06,-8.4e-05,-1e-05,0.000105,-0.88783
242,0.058861,0.034325,-0.005416,-0.007702,0.002465,0.002336,0.044499,-0.421165,0.479754,-0.793063,0.074091,0.02126,-0.058539,-8e-06,-4.3e-05,-2.7e-05,-7.2e-05,-2.6e-05,9e-05,-0.887993
243,0.058782,0.034456,-0.005319,-0.001041,0.003606,0.002395,0.099666,-0.768108,0.381495,-0.80629,0.074051,0.021271,-0.058543,-3e-06,4e-06,6e-06,-0.000114,-9.9e-05,0.000174,-0.889463
244,0.058702,0.034566,-0.005229,-0.000889,0.003098,0.002051,-0.986003,-0.44552,-0.85208,-0.802371,0.07402,0.021295,-0.058564,-3e-06,1e-06,6e-06,-9.3e-05,-3.2e-05,0.000131,-0.891586
245,0.058647,0.03463,-0.005183,-0.001074,0.003739,0.002477,0.069298,-0.484902,0.479585,-0.805474,0.074015,0.021299,-0.058568,-3e-06,1e-06,5e-06,0.003998,-0.001126,0.001651,-0.891749
246,0.058535,0.03478,-0.005053,-0.000737,0.000901,0.008743,0.134237,-0.866777,0.33338,-0.829641,0.074005,0.021296,-0.058563,-3e-06,-0.0,4e-06,3.9e-05,-4.3e-05,9.7e-05,-0.892565
247,0.05837,0.034869,-0.004841,-0.00787,0.003173,0.002761,0.081766,-0.438095,0.253342,-0.84597,0.074005,0.0213,-0.058567,-5e-06,1e-06,3e-06,-0.000277,-0.000162,9.5e-05,-0.893708
