frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
586,0.055832,0.033754,-0.009685,0.00715,-0.002098,0.006091,-0.076087,-0.064403,0.068884,-0.108713,0.075422,0.019109,-0.060481,1.1e-05,0.004411,-0.005321,0.035426,-0.010774,0.019798,-0.880972
587,0.055837,0.033699,-0.00953,-0.000509,0.00187,0.001285,0.001616,-0.009256,0.026873,-0.103651,0.075415,0.019163,-0.060574,-0.000133,-0.000799,-0.000527,0.000126,-1.9e-05,-0.000211,-0.882115
588,0.055933,0.033609,-0.009353,0.000709,-0.004209,0.005362,-0.041083,0.068706,-0.209972,-0.079157,0.075415,0.019197,-0.060619,3e-06,1.8e-05,1.4e-05,7.9e-05,-1.8e-05,-0.000145,-0.883748
589,0.05601,0.033574,-0.009274,-0.000329,0.001191,0.000815,0.001029,-0.009892,0.027182,-0.052051,0.075424,0.01921,-0.060648,-3.8e-05,0.00413,-0.005502,0.035975,-0.0109,0.018969,-0.883421
590,0.056062,0.033543,-0.009127,0.000223,-0.002402,0.006606,-0.033852,-0.009902,0.003529,-0.024945,0.075426,0.019231,-0.060715,-0.000108,-0.00065,-0.000429,4.2e-05,-1.1e-05,-8.1e-05,-0.884238
591,0.056052,0.033581,-0.009009,-0.000579,0.002123,0.001458,-0.008455,0.01318,0.003315,0.004448,0.075432,0.019262,-0.060799,-0.000167,-0.001006,-0.000663,4.1e-05,1e-06,-4.4e-05,-0.884727
592,0.056094,0.033644,-0.008898,0.006662,-0.000309,0.00732,-0.031805,-0.024752,0.033135,0.074499,0.075422,0.019263,-0.060854,-0.000136,-0.00082,-0.000541,1.9e-05,1e-06,-3.4e-05,-0.885217
593,0.056103,0.033681,-0.008837,0.005761,0.004568,0.002409,0.003132,-0.02499,0.05664,0.115649,0.075431,0.019265,-0.060877,-2.5e-05,-0.000159,-0.000107,4e-06,-1e-06,-3.5e-05,-0.885544
594,0.056077,0.033789,-0.008727,-0.000969,0.003544,0.002414,-1.776091,-1.568209,1.460733,0.173617,0.075437,0.019288,-0.060893,9.8e-05,0.000571,0.000374,1.9e-05,7e-06,-1.3e-05,-0.88587
595,0.055998,0.033888,-0.00866,-0.000613,0.002389,0.001554,-2.773796,-1.119699,-4.641918,0.187007,0.075474,0.019294,-0.060896,-1e-06,-5e-06,-3e-06,3e-06,-6e-06,-1.5e-05,-0.886524
