frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
260,0.049512,0.0463,-0.007709,0.004872,-0.004802,0.041827,-0.287723,0.359653,-0.598068,-0.457338,0.079524,0.037366,-0.069072,-0.004858,0.006298,0.004756,3.096483,0.966708,-4.481164,-0.858764
261,0.049777,0.046001,-0.006129,0.006355,-0.009734,0.038491,-0.118237,0.504464,-0.780152,-0.454725,0.079339,0.037687,-0.068837,-0.003889,0.009109,0.006859,-0.291949,-0.580956,-0.335741,-0.858601
262,0.049891,0.045779,-0.005381,0.007353,-0.013018,0.036365,1.350347,2.112602,-2.083546,-0.453582,0.079245,0.037888,-0.068687,-0.009873,0.011905,0.008814,0.003395,0.003564,-0.011587,-0.86007
263,0.05,0.045317,-0.004132,0.001202,-0.012212,0.029924,-0.114083,0.599247,-0.816721,-0.454562,0.07907,0.038318,-0.068309,-0.002704,0.012569,0.009469,3.137732,0.766019,-4.475819,-0.855008
264,0.050001,0.044903,-0.003086,0.000877,-0.009491,0.024107,1.224246,0.065647,0.5726,-0.453909,0.078922,0.038838,-0.067828,-0.00207,0.010698,0.01623,-0.022327,0.015171,0.041286,-0.859091
265,0.049963,0.044702,-0.002654,-0.004239,-0.013687,0.022075,-0.079575,0.533891,-0.680041,-0.450643,0.078853,0.039151,-0.067522,-0.007011,0.020022,0.014724,0.768405,-0.219671,-1.56261,-0.8635
266,0.049916,0.044251,-0.001967,0.002353,-0.01259,0.014706,4.159464,-0.661719,2.699255,-0.445744,0.078787,0.039793,-0.066833,-0.000281,0.015857,0.019822,-0.025562,-0.008068,0.062206,-0.865786
267,0.049847,0.043754,-0.00155,-0.003556,-0.012713,0.007733,1.350245,2.060396,-1.908192,-0.446071,0.078785,0.040425,-0.066066,9e-06,0.016648,0.02017,-0.226331,-0.427212,-0.14574,-0.862846
268,0.049763,0.043274,-0.00135,-0.003625,-0.010914,0.001344,1.748721,1.959603,-1.698115,-0.445744,0.078818,0.041012,-0.065244,0.000176,0.01713,0.02031,3.284521,0.794005,-4.265609,-0.864806
269,0.049742,0.043073,-0.001332,0.001432,-0.004803,-0.002967,1.149258,0.603991,0.967354,-0.445581,0.078837,0.041314,-0.064799,0.000269,0.01734,0.020296,-0.032297,-0.020122,0.057638,-0.869541
270,0.049698,0.042797,-0.001464,-0.004022,-0.007884,-0.004346,4.540415,-0.784625,2.303311,-0.449337,0.078893,0.041808,-0.063935,-0.000848,0.01042,0.023228,-0.061576,-0.003025,0.029069,-0.87297
271,0.04975,0.042586,-0.001645,0.001778,-0.005935,-0.003705,-0.011409,0.950534,-0.181678,-0.451296,0.078993,0.042134,-0.063063,-0.00155,0.008327,0.02159,-0.069201,0.009914,0.015342,-0.87297
272,0.049809,0.04249,-0.001725,0.001542,-0.005142,-0.003218,-0.117597,0.969506,0.031465,-0.45048,0.079053,0.042216,-0.06262,0.003729,0.000494,0.024156,-0.102347,0.01499,0.029904,-0.873624
273,0.049988,0.042314,-0.001852,0.007728,-0.004266,-0.003273,-0.223168,1.036167,0.11298,-0.451296,0.079181,0.042212,-0.061725,0.002889,-0.001963,0.022384,-0.102487,0.015032,0.029868,-0.871991
274,0.050261,0.04216,-0.001964,0.007462,-0.003326,-0.002699,-0.139378,0.829752,0.273744,-0.451623,0.07928,0.042013,-0.060788,0.002497,-0.0031,0.021556,-0.104937,0.017317,0.028674,-0.877869
275,0.050672,0.042071,-0.002056,0.01341,-0.001546,-0.002186,-0.104967,0.579838,0.15625,-0.451296,0.079337,0.041664,-0.059793,0.001051,-0.014563,0.029628,1.762418,-1.510904,1.185095,-0.885544
276,0.050879,0.042029,-0.002101,0.013446,-0.001619,-0.002239,0.004314,0.805817,0.265726,-0.451623,0.079343,0.041456,-0.059295,0.000669,-0.015713,0.02887,1.790372,-1.594509,1.324371,-0.887667
277,0.051324,0.04191,-0.002221,0.013918,-0.003021,-0.003157,1.412699,0.376978,0.69145,-0.452439,0.079322,0.040957,-0.058318,6.8e-05,-0.017532,0.027703,1.780108,-1.670671,1.525526,-0.887993
278,0.051735,0.041748,-0.002359,0.014187,-0.00378,-0.003668,-0.122526,0.798221,0.16261,-0.451949,0.079249,0.040392,-0.057358,-0.000427,-0.019011,0.026787,-0.14131,-0.100474,0.26053,-0.894035
279,0.051939,0.041658,-0.002439,0.008214,-0.005424,-0.00412,-0.053231,0.167015,0.102572,-0.451949,0.079185,0.040114,-0.056881,-0.005981,-0.012024,0.023505,-0.126914,-0.210035,0.453854,-0.896484
280,0.052327,0.04147,-0.002604,0.008151,-0.005145,-0.003967,-0.132558,0.641806,0.378249,-0.451623,0.078998,0.039632,-0.055932,-0.005577,-0.010814,0.024307,0.6207,-0.580113,0.605558,-0.896974
281,0.052638,0.041297,-0.002759,0.007787,-0.003913,-0.003188,0.413239,0.178818,0.263172,-0.452603,0.078775,0.03923,-0.055017,-0.005688,-0.011154,0.024105,-0.335513,-0.520818,-0.129674,-0.89828
282,0.052861,0.041198,-0.0029,0.007313,-0.002396,-0.002211,0.048226,0.815271,0.537712,-0.452929,0.07861,0.038854,-0.054157,-0.005316,-0.006473,0.019293,-0.101436,-0.030781,0.126761,-0.899913
283,0.052941,0.041187,-0.00296,0.006947,-0.001221,-0.001445,0.415344,0.213101,0.256129,-0.453256,0.07856,0.038678,-0.053747,-0.005224,-0.006207,0.019464,0.56779,-0.609802,0.748689,-0.896647
284,0.05302,0.041227,-0.003063,0.005106,0.006238,-0.00427,-0.05382,0.710052,0.487352,-0.453746,0.078517,0.038318,-0.053005,-0.005597,-0.003761,0.013217,0.257078,0.068336,-0.224073,-0.895831
285,0.052992,0.041347,-0.00313,-0.000323,0.001023,0.000671,-0.080358,0.261263,0.236266,-0.459134,0.078519,0.037932,-0.052448,-0.000808,-0.013057,0.015156,-0.038886,-0.069102,0.155151,-0.895831
286,0.052955,0.041441,-0.003165,-0.001629,0.006919,-0.003282,5.384209,-0.682278,0.362134,-0.463706,0.078508,0.037747,-0.052231,-0.000796,-0.009473,0.009623,-0.252889,-0.552699,-0.112756,-0.893382
287,0.052888,0.041651,-0.003234,-0.001624,0.006791,-0.003256,-0.019013,0.510126,0.324598,-0.467789,0.078485,0.037332,-0.051895,-0.001632,-0.011988,0.008062,-0.121539,-0.197613,0.06961,-0.886034
288,0.052808,0.041861,-0.003325,-0.001462,0.006291,-0.003577,0.013686,0.054297,0.049014,-0.467952,0.078466,0.036874,-0.051669,-0.00159,-0.008289,0.002621,3.584721,1.465087,-3.964888,-0.883421
289,0.052773,0.041963,-0.003372,-0.001524,0.006484,-0.003448,-0.048805,-0.448873,0.818606,-0.468278,0.078459,0.036643,-0.05155,0.004509,-0.013745,0.006983,3.572225,1.390585,-3.723266,-0.884564
290,0.052711,0.042195,-0.003451,-0.001966,0.007863,-0.00255,-0.061786,0.568959,0.359316,-0.468442,0.078445,0.036242,-0.051346,-0.001953,-0.012998,0.007447,-0.071387,0.038382,-0.031004,-0.891912
291,0.052649,0.042452,-0.003503,-0.000825,0.002486,0.001625,-0.316365,-0.774774,2.744487,-0.467625,0.078409,0.035863,-0.051191,-0.002008,-0.013141,0.007385,3.576124,1.546635,-3.933002,-0.894688
292,0.052597,0.042635,-0.003539,-0.000342,0.001069,0.000702,0.070916,0.470066,0.059564,-0.467299,0.078327,0.03555,-0.051007,-0.001321,-0.01111,0.008656,1.049023,0.514929,-1.185045,-0.897138
293,0.052581,0.042661,-0.00355,0.000229,-0.000731,-0.000465,0.044825,0.780482,0.245311,-0.467135,0.0783,0.035408,-0.050897,-0.001284,-0.010949,0.008777,3.671654,1.009881,-3.949105,-0.89975
294,0.052542,0.042582,-0.003589,0.00072,-0.002269,-0.001465,-0.072786,0.351082,0.208099,-0.466646,0.078244,0.035227,-0.050646,0.000475,-0.002146,0.006491,0.020374,-0.087823,-0.158269,-0.902036
295,0.052536,0.042447,-0.003667,-0.004918,-0.005022,-0.002633,1.527504,0.814838,0.182216,-0.466809,0.07816,0.035228,-0.05037,-0.005216,0.001029,0.008501,-0.073152,-0.07345,-0.063797,-0.903016
296,0.052531,0.042357,-0.003717,-0.004655,-0.005882,-0.003188,-0.050068,0.291292,0.102658,-0.466809,0.078124,0.0353,-0.050254,0.001462,0.000797,0.008337,0.201342,-0.206229,-0.472465,-0.900077
297,0.05254,0.042189,-0.003827,0.001255,-0.003944,-0.00257,-0.01081,0.064019,0.00123,-0.466972,0.078081,0.035533,-0.050036,-0.004226,0.007519,0.004727,-0.106621,-0.328102,-0.16929,-0.902036
298,0.052578,0.042098,-0.003939,0.000833,-0.002606,-0.001705,0.000523,-0.01077,-0.007033,-0.465666,0.07812,0.035683,-0.049848,0.001419,0.00425,0.00265,-0.071564,-0.229074,-0.07948,-0.890769
299,0.052592,0.04205,-0.004028,0.000664,-0.002077,-0.001361,0.002428,-0.053161,0.166406,-0.459951,0.078173,0.035659,-0.049694,-0.000226,-0.004241,0.00516,-0.039421,0.014027,-0.012843,-0.892402
300,0.052587,0.042044,-0.004065,0.00029,-0.000908,-0.000593,0.141552,0.022097,0.238778,-0.456195,0.078179,0.035594,-0.049623,-0.000538,-0.005171,0.004583,-0.032317,0.02841,-0.009777,-0.890116
301,0.052584,0.042103,-0.004109,-0.000207,0.000644,0.000427,-0.062723,0.490583,0.29467,-0.451296,0.078147,0.035379,-0.049523,-0.001459,-0.007931,0.002868,-0.034885,0.018641,-0.015739,-0.87444
302,0.052586,0.042192,-0.00414,-3.4e-05,0.000356,4.4e-05,5.507801,0.030324,0.314581,-0.449827,0.078069,0.035063,-0.049509,-0.002491,-0.011015,0.000935,-0.029637,-0.05667,0.136589,-0.877869
303,0.052579,0.042236,-0.004145,-0.000435,0.001356,0.000901,0.075042,0.721124,0.710177,-0.449174,0.078008,0.034875,-0.049545,-0.002473,-0.007367,-0.004616,-0.001012,0.012732,-0.025808,-0.881135
304,0.052585,0.042347,-0.0041,-0.000849,0.002666,0.001754,-0.064328,0.541193,0.185422,-0.448847,0.077868,0.03444,-0.049713,-0.003897,-0.011602,-0.007329,-0.001998,0.025396,-0.051569,-0.876236
305,0.052634,0.042469,-0.004028,0.005292,0.00388,0.001903,-0.069715,0.571105,-0.016345,-0.445418,0.077706,0.033898,-0.050027,-0.005074,-0.015069,-0.009616,0.344043,0.160958,-0.422769,-0.866929
306,0.052693,0.04259,-0.003959,-0.000723,0.002266,0.001481,-0.00999,0.042266,-0.139154,-0.435457,0.077494,0.033255,-0.05044,-0.006026,-0.017836,-0.011528,0.004221,0.053981,-0.113311,-0.8635
307,0.052731,0.042655,-0.003927,-0.000703,0.002203,0.001435,0.021633,-0.049718,0.028256,-0.4237,0.07737,0.032877,-0.050691,-0.006492,-0.01918,-0.012494,0.002131,-0.037081,0.075156,-0.859091
308,0.05281,0.042746,-0.003873,-0.000275,0.000859,0.000558,-0.001766,-0.001915,-0.015355,-0.399533,0.077093,0.032118,-0.051219,-0.007145,-0.021004,-0.013897,0.007969,-0.046779,0.05548,-0.851906
