frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
613,0.053771,0.033268,-0.006597,-0.012159,-0.004876,-0.001974,-0.019426,0.123798,-0.266019,-0.852664,0.078019,0.024211,-0.057612,0.017075,0.004302,0.012281,-0.028218,-0.051325,0.12224,-0.830515
614,0.053111,0.03307,-0.006683,-0.018945,-0.005068,-0.001312,2.064506,1.681195,-0.902623,-0.852011,0.078594,0.024577,-0.057274,0.017349,0.009116,0.007328,0.005733,-0.056519,0.112509,-0.833781
615,0.052425,0.032948,-0.006754,-0.01908,-0.00462,-0.000987,-0.007266,0.038754,-0.090102,-0.852665,0.079188,0.024927,-0.056945,0.016734,0.003771,0.011675,-0.025852,-0.052744,0.123838,-0.837047
616,0.052061,0.03289,-0.006788,-0.019231,-0.004106,-0.000612,-0.00267,0.034279,-0.099414,-0.851358,0.079459,0.025094,-0.056795,0.017076,0.008676,0.006851,0.007724,-0.057673,0.113846,-0.837863
617,0.051351,0.032805,-0.006867,-0.019217,-0.004113,-0.000632,-0.113954,0.23603,0.036323,-0.855277,0.079998,0.025416,-0.056493,0.016696,0.007734,0.006062,0.007969,-0.07003,0.139262,-0.83868
618,0.050675,0.032753,-0.006959,-0.020191,0.000883,-0.005134,0.02151,0.19895,-0.024974,-0.854297,0.080442,0.025678,-0.056228,0.009053,0.002457,0.010375,-0.085287,0.010661,0.026749,-0.839169
619,0.050343,0.032733,-0.007007,-0.012937,-0.002274,-8.1e-05,1.800998,2.092714,-0.661186,-0.853807,0.080636,0.025793,-0.056109,0.00874,0.001513,0.009654,0.011429,0.147676,-0.250332,-0.839496
620,0.049758,0.032752,-0.007126,-0.013962,0.002936,-0.004421,-0.115731,0.316956,0.166455,-0.852338,0.080952,0.025965,-0.055889,0.001912,0.006086,0.00448,-0.091412,0.15683,-0.213347,-0.840149
621,0.04923,0.032818,-0.007274,-0.012675,-0.003116,-0.000724,-0.237765,0.487789,0.24592,-0.850052,0.081153,0.026026,-0.055679,0.000851,-0.001002,0.007642,-0.034,0.004514,0.010069,-0.839986
622,0.048757,0.032898,-0.007472,-0.007083,0.002946,-0.005267,3.117034,-1.120057,4.394653,-0.858706,0.081227,0.025989,-0.055467,0.000741,0.002384,0.00174,0.155982,0.633343,0.371725,-0.839333
623,0.048531,0.032961,-0.007585,-0.013693,0.00213,-0.005033,-0.189333,0.609698,0.488506,-0.859196,0.081245,0.025931,-0.055364,3.6e-05,-0.003599,0.005738,-0.035728,-0.009763,-0.000659,-0.839822
624,0.048147,0.033141,-0.007815,-0.007409,0.003905,-0.004498,-0.316628,0.785117,0.26683,-0.857563,0.081239,0.02581,-0.055189,-0.000177,-0.004282,0.00524,-0.035003,0.016845,-0.016303,-0.839006
625,0.04777,0.033366,-0.008069,-0.008304,0.008739,-0.009088,-0.187832,0.663962,-0.040206,-0.852501,0.081241,0.025732,-0.055052,2.7e-05,-0.00364,0.00571,0.027154,0.24396,0.130702,-0.839822
626,0.047574,0.033481,-0.008208,-0.014714,0.007542,-0.009201,0.788941,0.4517,1.234508,-0.849725,0.081251,0.025713,-0.05499,5.1e-05,-0.00356,0.005771,-0.036647,0.004587,-0.025017,-0.839986
627,0.047227,0.033693,-0.008486,-0.007018,0.002558,-0.00549,-0.322017,0.856867,0.278995,-0.848582,0.081319,0.025704,-0.054864,0.000955,0.003069,0.002239,0.000367,-0.012929,0.025816,-0.840639
628,0.046906,0.033883,-0.008771,-0.006896,0.002134,-0.005799,-0.106497,0.376173,-0.053809,-0.852338,0.081444,0.025743,-0.054709,0.007464,-0.002382,0.006722,-0.033037,-0.010071,0.039426,-0.841455
629,0.046631,0.03398,-0.00903,-0.006605,0.001061,-0.006594,-0.005664,0.154811,-0.198843,-0.854134,0.081645,0.02582,-0.054551,0.008057,0.003299,0.002484,0.001549,-0.027348,0.055626,-0.842762
