frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1470,0.027448,0.043973,0.004708,0.005643,0.002223,-0.006483,-0.105903,0.727178,0.508752,0.384425,0.11474,0.038265,-0.052276,-0.019566,0.013549,-0.028805,-0.427926,-1.584546,0.012349,-0.198744
1471,0.027527,0.044193,0.00435,-0.000748,0.007619,-0.01023,0.000102,0.370631,0.278737,0.495626,0.113923,0.038864,-0.05334,-0.019957,0.022686,-0.031027,-0.458065,-1.733645,-0.225035,-0.068601
1472,0.027461,0.044426,0.004076,-0.001424,0.018473,-0.018541,0.068088,0.418036,0.125551,0.507872,0.113526,0.039295,-0.0539,-0.019721,0.019521,-0.02535,-0.07762,-1.628378,-0.901036,-0.041821
1473,0.02716,0.045142,0.003359,-0.008113,0.029412,-0.026284,0.108912,0.527085,0.407148,0.515547,0.112816,0.040324,-0.054999,-0.013741,0.028647,-0.027689,-1.642721,-0.543041,-3.142517,0.0555
1474,0.02663,0.046205,0.002374,-0.020164,0.027213,-0.026579,0.012701,1.066875,0.631878,0.517017,0.112162,0.041619,-0.05606,-0.013863,0.03413,-0.024436,-0.493332,-1.623844,-0.784944,0.179601
1475,0.026318,0.046828,0.001773,-0.014119,0.026303,-0.027458,0.06482,0.866871,0.559945,0.517343,0.111828,0.042381,-0.056578,-0.020232,0.041339,-0.027415,-0.446908,-1.284238,-0.885828,0.233976
1476,0.025824,0.048071,0.000539,-0.008386,0.03131,-0.032047,-0.365624,-1.09533,2.596252,0.517507,0.111164,0.043966,-0.05757,-0.013944,0.04188,-0.027145,-0.834215,-1.220414,-0.693992,0.301742
1477,0.025511,0.049212,-0.000652,-0.008054,0.024909,-0.028404,0.08755,0.414847,0.307703,0.518976,0.110511,0.04551,-0.058627,-0.019837,0.038792,-0.028486,-0.283792,-1.104699,-0.791365,0.333584
1478,0.025377,0.050222,-0.001714,0.004011,0.027788,-0.027396,0.11585,0.307193,0.561996,0.517833,0.109881,0.046905,-0.059686,-0.019675,0.037725,-0.028906,-1.612591,-0.240462,0.079012,0.344524
1479,0.025411,0.050681,-0.002174,-0.001652,0.022515,-0.022814,0.185486,-0.102787,0.220485,0.512608,0.109568,0.04758,-0.060187,-0.013564,0.038864,-0.028359,-0.234468,-0.733518,-0.31149,0.338319
