frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
262,0.036732,0.046509,-0.009967,0.020606,-0.022015,0.014123,-0.114801,0.025568,-0.455794,-0.802371,0.070511,0.038895,-0.082894,0.018429,0.018984,0.017085,5.46342,-0.519989,0.155743,-0.912487
263,0.037557,0.045593,-0.009363,0.020726,-0.022105,0.014118,-0.038808,-0.280798,-0.673225,-0.824252,0.0711,0.03953,-0.082214,0.01125,0.018313,0.015938,-0.007165,-0.266622,-0.460155,-0.914283
264,0.038183,0.044905,-0.009027,0.013136,-0.008226,0.000986,-0.040722,0.016482,0.03348,-0.838622,0.071628,0.040135,-0.081597,0.010647,0.016209,0.013905,0.000458,0.167453,-0.188078,-0.921468
265,0.038417,0.044679,-0.008969,0.013179,-0.008636,0.000699,-0.035941,-0.001371,0.022054,-0.839111,0.071864,0.040386,-0.081343,0.010089,0.014023,0.011968,-0.001118,0.169211,-0.22194,-0.922284
266,0.038806,0.044491,-0.009028,0.006426,-0.003309,-0.002864,0.017347,-0.102184,0.157665,-0.842214,0.072308,0.040815,-0.080899,0.009267,0.010782,0.00912,-0.001272,0.181089,-0.247732,-0.922774
267,0.039144,0.044391,-0.009156,0.006451,-0.003497,-0.003007,-0.001312,-0.002002,0.00947,-0.846296,0.072616,0.04114,-0.080535,0.001733,0.003628,0.011555,0.00787,0.207386,-0.290557,-0.919672
268,0.039523,0.044251,-0.009275,0.012748,-0.003293,-0.003399,0.000138,-0.017976,0.039602,-0.847276,0.072821,0.04135,-0.080207,0.00814,0.006179,0.005178,0.49242,-0.01027,-0.075921,-0.915263
269,0.039746,0.044161,-0.009328,0.012786,-0.003776,-0.003752,0.000368,-0.017689,0.039262,-0.848909,0.07289,0.041401,-0.080055,0.007526,-0.000395,0.008264,-0.034309,-0.012651,0.03762,-0.915099
270,0.040141,0.04389,-0.009465,0.006698,-0.007268,-0.005733,0.002541,0.007991,-0.003208,-0.851195,0.072938,0.041446,-0.079751,0.000765,-0.000535,0.008051,-0.035917,0.116152,-0.154715,-0.916732
271,0.040493,0.043528,-0.009735,0.006895,-0.010225,-0.007902,0.716084,1.665882,-2.113804,-0.860829,0.072909,0.041368,-0.07944,-6.6e-05,-0.008081,0.010362,-0.037902,0.419053,0.272135,-0.918202
272,0.040658,0.043305,-0.009903,0.007014,-0.011998,-0.009215,-0.025707,0.098515,0.047159,-0.864585,0.072881,0.041314,-0.079299,0.000367,-0.002263,0.006632,0.090185,0.617269,-0.912983,-0.917059
273,0.040956,0.04276,-0.010322,0.007228,-0.014957,-0.011476,0.703867,1.686832,-2.135289,-0.873566,0.072849,0.041219,-0.079041,0.000343,-0.002376,0.006539,-0.035554,-0.004388,0.004017,-0.916732
274,0.041309,0.042208,-0.010755,0.007194,-0.01349,-0.010524,0.717673,1.557523,-1.944882,-0.873076,0.072809,0.04119,-0.078799,0.000557,-0.001443,0.00729,-0.038349,0.100068,-0.164923,-0.92408
275,0.041537,0.041932,-0.010959,0.014132,-0.018211,-0.006603,0.029652,0.186542,-0.230156,-0.876995,0.072783,0.041215,-0.078696,-0.005584,0.004958,0.003943,0.046543,0.401286,-0.28902,-0.923264
276,0.04198,0.041416,-0.011296,0.007136,-0.011269,-0.009021,-0.003452,0.014464,-0.014553,-0.876342,0.072753,0.041308,-0.078488,-0.005297,0.006172,0.004913,-0.003783,0.083257,-0.150551,-0.911834
277,0.042437,0.041002,-0.011585,0.013406,-0.008078,-0.007264,-0.001926,-0.001715,0.015859,-0.872913,0.072741,0.041419,-0.078229,0.001385,0.006067,0.004878,0.118364,0.603552,-0.89099,-0.897301
278,0.042899,0.0407,-0.011806,0.006873,-0.006097,-0.005229,0.002833,0.008941,-0.004508,-0.867851,0.072796,0.041535,-0.077965,0.000975,0.000398,0.00872,0.323559,1.736735,-2.59131,-0.877869
279,0.043133,0.040557,-0.011886,0.013248,-0.004766,-0.004814,-0.001249,-0.020405,0.042618,-0.867034,0.072836,0.041603,-0.077816,0.001518,0.00667,0.005323,-0.003964,0.315175,-0.460105,-0.871664
280,0.043546,0.040307,-0.011984,0.007365,-0.009681,0.000165,-0.040286,0.004182,-0.004311,-0.869647,0.072918,0.041725,-0.077493,0.001254,0.001645,0.009673,-0.037928,0.337544,-0.479065,-0.870358
281,0.043935,0.040085,-0.012035,0.006644,-0.002237,-0.002323,-0.008773,-0.005984,0.046961,-0.876342,0.073011,0.041818,-0.077118,0.001513,0.002804,0.010554,0.016216,0.475131,-0.10753,-0.880808
282,0.04411,0.039983,-0.012037,0.007264,-0.007881,0.001533,-0.035768,0.149698,-0.239641,-0.873566,0.073056,0.041863,-0.076889,0.001227,-0.002341,0.014821,0.031949,0.939804,-0.059635,-0.876889
283,0.044383,0.039822,-0.012062,0.007282,-0.007944,0.001483,-0.064529,0.099708,0.055783,-0.870463,0.07312,0.041904,-0.076332,0.001706,-0.00018,0.016463,-0.002941,0.675851,-0.245461,-0.883911
284,0.044575,0.039735,-0.01211,0.000118,-0.001498,-0.001163,0.175571,0.701906,-0.590742,-0.868994,0.073159,0.041874,-0.075641,0.001824,0.000374,0.016831,0.098851,1.115071,0.053629,-0.882604
285,0.044661,0.039699,-0.012145,8.3e-05,-0.00104,-0.000806,-0.037645,0.13422,0.05768,-0.863605,0.073184,0.041743,-0.074845,0.001605,-0.004494,0.021294,-1.407986,1.815735,0.433858,-0.879992
286,0.044652,0.039692,-0.01215,-5e-06,5.6e-05,3.9e-05,-0.056895,0.23939,0.171843,-0.859196,0.073201,0.041636,-0.074395,0.001806,-0.003519,0.021992,0.154112,2.555608,-2.306658,-0.88783
287,0.044636,0.039714,-0.012131,-3.4e-05,0.000424,0.000326,-0.000114,-0.006185,0.000711,-0.862789,0.073228,0.041326,-0.073429,0.001177,-0.010249,0.025064,-1.321992,2.099522,0.405035,-0.880319
288,0.044591,0.039723,-0.012121,1e-06,-4e-06,-1e-06,-0.008579,0.014742,0.01084,-0.861646,0.073237,0.040829,-0.072422,-0.005562,-0.010649,0.024717,0.075704,1.139365,-0.287133,-0.881135
289,0.044557,0.039718,-0.012121,4.6e-05,-0.00059,-0.000453,0.000254,-0.009049,-0.003806,-0.860339,0.073236,0.040543,-0.0719,-0.005862,-0.01589,0.028978,0.153538,1.380121,-0.164825,-0.885544
290,0.044472,0.03969,-0.012134,3.9e-05,-0.000498,-0.000381,-0.033811,0.125597,0.09418,-0.856257,0.073186,0.039846,-0.07071,0.000351,-0.021633,0.032919,0.176315,1.421783,-0.11797,-0.887013
291,0.0444,0.039672,-0.012147,1.7e-05,-0.000214,-0.000163,-0.018572,0.053499,0.037664,-0.861809,0.073082,0.039025,-0.069488,-0.00648,-0.022521,0.032321,0.26841,1.549792,0.115733,-0.871991
292,0.044388,0.039634,-0.012176,0.000133,-0.001714,-0.001323,0.154819,0.663857,-0.664559,-0.859033,0.072851,0.038214,-0.068299,-0.00639,-0.018175,0.027423,0.360351,1.489974,0.101725,-0.878196
293,0.044405,0.039605,-0.012199,0.000118,-0.001522,-0.001174,0.053906,0.146623,-0.217078,-0.860013,0.072698,0.037826,-0.067739,-0.006627,-0.01918,0.026724,0.18542,1.26184,-0.301312,-0.881788
294,0.044463,0.039552,-0.012245,0.006599,-0.001316,-0.001624,-0.076877,0.404306,0.304549,-0.85936,0.07234,0.03715,-0.066742,-0.006507,-0.014714,0.021878,0.173139,1.083385,-0.39068,-0.888973
295,0.044542,0.039476,-0.012304,0.000227,-0.002902,-0.002249,-0.041728,0.327249,0.11396,-0.859849,0.071983,0.036746,-0.066016,-0.005927,-0.004394,0.013085,0.008685,0.513767,-0.442109,-0.915589
296,0.044609,0.039373,-0.012396,0.000243,-0.00308,-0.00239,-0.017951,0.035595,-0.002917,-0.85544,0.071681,0.03665,-0.065573,-0.012098,0.001565,0.009237,-0.056846,0.332812,-0.562016,-0.916732
297,0.044628,0.039315,-0.012443,0.000251,-0.003163,-0.002458,-0.016895,0.039295,-0.005164,-0.852991,0.071542,0.036733,-0.065453,-0.005225,0.006278,0.00449,-0.010051,0.089001,-0.183864,-0.909548
298,0.044631,0.039205,-0.012552,0.000237,-0.003004,-0.002339,-0.009764,0.000784,-0.029404,-0.852665,0.071293,0.036996,-0.065313,-0.005397,0.005436,0.003875,0.001616,-0.001381,-0.006934,-0.916896
299,0.044626,0.039091,-0.01264,0.000197,-0.002482,-0.001935,-0.004555,-0.017436,-0.009627,-0.850052,0.071115,0.037319,-0.065295,-0.00521,0.010002,-0.000968,0.039347,-0.025409,0.018147,-0.91118
300,0.04462,0.039036,-0.012682,0.000223,-0.002828,-0.002208,-0.000946,-0.010632,0.00144,-0.849399,0.071021,0.037483,-0.065288,-0.005094,0.010461,-0.000648,-0.036925,0.141256,-0.183775,-0.910201
301,0.044649,0.038916,-0.012784,-0.000374,0.002503,-0.006323,0.033391,-0.004482,-0.004696,-0.849562,0.070892,0.037735,-0.065188,-0.005292,0.005728,0.004052,0.002111,-0.00436,-0.001232,-0.901056
302,0.044663,0.038851,-0.012873,0.000108,-0.001358,-0.001065,-0.023034,0.086992,0.061292,-0.850705,0.070804,0.037934,-0.065006,0.000995,0.000396,0.008313,-0.038573,-0.019574,0.03118,-0.895015
303,0.044648,0.038856,-0.012899,-0.006465,-0.000787,-1e-06,-0.023831,0.069488,0.013257,-0.849399,0.070787,0.038008,-0.064906,0.000916,6e-05,0.008069,-0.0342,-0.01359,0.032562,-0.895994
304,0.044621,0.038869,-0.012929,7.9e-05,-0.001034,-0.000811,-0.125312,0.538484,0.286963,-0.848256,0.070787,0.038109,-0.064696,0.000707,-0.000809,0.007449,-0.033951,0.00239,0.008283,-0.896484
305,0.044637,0.038842,-0.012983,0.00013,-0.001638,-0.001287,-0.063514,0.265848,0.159513,-0.844663,0.070847,0.038224,-0.064502,0.00125,0.005335,0.003712,0.06333,0.08396,0.087905,-0.897301
306,0.044627,0.038838,-0.013023,2e-06,-0.0,8e-06,1.565959,0.30926,0.457922,-0.842051,0.070921,0.038306,-0.064265,0.007168,-0.001424,0.00698,-0.045416,-0.029633,0.037118,-0.897464
307,0.044625,0.038858,-0.013038,2.1e-05,-0.000229,-0.000181,-0.020696,0.020093,0.011395,-0.842867,0.070968,0.038319,-0.064131,0.000898,2.7e-05,0.007997,-0.299474,0.54103,-0.639431,-0.897791
308,0.044617,0.038882,-0.013093,0.000116,-0.001507,-0.001189,0.682763,2.026218,-1.869419,-0.845643,0.071039,0.038353,-0.063893,0.0011,0.004715,0.003246,0.196978,0.283383,0.184616,-0.898934
309,0.044575,0.038835,-0.013201,0.000244,-0.003133,-0.00247,-0.100566,0.461411,0.293788,-0.847276,0.071113,0.03841,-0.063668,0.001106,0.004762,0.003269,-0.015949,0.086307,-0.16256,-0.894525
310,0.04455,0.038821,-0.013285,-0.006861,0.001918,-0.006182,-0.034666,0.274829,-0.097205,-0.844663,0.071158,0.038433,-0.063563,0.000712,-0.000749,0.007434,-0.034753,-0.000148,0.008261,-0.897464
311,0.044491,0.038824,-0.013496,0.000335,-0.004339,-0.003432,-0.115088,0.722258,0.237599,-0.851031,0.071205,0.038492,-0.06335,0.000941,0.004059,0.002771,-0.009141,-0.033265,0.029718,-0.894851
312,0.044417,0.038865,-0.013781,-0.000271,0.001135,-0.00743,-0.144231,0.800426,0.556746,-0.85593,0.071296,0.038551,-0.063149,0.001093,0.004728,0.003215,-0.281375,0.557203,-0.625637,-0.890442
313,0.044375,0.038989,-0.014074,-0.000402,0.002949,-0.005995,0.077305,0.48981,0.133557,-0.853154,0.071346,0.038548,-0.062878,0.000574,-0.001324,0.007019,-0.824341,1.826712,-1.945472,-0.896484
314,0.044354,0.039073,-0.014207,-0.000423,0.003132,-0.005849,-0.09679,0.7969,0.594591,-0.853481,0.071362,0.03851,-0.062726,0.00051,-0.00159,0.006836,-0.02936,0.317221,-0.086976,-0.901383
315,0.044301,0.039269,-0.01446,-0.000513,0.004344,-0.004882,-0.117873,0.62334,0.470251,-0.850705,0.071394,0.038348,-0.062385,0.000448,-0.001854,0.006655,0.210325,0.354582,0.200494,-0.898607
316,0.044278,0.039473,-0.014654,-0.000579,0.00526,-0.004145,-0.043715,0.358694,0.038784,-0.848256,0.071451,0.038071,-0.062062,0.00596,-0.010288,0.008843,-0.068765,-0.002651,0.022757,-0.898281
317,0.044258,0.039562,-0.014732,-0.000552,0.004858,-0.004464,-0.06461,0.617885,0.22259,-0.851358,0.071484,0.037935,-0.061928,-0.000143,-0.004423,0.004926,0.237636,0.454164,0.243786,-0.898607
318,0.04418,0.039732,-0.014891,-0.007039,0.004309,-0.004277,0.019494,0.182907,0.077874,-0.85642,0.07155,0.037701,-0.061713,0.006072,-0.006012,0.003822,0.027085,0.115529,0.086372,-0.891749
319,0.044071,0.039964,-0.015048,-0.007156,0.005949,-0.002962,-0.006714,0.127923,0.109398,-0.850542,0.071618,0.037445,-0.061505,-0.000602,-0.010278,0.008909,0.011568,0.179415,0.063651,-0.887013
320,0.043937,0.040212,-0.015203,-0.00061,0.005705,-0.003773,-6.6e-05,0.176689,-0.072088,-0.855114,0.071692,0.037153,-0.061269,0.005824,-0.01099,0.0084,0.008619,0.236123,0.085809,-0.888483
321,0.043887,0.040314,-0.015286,-0.00703,0.004343,-0.004236,0.12581,0.578897,0.375892,-0.855114,0.07175,0.036991,-0.061153,0.005986,-0.006446,0.00354,-0.90693,1.969408,-1.747426,-0.889953
322,0.043801,0.040473,-0.015403,-0.000624,0.005854,-0.003647,0.374136,-1.381478,2.406313,-0.852338,0.071867,0.036633,-0.060932,0.005373,-0.013049,0.007024,0.235068,0.453565,0.223461,-0.892239
323,0.043808,0.04055,-0.015423,-6.7e-05,0.000921,0.000735,-0.002775,-0.019005,-0.021329,-0.855604,0.072035,0.03624,-0.060794,0.005168,-0.010185,0.001023,0.342716,0.540996,0.245074,-0.893708
324,0.043836,0.040571,-0.015403,-0.000119,0.001615,0.001287,0.003208,-0.018687,0.01705,-0.854134,0.072154,0.036038,-0.060788,0.004925,-0.011295,0.000269,0.090443,0.104185,0.26039,-0.895668
325,0.043921,0.040621,-0.015334,-0.000119,0.001598,0.001272,0.045801,-0.147922,0.217956,-0.859849,0.072412,0.035628,-0.060901,0.010687,-0.015244,-0.002469,-0.075799,0.285642,-0.130316,-0.897137
326,0.044012,0.040649,-0.015302,0.006411,0.001295,0.000412,0.138534,-0.632122,0.945181,-0.865238,0.072643,0.035224,-0.061148,0.004237,-0.010778,-0.007409,0.172298,0.572442,0.226358,-0.897301
327,0.044054,0.040673,-0.015281,-0.000133,0.001746,0.001388,0.001988,-0.00995,0.018518,-0.866544,0.072759,0.035006,-0.061298,0.010526,-0.012417,-0.008595,0.326971,0.293684,0.09113,-0.895994
328,0.04414,0.040765,-0.01521,-0.000225,0.002934,0.00233,0.531139,-0.214281,-0.215024,-0.870137,0.073009,0.034539,-0.061634,0.003829,-0.012842,-0.008918,-1.148702,1.812135,-1.812325,-0.896648
329,0.044166,0.040871,-0.01513,-0.000206,0.002653,0.002106,0.049107,-0.326769,-0.113907,-0.877974,0.073172,0.033968,-0.061947,0.003498,-0.018423,-0.004818,0.338001,-0.001658,-0.301933,-0.896811
330,0.04417,0.040955,-0.015051,-0.000154,0.001985,0.001573,0.006318,0.008712,-0.002458,-0.88418,0.073205,0.033376,-0.062254,0.003241,-0.019733,-0.005821,0.403323,0.67334,0.250271,-0.890443
331,0.044185,0.04096,-0.015012,-9e-05,0.001155,0.000913,-0.000311,0.011591,-0.001484,-0.884506,0.073161,0.03308,-0.062408,-0.002833,-0.012939,-0.009156,0.105757,0.232014,0.038022,-0.893708
