frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
20,0.043266,0.022892,-0.015267,-0.002039,0.018269,-0.019677,-0.149983,0.488581,0.626719,-0.059726,0.072263,0.015996,-0.057466,0.000181,0.000794,0.000654,0.000907,-0.012603,0.025891,-0.871174
21,0.043125,0.02379,-0.016207,-0.009982,0.027595,-0.028577,-0.147583,0.629358,0.754262,-0.004043,0.072248,0.016027,-0.057447,0.000185,0.000819,0.000674,0.001811,-0.002244,0.004314,-0.798183
22,0.042894,0.024742,-0.017277,-0.009879,0.026158,-0.029811,-0.237901,0.828705,0.622927,0.034656,0.072222,0.016094,-0.057419,0.000343,0.001502,0.001235,0.009978,-0.091488,0.187255,-0.686166
23,0.042746,0.025222,-0.017835,-0.003013,0.027051,-0.029667,-1.605125,0.076592,0.11996,0.052782,0.072214,0.016143,-0.057405,0.000337,0.001482,0.001217,0.003598,-0.004576,0.008814,-0.619054
24,0.042404,0.026256,-0.018946,-0.00994,0.028189,-0.027849,-0.046255,0.370874,0.591492,0.124466,0.072213,0.016263,-0.05738,0.000662,0.006905,-0.003169,-0.642854,1.183607,-2.372533,-0.495116
25,0.042003,0.027363,-0.019961,-0.009995,0.030021,-0.026081,0.072035,0.241649,0.25695,0.214929,0.072196,0.016357,-0.057356,0.000237,0.001038,0.000851,-0.003181,0.006617,-0.013449,-0.404816
26,0.041542,0.028398,-0.020828,-0.016308,0.025859,-0.020083,-0.110962,0.489559,0.413996,0.294942,0.072154,0.016417,-0.057321,0.000302,0.001319,0.001082,0.043811,-0.008901,0.014183,-0.336071
27,0.041317,0.028851,-0.021166,-0.008975,0.02184,-0.01539,-0.028447,0.285865,0.277836,0.331845,0.072137,0.016439,-0.057309,-0.006828,0.001585,0.001211,0.012303,0.02656,-0.029267,-0.311904
28,0.040804,0.029727,-0.0217,-0.015836,0.023903,-0.012769,0.024429,-0.072984,-0.038941,0.402713,0.072098,0.016452,-0.057293,-1e-05,-4.4e-05,-3.5e-05,-0.000367,0.000914,0.000564,-0.284308
29,0.040255,0.030442,-0.022029,-0.014712,0.012952,-0.004781,-0.055348,-0.043357,-0.075233,0.452844,0.072033,0.016456,-0.057297,-1.3e-05,-5.5e-05,-4.2e-05,-0.000477,1.7e-05,9.3e-05,-0.26455
30,0.03996,0.030733,-0.022134,-0.014721,0.01381,-0.003994,0.039137,-0.033645,-0.021843,0.470806,0.071996,0.016462,-0.057299,-0.00699,0.000878,0.000631,-0.000272,0.030384,-0.022707,-0.255569
31,0.039305,0.031158,-0.022236,-0.020888,0.007295,-0.000329,-0.090527,-0.045271,-0.105213,0.496769,0.071928,0.016475,-0.057302,-0.006962,0.001009,0.000739,-0.00128,0.014862,-0.027994,-0.230422
32,0.038558,0.031448,-0.022243,-0.020329,0.001667,0.003472,-0.003453,0.033397,-0.067911,0.510485,0.071866,0.016504,-0.057313,3e-06,6e-06,6e-06,-0.036391,-0.55999,-0.269757,-0.200703
33,0.037656,0.031662,-0.022193,-0.027045,0.001823,0.004215,0.025886,-0.014741,-0.141954,0.515221,0.071842,0.016567,-0.057374,0.000188,0.004866,-0.00484,0.032186,-0.005704,0.006148,-0.161677
34,0.037165,0.031754,-0.02215,-0.020283,0.001983,0.00371,0.16696,-0.244279,-0.311895,0.516037,0.071837,0.016625,-0.057452,-0.000104,0.003594,-0.005881,0.037145,0.011343,0.002606,-0.141429
35,0.036186,0.031869,-0.021975,-0.027002,0.002936,0.005145,0.399997,-0.657722,-0.634648,0.514894,0.071778,0.016784,-0.057766,-0.007633,0.002121,-0.007182,0.042877,-0.090714,0.13953,-0.112036
36,0.035109,0.031888,-0.021766,-0.026956,0.001822,0.00408,0.603825,-1.033559,-0.940453,0.514567,0.071679,0.016998,-0.058327,-0.001104,0.003285,-0.014983,0.034518,-0.558639,-0.288432,-0.101259
37,0.034569,0.031895,-0.021691,-0.02694,0.000317,0.002695,0.769939,-1.360379,-1.227498,0.514241,0.071626,0.017163,-0.058696,-0.000765,0.008793,-0.019291,0.143597,-0.180075,-0.060459,-0.097503
38,0.033597,0.031659,-0.021482,-0.019347,-0.012794,0.008066,0.693754,-1.432881,-1.022016,0.506403,0.071521,0.017619,-0.059555,-0.007541,0.014604,-0.023446,0.090915,-1.164435,-0.332332,-0.093585
39,0.032705,0.031135,-0.021172,-0.026168,-0.013444,0.008034,0.934363,-1.960093,-1.215132,0.487461,0.07143,0.018217,-0.060569,-0.000697,0.013078,-0.024613,0.129077,-0.582433,-0.234238,-0.091952
40,0.031916,0.030667,-0.020847,-0.019867,-0.006555,0.004733,0.799814,-1.665755,-0.922871,0.469009,0.071327,0.018957,-0.061751,-0.000335,0.022657,-0.034361,0.165787,-1.009968,-0.430822,-0.080685
41,0.031525,0.030445,-0.020691,-0.019481,-0.012423,0.00837,0.616568,-1.352693,-0.702588,0.461825,0.07126,0.019365,-0.062383,-0.007568,0.018424,-0.029134,0.124007,-0.924719,-0.763702,-0.074153
42,0.030768,0.02993,-0.020332,-0.019531,-0.012308,0.008466,0.365378,-0.893223,-0.353835,0.455293,0.071172,0.020274,-0.063703,-0.00022,0.02307,-0.033974,0.120882,-0.562218,-1.2423,-0.055864
43,0.030094,0.029412,-0.019976,-0.019955,-0.006292,0.004934,0.433757,-0.942536,-0.366111,0.454476,0.071126,0.021227,-0.06505,-0.007059,0.024486,-0.032867,0.142752,-1.112526,-0.776363,-0.024023
44,0.029535,0.029053,-0.019648,-0.019555,-0.009827,0.01068,0.061465,-0.366485,0.245318,0.466723,0.071091,0.022141,-0.066288,0.000268,0.025089,-0.032173,0.144523,-1.212965,-0.810733,0.029047
45,0.029296,0.028874,-0.01944,-0.012779,-0.009256,0.010655,0.196411,-0.567489,-0.058794,0.484359,0.071084,0.022597,-0.066877,0.000144,0.020529,-0.027117,0.086971,-1.429613,-0.931625,0.049295
46,0.028863,0.028396,-0.018993,-0.005719,-0.016584,0.012497,0.245223,-0.716912,-0.127647,0.510975,0.071091,0.023505,-0.067969,0.000854,0.027503,-0.030008,0.126837,-1.299173,-0.847175,0.084402
47,0.0287,0.02808,-0.018752,-0.012502,-0.016011,0.013548,0.245606,-0.675578,-0.158671,0.515057,0.071114,0.023966,-0.068484,0.000387,0.017533,-0.020683,0.069306,-0.950656,-0.705005,0.0942
48,0.02842,0.027378,-0.018032,-0.012048,-0.017505,0.021171,0.251205,-0.644895,-0.34476,0.521099,0.071144,0.024781,-0.069379,0.000515,0.018074,-0.020177,0.221591,-0.997096,-0.473658,0.115101
49,0.028129,0.026537,-0.017166,-0.005,-0.025032,0.022927,0.222582,-0.176888,-0.53124,0.522569,0.071159,0.025442,-0.070203,6.9e-05,0.016201,-0.021785,0.050473,-1.026681,-0.767418,0.164415
50,0.027867,0.025514,-0.016186,-0.004618,-0.028605,0.02876,0.199777,-0.585311,-0.573383,0.522732,0.07115,0.025884,-0.071043,-0.000811,0.01256,-0.02498,0.075514,-1.010778,-0.564632,0.204094
51,0.027811,0.025006,-0.015651,0.002246,-0.027458,0.029294,0.094447,-0.428216,-0.404609,0.522732,0.071144,0.02602,-0.071491,-0.00168,0.004958,-0.02269,0.038187,-0.692109,-0.670353,0.20785
52,0.027743,0.023958,-0.014509,-0.004604,-0.02738,0.029951,0.332734,-0.808418,-0.64475,0.522569,0.07105,0.026191,-0.072412,-0.008907,0.00466,-0.023205,0.1914,-0.678446,-0.411414,0.201318
53,0.027717,0.022781,-0.013319,-0.004707,-0.029458,0.02822,0.411743,-0.454202,-0.93825,0.522732,0.070859,0.026321,-0.073327,-0.008891,0.004835,-0.023144,0.069377,-0.492285,-0.35839,0.202625
54,0.027705,0.022131,-0.012739,-0.004771,-0.030883,0.027031,0.201363,-0.524512,-0.568301,0.522732,0.070748,0.026362,-0.073723,-0.002129,-0.000761,-0.018938,0.010891,-0.595583,-0.382863,0.20638
55,0.027721,0.020929,-0.01169,0.002119,-0.030399,0.02703,0.268333,-0.701536,-0.844134,0.522732,0.070521,0.026384,-0.074421,-0.001756,0.000833,-0.017569,0.068436,0.024803,-0.033014,0.20638
56,0.027791,0.01992,-0.010721,0.001843,-0.023519,0.024169,0.054847,-0.297662,-0.522198,0.522569,0.070359,0.0263,-0.07492,-0.008388,-0.00089,-0.010221,0.03159,0.028306,-0.062529,0.198542
57,0.027826,0.019254,-0.009885,0.001616,-0.0153,0.022409,0.119682,-0.374923,-0.541137,0.522405,0.070252,0.026168,-0.075188,-0.000997,-0.004033,-0.003727,-0.001393,0.015446,-0.024661,0.187439
58,0.027851,0.019015,-0.009463,0.001666,-0.014083,0.023461,0.177381,-0.577366,-0.397664,0.522732,0.070233,0.026108,-0.07523,-0.00049,-0.001988,-0.001838,-0.000853,0.000213,-0.000124,0.183846
59,0.027914,0.018719,-0.008772,0.000932,-0.004408,0.013983,0.908282,-0.242244,1.316318,0.522732,0.070244,0.026047,-0.075197,0.0003,0.001199,0.00111,0.022151,0.233832,0.145082,0.18156
60,0.027943,0.018554,-0.00826,0.000525,-0.000515,0.008428,-0.035981,-0.00097,0.008308,0.522732,0.070293,0.02608,-0.075089,0.000657,0.002648,0.002448,-0.000715,-0.002295,-0.001571,0.176498
61,0.027947,0.01853,-0.008108,0.000119,0.003394,0.002893,0.001534,-0.014428,0.024715,0.522732,0.070338,0.026129,-0.075035,0.000791,0.003195,0.002948,6.2e-05,-0.015408,0.024261,0.174865
62,0.027873,0.01858,-0.008026,-0.000342,0.005719,-0.003983,0.036324,-0.011268,0.017709,0.522732,0.070447,0.026222,-0.074948,0.007439,0.001022,0.001145,0.001195,-0.029821,0.054028,0.176335
63,0.027788,0.018527,-0.008065,-0.000129,-0.00316,-0.002692,0.001686,0.008053,-0.028859,0.522895,0.070579,0.026246,-0.07495,-0.000186,-0.000754,-0.000698,-0.000106,5.6e-05,-2.3e-05,0.182703
64,0.027701,0.018413,-0.008149,-0.006986,-0.001896,-0.001104,-0.002034,0.01509,-0.029383,0.523222,0.070695,0.026222,-0.074996,-3.5e-05,-0.000142,-0.000135,-7.2e-05,2.8e-05,-4e-06,0.171436
65,0.027674,0.018386,-0.00817,-3.2e-05,-0.000801,-0.000683,0.170431,-0.325149,-0.202065,0.523059,0.070725,0.026213,-0.074996,1e-06,-2e-06,-6e-06,-5.2e-05,2.6e-05,-3.8e-05,0.164088
66,0.027582,0.018386,-0.008137,-0.006868,0.001013,0.001381,-0.001706,0.003213,-0.002893,0.523222,0.070747,0.0262,-0.074981,-0.000156,-0.000635,-0.000587,-0.000421,0.015171,-0.024514,0.155597
67,0.027499,0.018364,-0.008069,1e-05,0.000282,0.000245,2.9e-05,-0.00024,-0.000277,0.522895,0.070739,0.026195,-0.074992,-3e-06,-1.5e-05,-1.4e-05,-2.3e-05,1.7e-05,-1.3e-05,0.158046
68,0.027472,0.018291,-0.008009,0.000324,-0.00576,0.003955,-0.036364,0.010924,-0.018272,0.522895,0.070734,0.026195,-0.074992,3e-06,8e-06,8e-06,-1.3e-05,3.7e-05,-2e-05,0.160496
69,0.02747,0.018039,-0.007844,0.000639,-0.011733,0.007729,-0.077994,0.017555,-0.033231,0.522569,0.070728,0.026188,-0.074985,-2e-06,3e-06,6e-06,-2.2e-05,-8e-06,1e-05,0.162129
70,0.027522,0.017594,-0.007527,0.000669,-0.010966,0.008392,-0.091872,0.151005,-0.196483,0.523385,0.070734,0.026201,-0.075001,-0.000181,-0.000732,-0.000671,-0.000395,0.015166,-0.024494,0.163598
71,0.02756,0.017049,-0.00704,0.001097,-0.014316,0.014433,-0.104367,0.125595,-0.241984,0.520609,0.070723,0.026184,-0.07503,-0.000107,-0.000433,-0.000398,-1.5e-05,-3e-06,1.7e-05,0.175192
72,0.027591,0.016788,-0.006756,0.008093,-0.012891,0.015142,-0.149418,0.162327,-0.135018,0.522079,0.070719,0.026167,-0.075046,-0.000252,-0.00103,-0.000951,-1.3e-05,-1.7e-05,-2e-06,0.18401
73,0.027715,0.016326,-0.006218,0.007726,-0.008165,0.010295,-0.068473,-0.00891,0.017085,0.523222,0.070701,0.026169,-0.075162,-0.000264,0.002947,-0.006497,0.034424,-0.002161,-0.008392,0.211442
74,0.027842,0.015997,-0.005765,0.000819,-0.007431,0.011435,-0.072995,0.006331,-0.010067,0.523222,0.070658,0.026209,-0.075423,-0.000663,0.00132,-0.008005,0.034422,-0.002175,-0.008381,0.233487
75,0.027898,0.01589,-0.005566,0.000851,-0.006671,0.012079,-0.073424,0.005939,-0.009777,0.523222,0.070641,0.026258,-0.075592,-0.000653,0.001354,-0.007979,0.034423,-0.002165,-0.008363,0.239038
76,0.027962,0.015788,-0.005237,0.000498,-0.001446,0.007635,-0.038988,-0.006768,0.009352,0.523222,0.070611,0.026395,-0.075964,-0.000656,0.001334,-0.008009,0.035016,0.001844,-0.005783,0.24655
77,0.027954,0.015819,-0.005017,0.000492,-0.001646,0.00746,-0.034903,-0.003223,0.006854,0.523222,0.070588,0.026544,-0.076339,-0.000257,0.00697,-0.01202,0.069185,-0.019518,0.007714,0.253898
78,0.027921,0.015876,-0.004866,4.2e-05,0.001155,0.000973,0.004392,-0.009645,-0.006258,0.521099,0.070578,0.026634,-0.076658,-0.000609,0.00154,-0.007834,0.034404,-0.002141,-0.008354,0.255694
79,0.027896,0.015882,-0.004852,-1e-05,-0.000134,-0.000111,0.000646,-0.001526,-0.001081,0.516364,0.070586,0.02665,-0.076802,0.006459,0.000891,-0.008206,-0.984503,-1.337191,2.257559,0.25651
80,0.027851,0.015822,-0.004907,-0.000144,-0.003519,-0.002963,0.989512,-0.186902,1.312076,0.4904,0.070573,0.026626,-0.077048,-0.000566,0.001723,-0.00768,0.035,-0.001062,-0.010105,0.257817
81,0.027867,0.015599,-0.00511,-0.00034,-0.008262,-0.006984,0.304135,-0.443966,-0.193388,0.393896,0.070545,0.026538,-0.077186,-0.000491,-0.001996,-0.001883,8e-05,0.000118,-0.000198,0.254224
82,0.027875,0.01543,-0.005267,-0.000434,-0.010552,-0.008952,0.023829,-0.008765,-0.091139,0.277143,0.070535,0.026493,-0.077215,-0.000401,-0.001625,-0.001533,2.8e-05,2.5e-05,-3.5e-05,0.247203
83,0.027871,0.015033,-0.005586,-0.000337,-0.008144,-0.006957,0.366402,-0.203106,0.258918,-0.04258,0.070529,0.026413,-0.077213,3e-05,0.000117,0.000109,0.001762,0.003747,-0.006227,0.205237
84,0.027993,0.014831,-0.005864,0.00639,-0.000499,-0.009885,0.205828,-0.310406,-0.150686,-0.340585,0.070522,0.026399,-0.077164,-4.6e-05,-0.004221,0.005335,-0.033125,-0.097165,0.167549,0.146126
