frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
95,0.033827,0.019308,-0.007784,0.019387,0.021172,-0.010286,-0.019791,0.400396,0.002287,-0.852175,0.070414,0.025645,-0.075916,-0.000665,-0.006705,0.003012,-0.034288,0.017283,-0.016015,-0.017818
96,0.03416,0.019763,-0.008018,0.012029,0.026319,-0.014166,0.257005,0.504227,0.704441,-0.851685,0.070397,0.025523,-0.075863,-0.000688,-0.006783,0.002943,-0.034387,0.017294,-0.016032,0.037374
97,0.034633,0.020633,-0.008596,0.01197,0.021307,-0.018348,-0.198079,1.082113,0.42088,-0.853807,0.070304,0.025166,-0.075683,-0.001268,-0.01314,0.006203,-5.321878,1.06484,-1.385404,0.204421
98,0.034991,0.021416,-0.009448,0.011513,0.021736,-0.026725,0.202676,0.957013,0.651879,-0.860339,0.070199,0.024698,-0.075461,-0.001229,-0.013023,0.006415,-0.954745,-1.388477,2.380268,0.318724
99,0.035335,0.022203,-0.01048,0.004668,0.019356,-0.02813,0.137218,0.597155,-0.122248,-0.876668,0.070218,0.024202,-0.075205,0.0061,-0.012692,0.00694,-0.061236,-0.185257,0.332922,0.332277
100,0.035504,0.022614,-0.011106,0.011523,0.01775,-0.030083,1.161809,0.826213,1.183615,-0.88418,0.070203,0.02399,-0.075055,-0.007733,-0.00995,0.009077,-0.080408,-0.053007,0.107499,0.330644
101,0.035775,0.023396,-0.012466,0.004267,0.018912,-0.037329,-0.005892,0.921172,-0.064665,-0.889405,0.070179,0.023605,-0.074696,-0.000459,-0.009889,0.009368,-0.06921,0.027406,-0.034573,0.33489
102,0.036116,0.024144,-0.013937,0.011636,0.013787,-0.033693,4.44338,0.020593,3.503185,-0.898713,0.070195,0.023258,-0.07437,-0.00048,-0.009985,0.009282,-0.082362,0.01588,-0.046446,0.342401
103,0.036332,0.024453,-0.014643,0.01159,0.012653,-0.034613,0.091074,0.766499,0.434078,-0.902795,0.070207,0.023077,-0.07421,0.006443,-0.011391,0.008186,-1.654579,0.39094,-0.388253,0.343381
104,0.036771,0.024801,-0.015908,0.012555,0.001988,-0.026325,0.145882,0.348004,0.104645,-0.90802,0.070274,0.022744,-0.073933,-0.000656,-0.010706,0.008615,-0.063147,0.131287,0.025948,0.336196
105,0.037292,0.024975,-0.016813,0.019812,0.002795,-0.017377,1.423159,-0.043985,1.096995,-0.912429,0.070362,0.022548,-0.073764,-0.000243,-0.005027,0.004618,0.005986,0.70373,0.623255,0.325909
106,0.037568,0.02501,-0.017105,0.013409,-0.001115,-0.011287,0.312518,0.473166,0.660146,-0.915531,0.070403,0.022489,-0.073706,-0.000275,-0.00515,0.0045,-0.006501,0.469475,0.483703,0.319541
107,0.038015,0.024962,-0.017414,0.013819,-0.002419,-0.003484,1.349225,0.114755,1.093621,-0.919124,0.070498,0.022468,-0.073646,0.007355,0.000304,0.000498,0.029435,0.478926,0.587391,0.30909
