frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.045225,0.02843,-0.026155,-0.002738,0.023492,-0.023613,-0.153954,-0.192759,-0.23459,-0.154107,0.070214,0.017658,-0.06127,0.000558,0.002528,0.001989,-0.153466,-0.610803,-0.283081,-0.374118
2,0.044882,0.029128,-0.026868,-0.00852,0.01412,-0.013406,-3.238332,-2.185299,-3.907512,-0.032946,0.070243,0.017765,-0.061186,0.000639,0.002886,0.002271,-0.219594,-0.700385,-0.502342,-0.262427
3,0.044438,0.029713,-0.027394,-0.007868,0.00945,-0.008639,-0.021474,-0.056229,-0.113815,0.063559,0.070227,0.017945,-0.061221,-0.006426,0.007249,-0.003027,0.304067,-0.735534,-0.543103,-0.196294
4,0.044201,0.029965,-0.027587,-0.014709,0.01023,-0.007226,-0.155771,-0.648052,0.55852,0.117445,0.070171,0.018072,-0.06131,-0.006398,0.011416,-0.008431,-0.195332,-1.011884,-0.454229,-0.157431
5,0.043658,0.030375,-0.02783,-0.01479,0.011739,-0.005878,0.389475,-0.378604,-0.357221,0.219175,0.070076,0.018368,-0.061599,0.000236,0.009177,-0.010134,-0.114935,-0.712622,-0.28046,-0.096524
6,0.042987,0.030674,-0.027916,-0.021101,0.007004,-0.00062,-2.598713,-2.79498,-4.325221,0.30131,0.06999,0.018726,-0.061988,0.000127,0.00865,-0.010542,-0.030289,-0.976846,-0.456525,-0.04819
7,0.042227,0.030993,-0.02795,-0.021547,0.013135,-0.003976,0.597745,-0.777514,-0.107233,0.333315,0.069875,0.01912,-0.062452,-0.006733,0.013842,-0.015175,-0.146291,-0.454973,-0.680217,-0.02288
8,0.041838,0.031197,-0.02797,-0.02161,0.014787,-0.002527,0.87798,-1.092544,-0.137791,0.342949,0.069825,0.019355,-0.062736,-0.006682,0.014034,-0.015018,-0.121761,-0.753888,-0.530931,-0.011613
9,0.041078,0.031642,-0.02794,-0.020992,0.009995,0.002026,0.621065,-0.896355,-0.038407,0.363034,0.069684,0.019917,-0.063367,-0.006698,0.013891,-0.015112,-0.164508,-0.839746,-0.611565,0.025291
10,0.040278,0.032059,-0.027874,-0.020373,0.004692,0.006106,0.99705,-1.454825,0.037293,0.361074,0.069461,0.020569,-0.06405,-0.006351,0.019396,-0.019415,-0.116045,-0.793014,-0.572748,0.109059
11,0.039864,0.032224,-0.027795,-0.027055,0.004931,0.006933,0.975061,-1.234014,-0.078682,0.353073,0.069376,0.020872,-0.064365,-0.006596,0.014258,-0.014794,-0.05186,-0.519726,-0.470031,0.150862
12,0.038869,0.032472,-0.027483,-0.03371,0.006247,0.008629,0.678433,-0.898728,0.050286,0.349644,0.069233,0.021428,-0.064973,0.000137,0.012602,-0.01603,-0.156956,-1.000556,-0.680607,0.211769
13,0.037798,0.032588,-0.027097,-0.026405,0.000346,0.01152,0.389516,-0.52882,-0.035124,0.351604,0.069084,0.021909,-0.065535,-0.006679,0.013804,-0.015126,-0.087272,-0.597521,-0.515181,0.249816
14,0.036691,0.032598,-0.0266,-0.03304,0.001661,0.013156,0.659418,-0.637745,-0.437286,0.356829,0.068955,0.022355,-0.066055,0.000248,0.013073,-0.015615,1.471454,-1.049342,-0.81449,0.279698
15,0.036156,0.032603,-0.026299,-0.025897,-0.001963,0.018075,0.427342,-0.480538,-0.242909,0.362544,0.068899,0.022537,-0.066288,-7.6e-05,0.007626,-0.011279,-0.242355,-0.86143,-0.637452,0.292108
16,0.03515,0.032604,-0.025564,-0.025865,0.000426,0.019971,0.463652,-0.509989,-0.272621,0.371198,0.068818,0.022821,-0.066686,-0.00023,0.002953,-0.006311,1.317521,-1.454401,-0.731351,0.316601
17,0.034328,0.032463,-0.024631,-0.018265,-0.009006,0.028536,0.578412,-0.740035,-0.196762,0.376587,0.068752,0.02298,-0.066984,-0.007252,0.003239,-0.006174,-0.177218,-0.650021,-0.374464,0.330971
18,0.033976,0.032301,-0.024078,-0.018265,-0.007851,0.02943,0.936672,-1.0271,-0.430274,0.381812,0.068713,0.023023,-0.067107,-0.000457,0.002015,-0.007082,-0.020364,-0.184674,-0.101299,0.3344
19,0.033291,0.031786,-0.022785,-0.011171,-0.013152,0.032935,0.86478,-1.013205,-0.385905,0.390467,0.068608,0.023018,-0.067287,-0.000424,0.002167,-0.006963,0.034946,0.007452,-0.003494,0.3344
20,0.032752,0.031215,-0.021432,-0.017777,-0.011831,0.034472,0.752688,-0.887106,-0.299948,0.396508,0.068511,0.022919,-0.067368,-0.000588,-0.00253,-0.002033,0.002914,-0.090623,0.176923,0.329338
21,0.032351,0.030657,-0.020013,-0.010725,-0.0165,0.038534,0.580474,-0.802207,-0.716706,0.404836,0.068425,0.022837,-0.067415,-0.007171,-0.000313,-0.000334,-0.002642,0.01538,-0.029242,0.320357
22,0.032131,0.030353,-0.019267,-0.010715,-0.017162,0.037977,2.184042,1.319601,-0.588202,0.407612,0.068397,0.022815,-0.067446,-0.000477,-0.002039,-0.001643,0.003404,-0.077807,0.151251,0.320031
23,0.03177,0.02972,-0.017821,-0.004105,-0.016509,0.037901,1.142167,-0.165077,-0.228645,0.410878,0.068371,0.02277,-0.067522,-0.000437,-0.001871,-0.001513,-0.001819,0.013713,-0.025346,0.32297
24,0.031482,0.029059,-0.016334,-0.004103,-0.016839,0.037585,0.222595,-0.650287,-0.278943,0.405979,0.068362,0.02272,-0.067595,-0.000356,-0.001516,-0.001226,0.004576,-0.091517,0.176491,0.32199
25,0.031381,0.028733,-0.015617,-0.004509,-0.011734,0.033157,0.418294,-0.668402,0.194738,0.405,0.06835,0.022701,-0.067624,-0.000254,-0.001084,-0.000876,-0.000584,0.000228,0.000111,0.318071
26,0.031234,0.028171,-0.014239,-0.004498,-0.010816,0.033795,0.140859,-0.31102,0.127191,0.406632,0.068347,0.022679,-0.067674,0.000127,0.004548,-0.005056,0.034728,-0.015682,0.017013,0.309417
27,0.031128,0.027871,-0.012943,-0.004871,-0.002912,0.031341,0.227447,-0.534778,-1.544596,0.407122,0.068334,0.022668,-0.067735,-0.00034,-0.001459,-0.001184,-0.001035,0.013405,-0.025497,0.304191
28,0.031104,0.027873,-0.012362,-0.004852,-0.001297,0.032477,-0.227026,0.013226,-0.477334,0.406143,0.06833,0.022677,-0.067781,-0.000197,-0.000853,-0.000694,-0.000225,8.2e-05,3.4e-05,0.303375
29,0.031043,0.028052,-0.011249,0.001332,0.006575,0.029354,-0.1142,-0.032251,0.077701,0.400591,0.068327,0.022732,-0.067887,-0.000222,-0.000962,-0.000781,-0.000904,0.0134,-0.025498,0.305824
30,0.031019,0.028406,-0.010186,-0.005196,0.006203,0.029326,-0.108331,0.07139,-0.126582,0.398141,0.068322,0.022799,-0.067977,-0.000154,-0.000666,-0.00054,-9.6e-05,4.9e-05,2.7e-05,0.310723
31,0.030947,0.028845,-0.009252,0.000514,0.015818,0.019274,-0.04058,0.038898,-0.052316,0.397488,0.06831,0.022841,-0.068048,0.000132,0.004567,-0.005037,0.03504,-0.015871,0.016934,0.314969
32,0.030921,0.029101,-0.008856,0.000506,0.014414,0.018176,-0.034676,0.048348,-0.088494,0.396508,0.068304,0.022859,-0.068079,0.000129,0.004551,-0.005051,0.035053,-0.015882,0.016942,0.316275
33,0.030914,0.029601,-0.008133,0.000606,0.01245,0.016451,-0.767238,0.215355,-5.762415,0.39063,0.068299,0.022902,-0.068136,-0.0001,-0.00044,-0.000359,-3.6e-05,1.6e-05,1.7e-05,0.320684
34,0.030986,0.030051,-0.007522,0.000473,0.011118,0.01556,-0.041097,0.053336,-0.088973,0.388017,0.068294,0.022905,-0.068186,-0.00027,-0.001154,-0.000939,-0.000778,0.01338,-0.025505,0.321174
35,0.030997,0.030293,-0.007261,0.000464,0.009495,0.014386,-0.500337,0.377098,0.100239,0.389324,0.06829,0.022886,-0.068195,-0.00019,-0.000816,-0.000665,-2.2e-05,8e-06,1.2e-05,0.319541
36,0.030987,0.030657,-0.006865,2.8e-05,0.00796,0.005374,-0.00548,0.068675,-0.121773,0.389324,0.06829,0.022853,-0.068202,-0.000147,-0.000623,-0.000507,-1.5e-05,1.1e-05,-8e-06,0.315132
37,0.031024,0.030797,-0.006708,0.006408,0.002788,0.001397,-0.008472,0.070119,-0.117134,0.365973,0.068289,0.022825,-0.068218,-0.000158,-0.000675,-0.00055,0.005184,-0.092293,0.176126,0.31105
38,0.031051,0.03081,-0.006731,0.006389,-0.00231,-0.002036,-0.007153,-0.008865,0.030682,0.254772,0.068293,0.022794,-0.068243,-0.000224,-0.000959,-0.00078,0.004441,-0.078899,0.150592,0.307784
