frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
46,-0.001163,0.034664,-0.002731,-0.028828,-0.006732,0.012805,-0.056346,-0.094824,0.197638,0.028125,0.106787,0.031894,-0.041979,0.000106,-0.001289,-0.001075,-0.002485,0.002023,0.001615,-0.456253
47,-0.002111,0.034271,-0.002109,-0.021449,-0.011513,0.017646,-0.399272,-1.921106,2.059246,0.214766,0.106664,0.031761,-0.041896,0.000345,-0.004741,0.004922,-0.040232,0.010909,-0.023198,-0.441393
48,-0.002503,0.034059,-0.001788,-0.021443,-0.011425,0.017716,0.037897,-0.372985,0.10993,0.289716,0.106612,0.031747,-0.041864,-0.00713,0.000369,0.000735,-0.005881,0.018291,-0.032726,-0.438454
49,-0.003193,0.033604,-0.001114,-0.014359,-0.012525,0.016623,0.227042,-0.40014,-0.322776,0.411205,0.106546,0.031769,-0.041868,-2e-06,8e-06,9e-06,-0.000911,0.000169,0.000743,-0.420819
50,-0.003635,0.033209,-0.000556,-0.007151,-0.008505,0.010926,0.039913,-0.180701,0.028766,0.49138,0.106555,0.031798,-0.041898,1.1e-05,-0.000107,-9e-05,-0.000554,9.1e-05,0.000577,-0.417226
51,-0.003904,0.032814,-0.000147,-0.007612,-0.01002,0.009489,0.060001,-0.044639,-0.347696,0.517997,0.10659,0.03182,-0.041922,0.007054,0.000547,4.1e-05,0.000581,-0.01466,0.029897,-0.423432
52,-0.003972,0.032653,-2.2e-05,-0.000356,-0.005952,0.003844,0.46303,-0.506913,-0.297683,0.518486,0.1066,0.031833,-0.041925,-2e-06,3.7e-05,3e-05,-0.000309,4e-05,0.000323,-0.422942
53,-0.004,0.032445,0.000122,-0.000176,-0.005366,0.004393,0.459413,-0.504511,-0.291822,0.520119,0.106637,0.031833,-0.041927,0.007083,0.000201,-0.000252,0.002255,-0.016102,0.031625,-0.412328
54,-0.004011,0.032391,0.000178,3e-06,2.6e-05,2.5e-05,0.10506,-0.131255,-0.077365,0.520446,0.106664,0.031835,-0.041934,1e-06,-3e-06,-4e-06,-0.000143,1e-05,0.000162,-0.415104
55,-0.004038,0.032388,0.000189,5e-06,-0.0,7e-06,0.856813,0.914349,1.049465,0.520609,0.106685,0.03184,-0.041931,0.007048,0.000607,8.8e-05,0.006918,-0.104531,0.207025,-0.418533
56,-0.00415,0.032358,0.000219,-0.007321,0.000585,0.000577,-0.01542,0.106319,-0.202341,0.520772,0.106694,0.031856,-0.041945,0.0,-1e-06,-4e-06,-7.6e-05,7e-06,0.000131,-0.422778
57,-0.004274,0.032234,0.000308,-0.00029,-0.000934,-0.000881,0.074353,0.085483,0.099609,0.522732,0.106703,0.031873,-0.041958,0.0,-0.0,-4e-06,0.008535,-0.09235,0.180634,-0.424901
