frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
724,0.030606,0.046636,-0.024202,-0.000246,-0.00279,-0.003042,-0.000664,-0.461557,-0.211556,-0.543555,0.052881,0.038651,-0.06137,0.007157,0.003009,-0.006399,0.042174,-0.028731,0.047369,-1.004909
725,0.030628,0.046568,-0.02427,-0.000481,-0.004163,-0.004208,-0.179615,-3.806411,-4.206945,-0.500447,0.052917,0.038683,-0.061445,9.7e-05,0.004445,-0.005235,0.036878,-0.017814,0.01625,-1.003113
726,0.030608,0.046333,-0.024512,-0.00069,-0.007854,-0.008623,-0.460709,0.30692,0.190915,-0.38745,0.053017,0.038727,-0.061558,-7.6e-05,-0.00032,-0.000338,0.000441,-3.5e-05,0.004638,-1.006542
727,0.030508,0.045943,-0.024936,-0.001142,-0.011434,-0.012341,-0.379893,-3.830293,-3.852882,-0.101691,0.053135,0.038794,-0.061638,0.00718,-0.000989,-0.000702,-0.003192,-0.011733,0.039242,-1.012094
728,0.030377,0.045447,-0.025488,-0.008558,-0.014883,-0.016153,-0.016199,-0.258063,-0.452941,-0.008616,0.053281,0.038881,-0.061734,0.007425,0.004081,-0.005281,-0.068907,0.037746,0.121326,-1.023035
729,0.030284,0.045143,-0.025824,-0.00888,-0.016523,-0.017813,-0.30168,-4.088741,-3.728656,0.015715,0.053376,0.038939,-0.06181,0.000277,0.005158,-0.004488,-0.330834,0.237388,0.245271,-1.024994
730,0.030112,0.044448,-0.026589,-0.001706,-0.018241,-0.020799,-0.140985,-1.817747,1.882395,0.071887,0.053592,0.039105,-0.062034,0.007566,0.008769,-0.010261,0.073126,-0.035245,0.042991,-1.036588
731,0.029921,0.043714,-0.027361,-0.008943,-0.017238,-0.019485,0.002738,-0.031878,0.035714,0.151572,0.053795,0.0393,-0.062317,-6.2e-05,0.003834,-0.00588,-0.326228,0.234531,0.251848,-1.037731
732,0.029834,0.043355,-0.027744,-0.001624,-0.01674,-0.019519,-0.006081,0.070487,-0.096684,0.190762,0.053898,0.039409,-0.062488,0.006886,0.002006,-0.007477,0.041858,-0.024612,0.028794,-1.036098
733,0.029709,0.042699,-0.028447,-0.001352,-0.02179,-0.015189,-0.031564,-0.03367,0.049687,0.254119,0.054064,0.039625,-0.06284,-0.000179,0.003374,-0.006358,-1.175282,0.86161,0.780902,-1.040017
734,0.029697,0.041999,-0.029107,-0.001269,-0.020816,-0.014279,-0.042618,0.081473,-0.109482,0.297718,0.05419,0.039821,-0.063171,-0.000287,0.002949,-0.006816,0.046281,-0.012065,-0.014036,-1.047038
735,0.029743,0.041624,-0.029419,-0.001215,-0.020251,-0.013722,-0.042679,0.081423,-0.109514,0.306209,0.05423,0.039907,-0.063331,0.006931,0.002203,-0.007278,0.045313,-0.030965,0.05008,-1.045405
736,0.029947,0.04094,-0.029958,0.006402,-0.018301,-0.012025,-0.038534,0.05259,-0.054901,0.303923,0.054238,0.040045,-0.063602,-0.007317,0.004445,-0.005563,0.038787,-0.00658,-0.009072,-1.045895
737,0.030249,0.040356,-0.03042,0.00647,-0.009771,-0.012538,0.100573,1.242116,1.115282,0.292819,0.05418,0.040129,-0.063798,-0.00731,0.004479,-0.005525,-1.16563,0.94802,0.686549,-1.05455
