frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
899,0.027605,0.046581,-0.03582,-8.4e-05,-0.000977,-0.001235,-4.9e-05,-0.000191,-0.000238,-0.957334,0.050016,0.035797,-0.070298,0.001432,0.004902,0.005934,-0.037644,-0.016608,0.062601,0.396451
900,0.027596,0.046551,-0.035866,-7.9e-05,-0.000724,-0.000908,0.136516,1.087131,1.267093,-0.958477,0.050179,0.035944,-0.070136,0.00086,0.002962,0.003571,0.002487,-0.015652,0.024361,0.387796
901,0.027584,0.046536,-0.035884,-2e-05,-0.000233,-0.000292,-1.1e-05,-0.00016,-0.0002,-0.95913,0.050417,0.036007,-0.070084,0.007801,-0.000111,0.000419,-1.501507,0.484597,0.575464,0.38404
902,0.027589,0.046538,-0.03589,2e-06,2.5e-05,3e-05,-7.3e-05,-9.1e-05,-0.000157,-0.954885,0.050676,0.036022,-0.070136,0.007702,0.00369,-0.00578,0.036507,-0.017855,0.021062,0.386326
903,0.027595,0.046542,-0.035886,0.00754,0.000574,0.000195,0.00364,-0.032051,0.052518,-0.954558,0.050794,0.036035,-0.070193,0.007663,0.003557,-0.005944,0.003773,0.111137,-0.179276,0.392368
904,0.027596,0.04654,-0.03588,-1e-06,-2e-06,-4e-06,-0.011401,0.115519,-0.161543,-0.954558,0.051044,0.036114,-0.070362,0.000167,0.004733,-0.005098,0.035952,-0.020566,0.020433,0.409351
905,0.027618,0.046534,-0.035889,-6e-06,-6.5e-05,-8.2e-05,-2.9e-05,-4.7e-05,-8.5e-05,-0.953415,0.051313,0.03625,-0.070591,0.007569,0.003248,-0.006327,0.036443,-0.020798,0.026385,0.419964
906,0.027623,0.046534,-0.035889,0.007492,1.7e-05,-0.00051,0.002004,-0.015253,0.029175,-0.952925,0.051429,0.036327,-0.070709,0.000174,0.004764,-0.005057,0.035081,-0.018196,0.016943,0.42225
907,0.027651,0.046532,-0.035895,1e-06,7e-06,7e-06,-8e-05,-0.000224,0.000113,-0.950802,0.051615,0.036504,-0.070904,0.000412,0.005609,-0.004038,0.035388,-0.01888,0.018076,0.42372
908,0.027696,0.04653,-0.035891,1e-06,-0.0,-3e-06,-2.7e-05,-2.4e-05,-5.1e-05,-0.949986,0.051693,0.036673,-0.071012,5e-05,0.000161,0.000192,-0.445263,0.156618,0.172162,0.419964
