frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.003114,0.044049,0.002392,0.001988,0.002415,0.012152,-0.032621,-0.012676,0.034553,0.090339,0.075131,0.023222,-0.077748,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413596
2,-0.00309,0.044184,0.002841,0.001924,0.002194,0.011885,-0.042563,0.088064,-0.137865,0.090992,0.075131,0.023222,-0.077748,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413759
3,-0.003076,0.044246,0.003048,0.001833,0.001862,0.011531,-0.043223,0.086907,-0.137486,0.091318,0.075131,0.023222,-0.077748,-0.0,-1e-06,5e-06,1.6e-05,1.6e-05,-6e-06,0.413923
4,-0.003063,0.044373,0.003428,0.001568,0.000883,0.010524,-0.03133,0.006484,0.00768,0.092135,0.075138,0.023221,-0.077748,-1e-06,-0.0,5e-06,1.7e-05,2e-05,-6e-06,0.414086
5,-0.003073,0.044529,0.003728,-0.005804,0.006025,0.006,-0.129225,-0.215952,0.085106,0.092788,0.075138,0.023221,-0.077748,-1e-06,-0.0,5e-06,1.7e-05,2e-05,-6e-06,0.414576
6,-0.00308,0.044599,0.003855,0.001093,-0.000892,0.008737,-0.03349,0.002874,0.009134,0.093278,0.075138,0.023217,-0.077745,0.0,-1e-06,5e-06,1.2e-05,1.8e-05,-1.4e-05,0.415229
7,-0.003114,0.044704,0.004037,0.000661,-0.002507,0.00714,-0.046461,0.115195,-0.187489,0.092135,0.075138,0.023221,-0.077748,-1e-06,-0.0,4e-06,8e-06,0.0,-1e-05,0.415392
8,-0.003153,0.044814,0.004167,0.000774,0.002903,0.002839,0.003767,-0.010665,0.023442,0.089359,0.075138,0.023221,-0.077748,-1e-06,-0.0,4e-06,8e-06,0.0,-1e-05,0.415066
9,-0.00317,0.044913,0.004271,0.000548,0.002054,0.002005,0.001926,0.003208,-0.001311,0.086583,0.075132,0.023224,-0.077744,6e-06,4.8e-05,8.1e-05,3e-06,-3e-06,-1.5e-05,0.414576
10,-0.003169,0.044956,0.00432,0.000542,0.002029,0.001979,0.002455,0.004053,-0.00166,0.08593,0.075132,0.023224,-0.077744,-1e-06,-3e-06,-5e-06,9e-06,4e-06,-8e-06,0.414249
