frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
509,0.020198,0.052475,-0.022646,-0.007752,0.00477,-0.004706,0.04056,-0.044139,0.045805,-0.850215,0.052245,0.046889,-0.053892,0.000433,0.005566,-0.004054,0.195826,-0.070537,-0.012219,-0.084113
510,0.020074,0.052533,-0.022726,-0.007818,0.004326,-0.005284,0.033981,0.01847,-0.037587,-0.854134,0.052251,0.046904,-0.053913,-3.9e-05,-0.000135,-0.000153,0.021761,-0.0061,-0.024435,-0.010306
511,0.019761,0.052654,-0.022951,-0.007962,0.003367,-0.006539,0.028066,-0.030633,0.047388,-0.863768,0.052239,0.046929,-0.053955,0.000252,0.004947,-0.004752,0.048324,-0.039085,-0.020457,0.131756
512,0.019373,0.052802,-0.023259,-0.015735,0.008021,-0.011446,-0.30031,-0.742246,0.51557,-0.868014,0.052213,0.046984,-0.054012,-3.9e-05,-0.000147,-0.000166,-0.004632,0.000321,-0.087867,0.283943
513,0.019117,0.052902,-0.023464,-0.00844,0.006829,-0.013334,-1.34025,-0.859494,-0.35239,-0.869157,0.052205,0.047028,-0.05404,9e-06,2.5e-05,2.8e-05,-0.007327,0.002277,-0.166393,0.358567
514,0.01846,0.05312,-0.023977,-0.016155,0.005435,-0.014915,-0.060009,-0.031191,-0.119978,-0.873402,0.052189,0.047159,-0.054119,0.007763,0.004593,-0.004646,0.038718,-0.001091,-0.073304,0.474667
515,0.017677,0.053365,-0.024579,-0.016254,0.004989,-0.015598,-0.354635,-0.194378,-0.222473,-0.877811,0.052285,0.047355,-0.054256,0.007742,0.004539,-0.004705,0.147702,-0.028515,-0.183193,0.505529
516,0.016805,0.0536,-0.025223,-0.023868,0.010767,-0.019192,0.10031,0.037895,-0.092648,-0.878791,0.052373,0.047574,-0.054438,0.007599,0.004049,-0.005261,-0.009088,0.00964,-0.154387,0.51206
517,0.016374,0.05371,-0.025544,-0.023801,0.00499,-0.01553,0.051673,0.059946,-0.097732,-0.880097,0.052409,0.047695,-0.05454,0.000341,0.005239,-0.004413,-0.069827,-0.007025,-0.068715,0.512714
518,0.015492,0.053962,-0.026154,-0.023728,0.005639,-0.01479,0.15185,-0.697023,0.474397,-0.881893,0.05248,0.047974,-0.054757,0.000463,0.005667,-0.003915,0.044698,-0.033176,-0.175395,0.513856
519,0.014574,0.054216,-0.026731,-0.023627,0.006398,-0.013888,-0.290652,-0.35794,-0.405248,-0.878301,0.052562,0.048269,-0.054955,0.000986,0.011554,-0.00759,-0.359741,0.060386,-0.321546,0.51451
520,0.014137,0.054344,-0.02699,-0.023508,0.007106,-0.012979,0.115268,-0.558139,-0.298743,-0.880914,0.052608,0.048416,-0.055057,0.001039,0.011522,-0.007943,-4.225928,1.220493,-3.296296,0.514999
521,0.013219,0.054667,-0.027478,-0.023114,0.008529,-0.011165,-4.261352,-3.100261,-2.402922,-0.888262,0.052684,0.048693,-0.055275,0.000528,0.005632,-0.004279,-4.278742,1.276272,-3.48596,0.51402
