frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
157,0.036387,0.041655,-0.033353,0.000442,-0.00603,0.003378,0.111566,0.001422,-0.032253,-1.048123,0.063823,0.036986,-0.064014,-0.001375,-0.001873,-0.014223,0.033492,0.014919,-0.031901,0.361017
158,0.036394,0.041518,-0.033211,0.000484,-0.004327,0.006076,0.044729,-0.031512,-0.0723,-1.050083,0.063749,0.03673,-0.064523,-0.001794,-0.003762,-0.016905,0.029757,-0.004304,-0.000611,0.386163
159,0.036512,0.041457,-0.033057,0.008426,-0.004701,0.004523,-0.002224,0.022924,-0.007952,-1.046817,0.063661,0.036358,-0.065053,-0.002207,-0.010209,-0.014154,0.001737,-0.056164,0.09004,0.396451
160,0.036551,0.041429,-0.03302,-1e-06,9.6e-05,0.00015,0.031479,0.005465,-0.005801,-1.044531,0.063612,0.036153,-0.065329,-0.002129,-0.009817,-0.013679,0.001802,-0.055522,0.08899,0.389919
161,0.036576,0.041391,-0.033034,-1.2e-05,-0.000563,-0.000894,0.088268,0.018802,-0.040074,-1.042898,0.063491,0.035815,-0.065797,-0.001805,-0.008269,-0.011627,-0.001218,0.030967,-0.049391,0.377835
162,0.036555,0.04136,-0.03313,-5e-05,-0.00198,-0.003144,0.062515,0.02701,-0.014311,-1.044694,0.063417,0.035456,-0.066169,0.006528,-0.006927,-0.00935,-0.000166,0.015803,-0.019351,0.382734
163,0.036543,0.041209,-0.033281,0.000369,-0.008794,-0.001035,0.013398,0.000781,-0.033619,-1.038979,0.063493,0.035242,-0.066448,-0.000649,0.001622,-0.009722,0.034074,0.014684,-0.032054,0.368038
164,0.036563,0.041107,-0.033358,0.007893,-0.002873,-0.005549,0.015006,0.078581,-0.008361,-1.039469,0.063509,0.035198,-0.066564,-0.00069,-0.003162,-0.004515,-0.002508,0.008737,-0.028463,0.364119
165,0.03667,0.040884,-0.033483,-6.3e-05,-0.00272,-0.004359,0.042963,0.030678,0.003363,-1.03653,0.063431,0.035163,-0.066735,-0.000332,-0.001523,-0.002179,-0.000186,0.000804,-0.003414,0.369507
166,0.036891,0.04067,-0.033619,0.007923,-0.002697,-0.005324,0.008296,0.077035,-0.002509,-1.031794,0.063334,0.035215,-0.066811,-7.4e-05,-0.000351,-0.000503,-0.00402,0.123529,-0.197686,0.379795
