frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
50,0.003665,0.037328,-0.002432,0.006729,-0.004746,-0.005634,0.001338,-0.000106,0.003784,0.050986,0.118017,0.028089,-0.031226,0.000482,-0.002568,-0.012443,0.039039,0.029653,-0.028277,0.493772
51,0.003677,0.037369,-0.002617,4.8e-05,0.00019,0.000223,0.003452,0.004662,-0.001693,0.190599,0.118144,0.027922,-0.031554,0.000564,-0.004585,-0.00468,0.023577,-0.015185,0.183937,0.518592
52,0.003695,0.037471,-0.002641,0.000664,0.002986,0.00349,-0.0366,-0.069253,0.054782,0.265876,0.118185,0.027869,-0.031618,0.000259,-0.002077,-0.002126,-0.001828,-0.000234,-0.028131,0.518755
53,0.003777,0.03768,-0.002485,0.001038,0.004724,0.005495,8.3e-05,-0.016872,0.028474,0.374464,0.118179,0.027868,-0.031604,-0.000193,0.001608,0.001645,-0.006441,-0.034079,0.022003,0.518429
54,0.003864,0.037709,-0.002309,0.000115,-0.005037,0.004742,-0.032166,0.019622,-0.018619,0.405163,0.118228,0.027939,-0.031537,-0.000136,0.001119,0.001144,0.002736,-0.085725,0.180225,0.518755
55,0.003839,0.037664,-0.00229,-0.000364,-0.001646,-0.001912,0.013146,0.003551,-0.024347,0.414307,0.118237,0.027963,-0.031513,-9.8e-05,0.000801,0.000817,0.004789,-0.080254,0.181627,0.518755
56,0.003756,0.037504,-0.002331,-0.000651,-0.00296,-0.003442,0.004787,0.008048,-0.02693,0.425901,0.118201,0.027968,-0.031497,-0.000373,0.004453,-0.005317,0.035578,-0.005701,0.021646,0.519082
57,0.00373,0.037407,-0.002493,-0.0008,-0.00364,-0.004248,-0.001771,0.013639,-0.025793,0.425737,0.118195,0.027931,-0.031571,0.000227,-0.001869,-0.001912,-0.003658,-0.004746,-0.039088,0.519245
58,0.003696,0.037284,-0.00274,-0.000952,-0.004331,-0.005071,-0.002581,0.01279,-0.025146,0.418716,0.11819,0.027878,-0.031631,6.7e-05,-0.000538,-0.000551,0.005266,0.002506,-0.012097,0.519572
59,0.003677,0.037215,-0.002853,-0.000797,-0.003626,-0.004255,-0.004425,0.010222,-0.023967,0.416103,0.118186,0.027863,-0.031631,0.000431,-0.004937,0.004822,-0.035583,0.005994,-0.021824,0.519572
