frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
480,0.020652,0.047861,-0.028293,0.025714,-0.006064,-0.023576,0.564707,1.704576,1.135343,0.521915,0.057303,0.054767,-0.067189,0.020003,-0.015344,-0.010147,0.350085,0.389865,0.16819,-0.831005
481,0.021704,0.047505,-0.029155,0.026603,-0.011221,-0.01994,-0.180793,1.01722,0.45285,0.522405,0.058153,0.054266,-0.067548,0.020828,-0.017171,-0.00353,1.148046,-0.320497,-1.127082,-0.840476
482,0.022331,0.047299,-0.029534,0.032819,-0.009451,-0.019335,-0.020201,0.880531,0.322238,0.522732,0.05854,0.054039,-0.067666,0.022268,-0.011028,-0.007007,0.89524,-0.603419,-1.270709,-0.841129
483,0.023837,0.046889,-0.030143,0.039617,-0.010581,-0.01305,0.349126,0.364795,0.156138,0.522569,0.059259,0.053478,-0.067778,0.021587,-0.015825,-0.002558,0.189681,0.148927,0.183342,-0.841455
484,0.025565,0.046408,-0.03056,0.047006,-0.014722,-0.009344,3.677769,3.121116,2.810226,0.522405,0.059813,0.052809,-0.067688,0.015271,-0.01802,0.003556,0.744596,0.338656,0.059515,-0.837536
485,0.027374,0.045945,-0.031,0.046472,-0.008837,-0.012916,0.003592,-0.036446,0.113689,0.522405,0.060185,0.052125,-0.067419,0.009174,-0.019805,0.010002,3.133177,-1.425126,-4.206025,-0.829862
486,0.028256,0.045781,-0.031243,0.046663,-0.008881,-0.01311,0.002342,-0.034838,0.115223,0.522569,0.060326,0.051786,-0.067233,0.003559,-0.017115,0.011737,3.108364,-1.390543,-4.284399,-0.829862
487,0.030064,0.045463,-0.031766,0.047085,-0.009115,-0.013642,0.002527,-0.034671,0.116294,0.522569,0.060538,0.05117,-0.066794,0.005357,-0.009989,0.009005,0.474846,0.524848,0.017678,-0.829535
488,0.031862,0.045068,-0.03232,0.041299,-0.010875,-0.01471,0.000588,-0.018783,0.086646,0.522732,0.060718,0.050736,-0.066338,8e-06,-0.006659,0.011201,0.045876,0.136074,-0.252453,-0.824146
489,0.032682,0.044871,-0.032604,0.041271,-0.009332,-0.013661,-3.830547,-3.090433,-2.434088,0.522732,0.060797,0.050602,-0.066131,0.006413,-0.007992,0.01052,2.532079,-1.699876,-4.665268,-0.817615
490,0.033976,0.044545,-0.033093,0.027791,-0.006948,-0.009835,-0.014362,-0.156691,0.188203,0.522732,0.060915,0.050445,-0.065766,-0.000293,-0.0073,0.010731,-0.065737,0.032561,0.000274,-0.813533
491,0.034928,0.044348,-0.033383,0.020647,-0.003491,-0.005954,-3.166411,-3.765677,-2.886667,0.522895,0.061073,0.050345,-0.065586,0.006247,-0.004786,0.004792,-0.010592,-0.020104,0.006952,-0.817778
492,0.03527,0.044392,-0.033509,0.012407,0.004912,-0.006083,0.185801,-2.548848,1.535372,0.522732,0.061183,0.050285,-0.065529,0.006911,-0.00019,0.000159,2.669772,-1.950068,-4.285883,-0.820717
493,0.035729,0.044647,-0.033655,0.011497,0.009408,-0.002008,-3.276471,-3.58354,-2.503759,0.523385,0.061457,0.050109,-0.065471,0.005518,-0.006321,0.003647,1.191998,-2.328084,1.0766,-0.823657
494,0.035989,0.044754,-0.033591,0.006059,0.002847,0.001638,-3.574721,-3.708353,-2.055526,0.522079,0.061847,0.049881,-0.065338,0.012108,-0.010712,0.008835,2.543959,-2.286739,-4.898521,-0.82529
495,0.036136,0.044764,-0.033441,0.000631,-0.004028,0.005008,-1.541689,-1.124701,0.300975,0.520283,0.062386,0.049492,-0.064968,0.018455,-0.011605,0.008317,3.761164,-4.415988,-2.645961,-0.833944
496,0.036214,0.044708,-0.033371,0.000973,-0.005614,0.003583,-0.886055,-0.179726,0.682642,0.518976,0.062672,0.049179,-0.064726,0.011599,-0.014881,0.013695,1.507669,-3.442251,0.859533,-0.832801
497,0.036212,0.044613,-0.033194,-4.1e-05,-0.00105,0.007721,-0.700246,-0.402516,0.58028,0.518486,0.063241,0.048365,-0.06403,0.0162,-0.026821,0.02141,3.103586,-2.573679,-3.204136,-0.851416
498,0.036107,0.044774,-0.032884,-0.007276,0.001822,0.011197,-1.215568,-1.282637,-0.067627,0.5162,0.063708,0.047536,-0.063256,0.010814,-0.023532,0.023581,-0.631807,-0.993273,0.438175,-0.858438
