frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.006796,0.040774,0.012343,-0.000939,0.002775,-0.012409,-0.327804,0.371994,0.225914,-0.753711,0.112871,0.037606,-0.048733,-0.000178,0.002993,-0.0057,0.032365,-0.019194,-0.014734,-0.649916
2,-0.006788,0.040968,0.011792,-0.001181,0.0083,-0.016717,-0.313168,0.456081,0.077422,-0.760405,0.1129,0.037751,-0.048941,-7.2e-05,0.00393,-0.005193,0.01423,-0.065004,-0.006091,-0.654977
3,-0.006774,0.041062,0.011509,-0.000962,0.002288,-0.012637,0.041241,0.028101,0.039119,-0.762855,0.112904,0.037839,-0.049047,-7.1e-05,0.003928,-0.005191,0.041736,-0.004512,0.022046,-0.65759
4,-0.006689,0.041235,0.010892,-0.001288,0.006308,-0.01763,-0.010387,0.101465,0.10698,-0.763508,0.112903,0.038024,-0.049315,-0.000244,0.002397,-0.006016,0.038384,-0.015985,0.020523,-0.662815
5,-0.006454,0.041468,0.010131,0.00436,0.003805,-0.019213,-0.182866,0.265884,0.212694,-0.763508,0.112879,0.038207,-0.049714,-0.000545,0.00433,-0.012279,0.074758,-0.014218,0.006993,-0.66902
6,-0.006312,0.041591,0.009688,0.00401,0.007471,-0.024382,0.808628,2.365415,-0.97312,-0.771182,0.112862,0.038305,-0.050001,-0.000761,0.007006,-0.018144,-0.230232,-0.619807,-0.288691,-0.674736
7,-0.005907,0.041844,0.008623,0.015118,0.008262,-0.031689,-0.239602,0.428778,0.297892,-0.784572,0.112776,0.03856,-0.050822,-0.001323,0.006653,-0.025672,0.029535,-0.122588,-0.28664,-0.699556
8,-0.005176,0.042171,0.007218,0.020447,0.008128,-0.039114,0.481195,2.548504,-0.852774,-0.805963,0.112584,0.038912,-0.052066,-0.008229,0.009968,-0.038402,-3.343923,0.668513,3.895055,-0.729438
9,-0.004109,0.042457,0.005501,0.03189,-2.5e-05,-0.044073,-0.582684,0.563127,0.428302,-0.807107,0.112218,0.039309,-0.053775,-0.015131,0.012611,-0.051577,-0.217808,-0.915895,-0.570037,-0.746584
10,-0.003459,0.042523,0.00453,0.031588,0.001379,-0.050456,-0.656518,0.877174,0.46854,-0.814944,0.111954,0.039476,-0.054778,-0.015656,0.008531,-0.054029,-0.277505,-0.859959,-0.79102,-0.737439
11,-0.001802,0.042546,0.002394,0.043534,-0.004205,-0.054585,-0.112788,1.368668,-0.636335,-0.825395,0.111245,0.039672,-0.057016,-0.022918,0.005776,-0.063348,-0.042774,-0.719734,-0.778733,-0.678655
12,0.000128,0.0425,5e-05,0.049724,-0.002576,-0.061954,-3.993156,-1.11851,-3.670084,-0.816578,0.110271,0.03969,-0.059562,-0.024193,-0.00187,-0.068732,0.248584,-1.134495,-0.187713,-0.601255
13,0.001146,0.042463,-0.001187,0.055807,-0.003869,-0.063319,0.326861,2.927322,-2.111271,-0.811679,0.109648,0.03968,-0.060967,-0.037318,0.000718,-0.074988,-4.211795,0.100995,2.93295,-0.549982
14,0.003232,0.042484,-0.003833,0.056187,0.002303,-0.06784,-0.839921,0.912489,-0.203748,-0.801881,0.108236,0.039543,-0.063971,-0.038608,-0.004722,-0.079818,-0.866804,-3.026204,2.224908,-0.459682
15,0.005315,0.042725,-0.006473,0.056805,0.005556,-0.066696,-0.542773,1.201157,0.177428,-0.799269,0.106586,0.039162,-0.067097,-0.046361,-0.008356,-0.083981,-0.239294,-1.367601,-0.132169,-0.389794
16,0.007474,0.043105,-0.009056,0.057374,0.011195,-0.064098,-4.243084,-1.544014,-2.767492,-0.796003,0.104699,0.038477,-0.070191,-0.054313,-0.018965,-0.077738,-0.562229,-1.213452,0.480778,-0.365463
17,0.008528,0.043307,-0.01025,0.057334,0.014611,-0.062094,-0.184245,2.362318,-2.116078,-0.795513,0.1036,0.038063,-0.071648,-0.054804,-0.02213,-0.073152,-0.018079,-1.075505,0.401485,-0.367749
18,0.010524,0.043687,-0.012431,0.046518,0.007756,-0.051173,-0.006624,0.511218,-0.095434,-0.79388,0.101114,0.037115,-0.074296,-0.068325,-0.023939,-0.06035,0.079571,-0.475347,0.223079,-0.377873
19,0.012331,0.043901,-0.014233,0.04103,0.00728,-0.043932,0.146583,0.401827,-0.478137,-0.796003,0.098507,0.036096,-0.076277,-0.068367,-0.02483,-0.04611,-0.323226,-0.056309,0.413424,-0.381303
20,0.013189,0.04396,-0.014992,0.048348,-0.000252,-0.034691,-4.253633,-1.85246,-2.845202,-0.797309,0.097115,0.035542,-0.077049,-0.074903,-0.024303,-0.038008,0.057793,-0.075134,-0.021744,-0.377873
21,0.014763,0.044021,-0.016262,0.036567,-0.00206,-0.027479,0.077168,0.186031,-0.217636,-0.800085,0.094285,0.034446,-0.078182,-0.074754,-0.02539,-0.022905,0.053861,-0.220912,0.20619,-0.360401
22,0.016199,0.044,-0.017298,0.030472,-0.000137,-0.025873,0.033243,0.169584,-0.011487,-0.802371,0.091462,0.033573,-0.0789,-0.07372,-0.016522,-0.016181,-0.008966,-0.070147,0.024491,-0.34097
23,0.017474,0.043931,-0.018219,0.031237,-0.004824,-0.021689,0.038305,0.224986,-0.241555,-0.803514,0.088695,0.033011,-0.079423,-0.073059,-0.010579,-0.011661,-0.009695,-0.102968,0.073181,-0.310598
24,0.018077,0.043894,-0.018683,0.031254,-0.003957,-0.021185,-0.013471,0.278047,-0.167948,-0.803841,0.087343,0.032818,-0.079645,-0.066005,-0.009131,-0.010422,-0.218703,-0.60405,-0.194931,-0.295085
25,0.019129,0.043798,-0.01955,0.025274,-0.004603,-0.021288,0.032448,0.236482,-0.246423,-0.804494,0.084722,0.032562,-0.079967,-0.065142,-0.00406,-0.006341,-0.102592,-0.363347,0.010208,-0.276633
26,0.020093,0.043706,-0.020455,0.025457,-0.004775,-0.021628,0.064826,0.093441,-0.101608,-0.805474,0.08226,0.032519,-0.080122,-0.063714,0.001961,-0.001213,-0.23756,-0.569732,-0.366481,-0.266509
27,0.020537,0.043663,-0.020919,0.019426,-0.006132,-0.022145,-0.252767,0.530162,0.18263,-0.806127,0.081051,0.032581,-0.080117,-0.062994,0.004687,0.001136,-0.178808,-0.568706,-0.091004,-0.265203
