frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
587,0.014843,0.054255,-0.022043,0.000176,-0.004515,0.004921,-0.023349,-0.030362,0.014326,-0.804304,0.075243,0.053837,-0.05628,-0.007188,-0.000638,-0.000612,0.010103,-0.286928,0.483913,-0.259228
588,0.014861,0.054245,-0.022008,0.000251,0.001417,0.001102,-0.003091,0.002174,0.008835,-0.804467,0.075029,0.053827,-0.056291,-0.007288,-0.001101,-0.00101,0.010259,-0.287476,0.48471,-0.259391
589,0.014894,0.054231,-0.021931,0.000223,0.001258,0.00098,-0.002967,0.002178,0.005889,-0.804957,0.07457,0.053792,-0.056333,-0.014353,-0.001054,-0.001067,0.008936,-0.173243,0.283057,-0.259391
590,0.014933,0.05421,-0.021848,0.000224,-0.004251,0.00513,-0.01759,-0.042316,0.098337,-0.804957,0.074049,0.053705,-0.056407,-0.014731,-0.002707,-0.002507,0.004585,-0.157308,0.259558,-0.259228
591,0.014964,0.054204,-0.021797,0.000308,0.001745,0.001355,-0.002331,0.000436,0.026695,-0.805447,0.07375,0.053647,-0.056453,-0.014789,-0.002893,-0.002679,0.004433,-0.157333,0.259177,-0.258901
592,0.015056,0.054185,-0.021688,0.000348,0.001976,0.001532,0.006016,-0.040059,0.272728,-0.806264,0.073075,0.053521,-0.056558,-0.014946,-0.003435,-0.003175,0.008111,-0.158493,0.258208,-0.258411
593,0.015202,0.054165,-0.021591,0.000293,-0.003869,0.005424,-0.016257,-0.02553,0.014414,-0.806754,0.072298,0.053393,-0.05666,-0.015008,-0.003496,-0.003263,0.000725,-0.056535,0.087959,-0.256942
594,0.015394,0.054141,-0.021543,0.006681,-0.000281,-0.00054,-0.016094,0.033954,0.023297,-0.808223,0.071548,0.053286,-0.056766,-0.021854,-0.002094,-0.00221,-0.000256,-0.041894,0.058083,-0.251226
595,0.01547,0.054124,-0.021527,0.006764,0.000193,-0.000174,-0.017194,0.034311,0.027913,-0.808876,0.071184,0.05324,-0.056812,-0.014947,-0.002949,-0.002838,0.000767,-0.056631,0.087601,-0.249104
596,0.015547,0.054158,-0.021505,0.00023,0.001324,0.001022,-0.002398,0.001043,0.014634,-0.810183,0.070454,0.053152,-0.056876,-0.021745,-0.001307,-0.00158,-0.003614,0.058783,-0.113458,-0.248124
597,0.01558,0.054215,-0.021437,0.00035,0.002017,0.001557,-0.00348,0.002445,0.018079,-0.810509,0.069731,0.05306,-0.056958,-0.015037,-0.002974,-0.002925,-0.003058,0.046278,-0.087412,-0.248124
598,0.015586,0.054223,-0.021386,0.000256,-0.004096,0.005247,-0.020863,-0.023434,-0.013335,-0.810836,0.069355,0.053011,-0.057003,-0.021969,-0.001929,-0.002188,-0.003592,0.059046,-0.113945,-0.248124
599,0.015583,0.054219,-0.021275,0.000375,0.002175,0.001677,-0.003716,0.005182,0.005762,-0.810836,0.068549,0.052901,-0.057104,-0.022254,-0.002843,-0.003043,0.148772,-0.421993,0.603473,-0.252206
600,0.015551,0.054264,-0.021188,0.000303,0.001757,0.001354,0.003562,-0.019503,0.147897,-0.809529,0.067647,0.052785,-0.057223,-0.029409,-0.002332,-0.002859,1.546014,-0.512146,-0.342375,-0.267066
601,0.015546,0.054295,-0.02117,0.00018,0.001046,0.000806,0.000779,-0.001056,0.028225,-0.809693,0.067119,0.052734,-0.057288,-0.02951,-0.002578,-0.003102,0.000165,-0.108203,0.167523,-0.278169
602,0.01555,0.054313,-0.02115,-1.5e-05,-7.8e-05,-5.9e-05,0.000946,0.00058,-0.002356,-0.810509,0.065908,0.05265,-0.057377,-0.03646,-0.001118,-0.002095,0.002896,-0.197755,0.315485,-0.296131
603,0.015548,0.0543,-0.02116,-3e-05,-0.000173,-0.000134,-0.002717,-3.3e-05,-0.009755,-0.810836,0.064369,0.052649,-0.057441,-0.04334,0.000733,-0.000791,0.002515,-0.198695,0.312277,-0.305439
604,0.01548,0.054258,-0.021183,-0.007051,-0.001883,-0.00113,0.021695,-0.031376,-0.06458,-0.810019,0.062503,0.052679,-0.057466,-0.050547,0.001602,-0.000441,-0.002253,-0.08117,0.107695,-0.314257
