frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,-0.000354,0.042557,0.005301,-0.000642,0.009716,-0.009092,0.051175,0.002146,0.070371,0.38916,0.114345,0.02888,-0.027193,0.000103,0.001036,0.00048,0.004571,0.009857,0.00449,0.357424
2,-0.000362,0.042719,0.005125,-0.000699,0.0081,-0.009917,-0.167812,0.21967,0.157578,0.384751,0.114351,0.028907,-0.027208,-2.8e-05,0.004692,-0.005111,0.025605,-0.030622,0.014055,0.362649
3,-0.000346,0.043006,0.004716,-0.000738,0.006895,-0.010524,-0.089444,0.148611,0.127657,0.376424,0.114348,0.028976,-0.027312,-0.000162,0.003334,-0.005736,-0.002565,-0.079379,-0.032916,0.367711
4,-0.000349,0.043366,0.004229,-0.001062,0.011902,-0.014991,1.28476,2.564589,-0.25322,0.37626,0.114354,0.029161,-0.027554,-2.8e-05,0.004633,-0.005137,-0.074567,-0.237334,-0.789009,0.370324
5,-0.000355,0.043802,0.003645,0.004476,0.016064,-0.020214,-0.008817,0.44971,0.210292,0.380343,0.114346,0.029481,-0.027924,-0.000121,0.013608,-0.015519,-0.133142,-0.543742,-0.118265,0.377999
6,-0.000324,0.044024,0.003329,0.004756,0.009889,-0.016373,-0.510542,0.450224,0.555325,0.385078,0.114334,0.029682,-0.028164,-0.000218,0.012616,-0.015963,-0.09944,-0.460501,-0.123344,0.382734
7,-0.000174,0.044456,0.002628,0.004703,0.008269,-0.017195,-0.568758,0.531916,0.658017,0.395039,0.114319,0.030155,-0.028794,-0.000301,0.016653,-0.02133,-0.212794,-0.806835,-0.189243,0.393185
8,1.8e-05,0.044778,0.001887,0.004325,0.011646,-0.022455,-0.32224,1.364335,0.702295,0.396998,0.114301,0.030691,-0.029536,-0.000344,0.016144,-0.021525,-0.275614,-0.95008,-0.240047,0.395634
9,9e-05,0.044906,0.001526,-0.001261,0.005863,-0.01808,0.579511,2.90463,0.035265,0.394549,0.114289,0.030964,-0.02992,-0.000378,0.01577,-0.021676,-0.108438,-0.764552,-0.717533,0.395961
10,0.00015,0.045148,0.00079,0.00459,0.004672,-0.019113,0.830115,2.717568,-0.563817,0.386874,0.114238,0.0315,-0.030681,-0.00035,0.016043,-0.021502,-0.225073,-0.955554,-0.039244,0.393674
11,0.000287,0.045356,-6.1e-05,0.010119,0.007863,-0.024872,-0.089901,0.345243,-0.11863,0.379363,0.11411,0.032021,-0.031395,-0.00638,0.016988,-0.020801,-0.138389,-0.857109,0.166104,0.38747
12,0.000581,0.045565,-0.000966,0.004238,0.007627,-0.024625,-0.584422,0.935265,-0.027934,0.371688,0.113912,0.0325,-0.032022,-0.006316,0.012624,-0.015573,-0.17413,-0.916022,0.073097,0.383224
13,0.000728,0.045667,-0.001417,0.010149,0.007807,-0.024953,-0.577892,0.918681,-0.010218,0.369239,0.113803,0.032719,-0.032289,-0.006271,0.013016,-0.015375,-0.11829,-0.659649,0.001574,0.38649
14,0.000901,0.045817,-0.0023,-0.001673,0.006762,-0.024736,-0.672906,0.970888,0.202266,0.370055,0.11356,0.033169,-0.032812,-0.006195,0.013652,-0.015048,0.093237,-0.149468,0.19403,0.391389
15,0.000894,0.045953,-0.003207,-0.001361,0.000864,-0.020943,-0.607847,0.932527,0.17577,0.36385,0.113291,0.033513,-0.033199,-0.006161,0.004278,-0.004988,0.059071,-0.040698,0.189194,0.393185
16,0.000823,0.046054,-0.003672,-0.007603,0.006553,-0.02449,-0.620745,0.958013,0.147672,0.356176,0.113134,0.033663,-0.033372,-0.006159,0.009076,-0.00995,0.083436,0.024492,0.022578,0.395961
17,0.000539,0.046402,-0.004619,-0.007543,0.008908,-0.023154,-0.111419,0.567055,-0.360307,0.341479,0.112845,0.033884,-0.033658,-0.006287,0.003103,-0.005532,-0.137825,-0.443859,-0.184458,0.402492
18,3.4e-05,0.046906,-0.005584,-0.019659,0.016015,-0.025384,-0.147277,0.173123,0.063035,0.336581,0.112539,0.034073,-0.033959,-0.006355,0.002504,-0.00581,-0.126614,-0.402518,-0.200449,0.410494
19,-0.000741,0.047387,-0.00638,-0.025159,0.013768,-0.019053,-0.353991,0.561839,0.279835,0.335438,0.112302,0.034291,-0.034292,-0.006302,0.007665,-0.010587,-0.022712,-0.345128,0.089744,0.42225
20,-0.001228,0.047604,-0.006701,-0.024833,0.00901,-0.014622,-0.213333,0.112438,0.216602,0.335764,0.112224,0.034408,-0.034483,-0.006387,0.006898,-0.010945,0.009795,-0.152422,-0.078992,0.428455
21,-0.002333,0.047747,-0.007108,-0.030276,-0.002598,-0.006623,0.050565,0.073755,-0.188521,0.338704,0.11214,0.034618,-0.034916,-0.000491,0.004919,-0.01209,-0.107565,-0.47987,-0.175227,0.435967
22,-0.003518,0.047332,-0.007177,-0.029981,-0.014851,0.000558,0.307525,-0.368061,-0.335917,0.331192,0.112075,0.034781,-0.035421,-0.000733,0.002773,-0.013106,0.084007,0.014697,0.023969,0.436783
23,-0.004103,0.047011,-0.007147,-0.02392,-0.02073,0.003885,0.661257,-1.215105,-0.4129,0.32515,0.112042,0.034824,-0.035666,-0.000818,0.002041,-0.013458,-0.681195,0.348165,-0.116672,0.433354
24,-0.005233,0.046363,-0.007028,-0.024185,-0.013009,0.001196,1.051113,-1.411835,-0.531868,0.302943,0.111981,0.03484,-0.036133,-0.000849,-0.002884,-0.008604,0.046392,-0.072812,0.178859,0.426169
25,-0.00624,0.045631,-0.006844,-0.024229,-0.019855,0.004376,0.292118,-1.143318,-0.246235,0.283511,0.111912,0.034798,-0.036532,-0.000806,-0.002466,-0.008421,0.037499,0.006872,-0.004606,0.418821
26,-0.007213,0.044705,-0.006597,-0.024335,-0.026587,0.007639,0.493513,-0.572542,-0.0086,0.254936,0.111827,0.034708,-0.036851,-0.000812,-0.007142,-0.003466,-0.203574,-0.516663,-0.273078,0.414739
27,-0.00767,0.044186,-0.006444,-0.018396,-0.026427,0.007335,0.327859,-0.205261,-0.164649,0.235177,0.111776,0.034663,-0.03699,-0.006781,-0.000895,-0.007475,0.039959,0.030804,-0.030474,0.414249
28,-0.008408,0.04311,-0.006024,-0.012196,-0.022954,0.009052,0.030429,-0.079729,-0.229223,0.174923,0.111669,0.034559,-0.037207,-0.000595,-0.005174,-0.002526,0.004523,0.025901,-0.02071,0.411963
29,-0.008812,0.042153,-0.005439,-0.005399,-0.021556,0.016933,-0.034381,0.045729,-0.364469,0.119568,0.111547,0.034433,-0.037341,-0.000463,-0.003999,-0.001959,0.011523,-0.066437,0.187519,0.411147
30,-0.008872,0.041787,-0.00509,0.001036,-0.017666,0.018912,0.351622,-0.367666,-0.565096,0.112219,0.111491,0.034355,-0.037378,-0.000444,-0.003802,-0.001864,0.000662,0.001827,0.000762,0.411637
31,-0.008763,0.041252,-0.004363,0.007475,-0.013947,0.02079,0.011024,-0.150747,-0.109617,0.126589,0.111396,0.034208,-0.037437,-0.006553,-0.003242,-0.001387,-0.002032,0.026067,-0.056005,0.412453
32,-0.008419,0.040906,-0.003664,0.013494,-0.007383,0.016931,0.275519,-0.329812,-0.228871,0.160064,0.111336,0.034108,-0.037517,-0.000371,-0.003154,-0.001556,0.003057,0.022066,-0.022118,0.413759
33,-0.008067,0.040621,-0.002996,0.007437,-0.006902,0.01762,0.09247,-0.214685,-0.10986,0.173127,0.11132,0.034051,-0.037611,-0.000309,-0.002627,-0.001299,-0.000959,0.01155,-0.026375,0.415392
34,-0.007905,0.040526,-0.002686,0.007414,-0.00712,0.017485,0.191842,-0.225308,-0.351014,0.175086,0.111319,0.034027,-0.037656,-0.000295,-0.002508,-0.001242,-0.001037,0.011358,-0.026452,0.416372
35,-0.00761,0.040447,-0.002164,0.006984,0.003313,0.008893,-0.017168,-0.050558,0.043509,0.177209,0.111331,0.033967,-0.037746,0.005825,-0.003042,-0.001717,0.000976,-0.014732,0.029564,0.417842
36,-0.007406,0.040516,-0.001737,0.000966,0.004171,0.009775,0.058168,-0.023697,-0.210239,0.178352,0.111328,0.03389,-0.037823,-0.000272,-0.002317,-0.001154,2e-06,-1e-06,1.4e-05,0.418495
37,-0.007316,0.040588,-0.001568,0.000879,0.003133,0.009154,-0.045218,0.00913,0.014208,0.179822,0.111318,0.03385,-0.037849,-0.000216,-0.001839,-0.000915,-8e-06,1e-06,7e-06,0.418495
38,-0.007082,0.040716,-0.001277,0.006587,0.006786,0.003511,0.065136,-0.097886,0.007245,0.182434,0.111301,0.033775,-0.037874,-0.000128,-0.001074,-0.000536,-2.7e-05,-2.1e-05,-1.1e-05,0.418821
39,-0.006947,0.040848,-0.001028,0.0068,0.001617,0.007821,-0.014818,-0.032675,0.019852,0.184394,0.111287,0.033737,-0.037898,-7.5e-05,-0.000646,-0.000321,1.6e-05,1.5e-05,1.2e-05,0.419311
40,-0.006893,0.040956,-0.000914,0.000603,0.007816,0.004488,-0.004824,-0.00687,0.028758,0.185537,0.11129,0.033724,-0.037905,-0.000109,-0.000923,-0.00046,3e-06,7e-06,4e-06,0.419148
41,-0.00672,0.041142,-0.000708,0.00643,0.005207,0.00256,0.10017,-0.043924,-0.192227,0.199743,0.111288,0.033702,-0.037911,-0.000145,-0.005848,0.00439,-0.036733,0.023331,-0.045284,0.419801
42,-0.006486,0.041138,-0.000513,0.006458,-0.002501,0.005431,-0.045322,0.087258,-0.131479,0.215093,0.111284,0.033677,-0.037929,-8.2e-05,-0.000702,-0.000349,-4e-06,2.1e-05,4e-06,0.420454
43,-0.006254,0.040944,-0.000239,0.000646,-0.007807,0.010102,-0.070651,0.011034,-0.00883,0.223094,0.111279,0.033629,-0.037947,-0.000188,-0.00159,-0.000795,-0.001039,0.011337,-0.026477,0.420944
44,-0.006134,0.040813,-7.6e-05,0.000587,-0.008454,0.009721,1.45782,2.092478,-1.046377,0.226523,0.111281,0.033603,-0.03796,-0.000145,-0.001242,-0.000621,-2e-06,-1e-06,3e-06,0.421434
45,-0.005894,0.040541,0.000273,0.006719,-0.007257,0.010008,1.932178,1.553616,-1.294579,0.229136,0.111274,0.033546,-0.037989,-0.000208,-0.001769,-0.000887,-0.001029,0.011345,-0.026468,0.42225
46,-0.00568,0.040266,0.000627,0.000674,-0.00747,0.01032,-0.101499,0.122046,-0.170579,0.228156,0.111267,0.033487,-0.038013,-8.6e-05,-0.000733,-0.000367,-7e-06,-9e-06,-2e-06,0.422904
47,-0.005604,0.040162,0.000799,0.000481,-0.001623,0.006354,-0.058374,0.116712,-0.158539,0.227339,0.111265,0.033461,-0.038015,-8.7e-05,-0.000743,-0.000373,-1.5e-05,-1.1e-05,-6e-06,0.422904
48,-0.005455,0.040108,0.001076,0.006615,-0.00019,0.006743,0.197188,-0.176743,-0.300936,0.226196,0.111264,0.033437,-0.03801,7e-06,6.2e-05,3.1e-05,-2e-06,-5e-06,0.0,0.42323
49,-0.005408,0.040223,0.001291,0.000402,0.005957,0.003339,0.20857,-0.238829,-0.11656,0.229136,0.111264,0.033435,-0.038,9e-06,9.2e-05,4.4e-05,-2e-06,4e-06,1e-05,0.422904
