frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
636,0.025556,0.053195,-0.022151,-0.000282,0.002064,0.001479,0.000775,0.000376,0.002385,-0.700478,0.05035,0.040208,-0.063774,0.000623,0.00463,-0.004864,-0.081881,0.01119,0.009238,-0.31321
637,0.025539,0.053252,-0.022115,-4.5e-05,0.000326,0.000235,-0.009698,0.118303,-0.155815,-0.707663,0.050423,0.040256,-0.063904,-0.000693,-0.001311,-0.001104,-1.258756,1.388124,-1.76578,-0.158084
638,0.025518,0.053236,-0.02213,-0.000635,0.004647,-0.00431,0.037181,-0.009618,0.018931,-0.708152,0.050531,0.040335,-0.064079,0.000787,0.004923,-0.004621,0.036461,-0.027572,0.018076,0.088321
639,0.025484,0.053216,-0.022158,-0.006568,0.003368,-0.004647,0.034954,0.005643,-0.010424,-0.708479,0.050575,0.040394,-0.064158,-0.000186,-0.000359,-0.000302,-0.429185,0.491851,-0.636716,0.159516
640,0.025343,0.053144,-0.022241,-0.00652,0.003001,-0.004907,0.048959,0.018565,-0.033725,-0.708969,0.05063,0.040534,-0.064268,0.001311,0.005907,-0.003791,0.035873,-0.026842,0.016678,0.256347
641,0.025138,0.053067,-0.022299,-0.005763,-0.002584,-0.001264,0.754211,0.413205,1.411444,-0.710602,0.050608,0.040657,-0.064313,-0.006067,0.002738,0.001736,0.004714,0.008876,-0.023352,0.329012
642,0.024853,0.052929,-0.022363,-0.00564,-0.003597,-0.002,-9.9e-05,0.02894,-0.053741,-0.708642,0.050571,0.040805,-0.064347,0.00154,0.006382,-0.003445,-5.937702,1.196556,0.982644,0.387306
643,0.024704,0.052842,-0.022393,-0.004908,-0.009117,0.001688,-0.038677,0.024002,-0.048214,-0.709459,0.050517,0.040922,-0.064379,0.001467,0.006181,-0.003551,-0.388174,0.038415,0.138083,0.411963
644,0.02448,0.052662,-0.02243,-0.005769,-0.002711,-0.001369,0.004485,0.00904,-0.032085,-0.717297,0.050345,0.041204,-0.06449,-0.005617,0.007012,-0.003414,0.038348,0.101309,-0.179098,0.459971
645,0.024342,0.052522,-0.022464,-0.005864,-0.002018,-0.000873,0.065486,0.050325,0.09913,-0.714684,0.050201,0.041442,-0.064677,0.000649,0.008105,-0.010665,-0.049347,-0.279227,-0.371977,0.501283
646,0.024307,0.052478,-0.022463,0.000801,-0.006074,0.003295,0.390976,-0.457553,-0.365429,-0.713704,0.05018,0.04152,-0.06483,-0.000106,0.006709,-0.011838,-0.014617,-0.198921,-0.331968,0.508794
647,0.02433,0.052514,-0.022434,0.005745,0.002948,0.001547,0.002944,-0.028202,0.050446,-0.734769,0.050203,0.041605,-0.065256,0.005067,0.002332,-0.014964,0.005384,-0.122728,-0.287839,0.514836
648,0.024423,0.052644,-0.022328,0.006084,0.000442,0.007402,-0.027979,-0.037361,0.05313,-0.734115,0.050226,0.041726,-0.065823,-0.002166,0.002902,-0.015088,0.019262,-0.169923,-0.117236,0.516469
649,0.024572,0.052909,-0.022132,0.005011,0.00845,0.005471,0.224038,0.093874,0.48437,-0.727911,0.050245,0.041961,-0.066604,-0.001922,0.006814,-0.02058,0.019435,-0.296396,-0.167532,0.516306
650,0.024624,0.053078,-0.022012,-0.001142,0.008749,0.006241,-0.012145,0.08694,-0.111294,-0.732156,0.050271,0.042124,-0.067073,-0.001387,0.011266,-0.02559,0.019783,-0.403922,-0.2432,0.516306
651,0.024622,0.05341,-0.021734,-0.001295,0.009889,0.007012,0.004783,-0.035265,0.043572,-0.737708,0.05035,0.042504,-0.06813,0.005722,0.013906,-0.031557,0.052206,-0.437735,-0.196941,0.515
652,0.024551,0.053813,-0.021453,-0.001279,0.009773,0.006877,0.018934,0.069794,0.051956,-0.741137,0.050416,0.042946,-0.069222,0.00475,0.008655,-0.027305,-2.397653,1.37702,-1.362121,0.51353
653,0.024496,0.053987,-0.021328,-0.007145,0.008247,0.00636,0.291206,-0.285058,1.876663,-0.746362,0.050478,0.043238,-0.069819,0.005995,0.014409,-0.031153,-1.506576,-0.584745,0.415831,0.512713
654,0.024321,0.054316,-0.021109,-0.006833,0.006269,0.004942,2.328155,1.423891,4.793107,-0.752731,0.050673,0.043967,-0.071127,0.00708,0.019879,-0.035228,-0.447328,-0.695444,-0.139279,0.506182
655,0.02402,0.054616,-0.020977,-0.013444,0.01051,0.000889,0.000458,-0.055459,0.015416,-0.757629,0.050991,0.044866,-0.072589,0.014517,0.023151,-0.040511,-4.956429,-0.412177,2.075557,0.48577
656,0.023615,0.054984,-0.020948,-0.013051,0.008048,-0.000822,2.355697,1.41456,4.728331,-0.762528,0.051437,0.045888,-0.074197,0.015843,0.029118,-0.044049,0.184819,-0.433781,-0.08498,0.461277
657,0.02341,0.055172,-0.020993,-0.013691,0.012802,-0.005027,0.079527,0.027378,0.017096,-0.762528,0.051716,0.046409,-0.074986,0.016023,0.02949,-0.043671,0.185293,-0.400537,-0.079646,0.45099
658,0.023076,0.055557,-0.021189,-0.007321,0.010106,-0.007418,0.305207,-0.241094,-0.158496,-0.76759,0.052398,0.047562,-0.07668,0.016831,0.031087,-0.042106,0.119345,-0.554638,-0.387224,0.433354
659,0.022855,0.05587,-0.021555,-0.006644,0.005038,-0.010894,2.757199,1.146205,5.038764,-0.776245,0.053114,0.048742,-0.078256,0.017774,0.032958,-0.040261,0.013619,-0.647436,-0.935886,0.422087
660,0.0228,0.055909,-0.021759,-0.000378,0.002785,-0.012991,2.792641,0.750048,4.55435,-0.777388,0.053521,0.049334,-0.079006,0.018599,0.034584,-0.038684,0.101406,-0.262188,-0.753718,0.420944
661,0.022729,0.055875,-0.022258,-0.000134,0.00086,-0.014367,2.752134,0.296316,4.550105,-0.782449,0.054466,0.050445,-0.080308,0.024787,0.025581,-0.028178,-1.508933,0.217906,-0.20122,0.420128
662,0.022598,0.05567,-0.022715,-0.005285,-0.006589,-0.011616,0.357954,-0.579439,-0.131028,-0.788818,0.055569,0.05132,-0.081262,0.030662,0.01615,-0.018207,-0.274473,0.702079,-0.604771,0.421924
663,0.022487,0.055459,-0.022897,-0.004511,-0.012865,-0.008548,0.59831,-0.951023,-0.160986,-0.7929,0.056143,0.051556,-0.081549,0.03622,0.009447,-0.014772,-1.336669,0.996369,-0.00714,0.425353
664,0.022248,0.054919,-0.023178,-0.004069,-0.01654,-0.003646,0.329333,-0.680938,0.030677,-0.800248,0.057279,0.051632,-0.081822,0.026783,-0.004839,-0.00186,-4.225126,2.823932,2.421047,0.417352
665,0.021987,0.054509,-0.02338,-0.00521,-0.00748,-0.004797,0.39037,-0.610362,-0.103323,-0.801881,0.058177,0.051398,-0.081704,0.019778,-0.011068,0.009588,0.444178,1.418928,0.195848,0.381591
