frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1062,0.022749,0.051921,-0.009143,-8.8e-05,-0.001628,-0.00108,0.000832,0.009728,0.001467,-0.033762,0.050901,0.035283,-0.044368,-0.000242,-0.000675,-0.000411,3.6e-05,1e-06,-8e-06,-0.748543
1063,0.022736,0.05192,-0.009205,-0.000159,-0.002796,-0.001852,0.003339,-0.008099,-0.007092,0.010326,0.050903,0.035286,-0.044389,0.000248,0.003872,-0.005136,4.065055,-3.662319,1.094803,-0.751319
1064,0.022738,0.05186,-0.009347,-0.000222,-0.003894,-0.002589,0.005494,0.008028,-0.028162,0.041188,0.050906,0.035298,-0.044422,-0.0,-1e-06,-2e-06,-7.3e-05,0.000138,-4.5e-05,-0.75834
1065,0.02278,0.051814,-0.009505,-0.000498,0.00258,-0.005644,4.960981,1.39721,2.071068,0.124793,0.050942,0.035315,-0.044447,-0.000127,-0.00035,-0.000214,0.000129,0.000212,-0.000554,-0.763076
1066,0.022876,0.051792,-0.009634,-0.000154,-0.002815,-0.001892,0.026384,-0.020932,0.049576,0.259671,0.050919,0.035312,-0.044455,-9.5e-05,-0.000268,-0.000165,0.010839,-0.068731,0.185492,-0.766995
1067,0.022853,0.051743,-0.009688,-0.000217,-0.003877,-0.0026,0.007602,0.006286,-0.030405,0.299024,0.050908,0.035313,-0.044466,-0.000249,-0.000694,-0.000425,-0.005187,-0.007038,-0.003801,-0.766832
1068,0.022829,0.051626,-0.009817,-0.000187,-0.003346,-0.002253,0.014385,0.016799,-0.019427,0.355196,0.050893,0.035306,-0.044481,-6e-05,-0.000168,-0.000104,-5.1e-05,-0.000179,-6.5e-05,-0.765198
1069,0.022867,0.051612,-0.009925,0.005792,0.004899,-0.004681,-0.132983,0.432871,0.40364,0.431779,0.050868,0.035314,-0.044494,-0.006255,0.001379,0.000866,-0.000951,0.014686,-0.029536,-0.765362
1070,0.022893,0.051599,-0.009942,-2.5e-05,-0.000511,-0.00035,-0.057616,0.140722,0.107959,0.469826,0.050845,0.035323,-0.044494,-0.006165,0.001633,0.001021,-0.000951,0.014696,-0.029551,-0.765199
1071,0.022856,0.051569,-0.009942,-0.006061,0.000131,0.000503,-0.003258,0.027575,-0.019222,0.506403,0.050822,0.035316,-0.044498,-0.000322,-0.000893,-0.000546,-0.002881,-0.004138,-0.002157,-0.763892
1072,0.022849,0.051574,-0.009921,3e-06,6.7e-05,4.5e-05,-0.000291,-0.002052,-0.001757,0.512608,0.050837,0.035292,-0.044554,-0.000485,-0.001345,-0.000823,0.006223,0.022684,0.008732,-0.765198
1073,0.022839,0.051564,-0.009927,-2.4e-05,-0.000412,-0.00028,-0.000891,-0.000989,-0.000405,0.513914,0.050859,0.035244,-0.044682,-0.001331,-0.003689,-0.002264,-0.016332,0.001105,-0.035681,-0.766505
1074,0.022807,0.051557,-0.00993,-3.1e-05,-0.000533,-0.000356,-0.000867,-0.000312,-0.000333,0.514404,0.050873,0.035194,-0.044766,-0.001607,-0.004458,-0.002739,-0.013272,0.002955,-0.032932,-0.776139
1075,0.022706,0.051548,-0.009929,-4.2e-05,-0.000715,-0.000479,-0.000607,-0.000168,-0.000194,0.515057,0.050914,0.035034,-0.044975,-0.002188,-0.006073,-0.003744,-0.005937,0.005233,-0.029698,-0.790345
1076,0.022597,0.051556,-0.009916,3.5e-05,0.000576,0.00039,-0.000444,-0.000568,-0.000196,0.515384,0.050982,0.034945,-0.045323,0.004294,-0.003373,-0.009898,0.146671,0.195923,0.120969,-0.789039
1077,0.022552,0.051559,-0.009911,1e-06,-0.0,-1e-06,-0.000344,-0.001344,-0.000259,0.515711,0.05103,0.034886,-0.045529,0.003767,-0.004847,-0.010824,0.069303,0.078329,0.031359,-0.785773
1078,0.022442,0.051551,-0.009902,-0.0,3e-06,4e-06,-0.000496,-0.000167,-0.000182,0.517017,0.051126,0.03476,-0.045989,0.003811,-0.004762,-0.010806,0.024164,-0.009241,-0.009795,-0.783814
1079,0.022298,0.051571,-0.00988,-0.006037,0.000538,0.00078,-0.002394,0.015127,-0.029365,0.516527,0.051241,0.034657,-0.046441,0.004001,-0.004274,-0.01053,0.020714,-0.021503,-0.015413,-0.785447
1080,0.022221,0.051585,-0.009865,5.7e-05,0.000931,0.00063,-0.000283,-6.8e-05,-0.000113,0.512118,0.051324,0.034622,-0.046692,0.004064,-0.004114,-0.01044,0.142499,0.195242,0.091246,-0.792632
1081,0.022095,0.051589,-0.009836,-0.006034,0.000564,0.000792,-0.002074,0.014289,-0.029363,0.503464,0.051529,0.034509,-0.04714,0.004078,-0.004115,-0.01047,0.1457,0.197934,0.093589,-0.790999
1082,0.022018,0.05157,-0.009826,-1.1e-05,-0.000172,-0.000114,-0.000332,-0.000248,-0.000137,0.499381,0.051703,0.034408,-0.047518,0.004691,-0.002427,-0.009414,0.015369,-0.030237,-0.019068,-0.791489
1083,0.021986,0.051566,-0.009821,-0.0,0.0,2e-06,-0.000244,-6.7e-05,-0.000116,0.503464,0.051912,0.034311,-0.047815,0.005539,-5.3e-05,-0.007907,0.076085,0.048887,0.091997,-0.792142
1084,0.021974,0.051552,-0.009807,-6e-06,-5e-06,1.3e-05,1.497946,0.463803,0.590523,0.50477,0.051998,0.034286,-0.047943,0.005602,0.000121,-0.007799,0.281093,0.451198,0.24755,-0.792305
1085,0.021993,0.051529,-0.009795,-1e-06,-3e-06,-2e-06,0.000176,0.001999,-0.00264,0.505586,0.052118,0.034318,-0.048201,0.006081,0.001456,-0.006939,0.339115,0.561739,0.332759,-0.796877
1086,0.021997,0.051529,-0.009795,-1e-06,-2e-06,-1e-06,-0.000141,-8e-06,-0.000136,0.506076,0.052203,0.034345,-0.048385,0.005647,-0.003316,-0.002122,0.129523,0.329634,-0.028408,-0.804878
1087,0.021993,0.051533,-0.009793,1e-06,2.8e-05,1.9e-05,-0.000128,-3.7e-05,-5.8e-05,0.506076,0.052239,0.034358,-0.048441,-0.000227,-0.000654,-0.000431,0.112664,0.139723,0.08135,-0.805695
1088,0.021983,0.051531,-0.009799,-1.4e-05,-0.00022,-0.000149,-9.1e-05,-1.3e-05,-4.3e-05,0.50379,0.052278,0.034368,-0.048434,0.00601,-0.005844,0.00415,0.354038,0.706903,0.360197,-0.803899
1089,0.021982,0.051515,-0.00981,-5e-06,-7.9e-05,-5.4e-05,-6.3e-05,-1.9e-05,-1.4e-05,0.501668,0.05234,0.034366,-0.04843,6e-06,9e-06,5e-06,0.297189,0.590061,0.28569,-0.807001
