frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
3279,0.059632,0.036938,-0.00109,-0.005542,-0.005805,-0.003462,-0.18316,0.324344,0.135877,0.522079,0.120187,0.044773,-0.047198,-0.039864,-0.025128,-0.011086,0.291788,-0.590176,-1.976595,-0.812389
3280,0.059564,0.036795,-0.00129,-0.005372,-0.006857,-0.004217,0.007081,0.014944,-0.063376,0.521752,0.118528,0.04373,-0.047753,-0.046234,-0.026946,-0.01912,-0.149541,-0.363089,-1.525643,-0.817452
3281,0.059446,0.036574,-0.001521,0.001236,-0.007381,-0.005245,-0.004158,0.02907,-0.049646,0.521916,0.116604,0.042648,-0.048636,-0.052961,-0.027095,-0.026508,-0.222632,-0.514351,-1.572493,-0.825616
3282,0.059344,0.036417,-0.001626,-0.005178,-0.008186,-0.005192,0.007678,-0.057546,0.091396,0.521915,0.115521,0.042111,-0.049185,-0.053268,-0.029325,-0.027914,-0.081109,-0.570859,-1.373423,-0.819575
3283,0.059097,0.036101,-0.001805,-0.005346,-0.007316,-0.004593,-0.006317,0.044723,-0.078616,0.522079,0.112982,0.040986,-0.050242,-0.060447,-0.024738,-0.025737,-0.008672,-0.001648,-0.730095,-0.824473
3284,0.058864,0.035877,-0.001939,-0.006632,0.000978,-0.006703,0.032071,0.02336,-0.033695,0.522079,0.110335,0.040181,-0.051283,-0.073605,-0.021885,-0.024163,0.066254,0.117078,-0.522379,-0.828719
3285,0.058766,0.035811,-0.001981,-0.006016,-0.003319,-0.001734,-0.004192,0.029958,-0.053942,0.521915,0.108869,0.039878,-0.051797,-0.074053,-0.017668,-0.021986,-0.116074,-0.283968,-0.7227,-0.828882
3286,0.05865,0.035771,-0.001998,-0.000147,0.000919,0.000666,0.001946,-0.014839,0.024608,0.522079,0.105879,0.039364,-0.052541,-0.080842,-0.00825,-0.016715,-1.027079,-1.182362,1.956999,-0.828229
3287,0.058584,0.035785,-0.001982,-1.5e-05,0.0001,7.5e-05,-2e-06,0.000272,-0.000443,0.522079,0.102766,0.039235,-0.053153,-0.075014,0.004021,-0.017479,-0.197793,-0.284143,0.79582,-0.825616
3288,0.058501,0.035747,-0.001994,-0.006182,-0.002326,-0.001027,-0.001502,0.018786,-0.034344,0.521752,0.100036,0.039416,-0.053857,-0.062795,0.004473,-0.017721,0.001197,-0.448808,0.031309,-0.8248
