frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
542,0.061037,0.023881,-0.00739,0.00539,0.022763,0.024047,-0.033552,-0.143845,0.213949,-1.016608,0.09995,0.031403,-0.080957,-5.5e-05,-0.001683,-0.013931,-0.262809,-0.320788,-0.228522,-1.036588
543,0.061139,0.024305,-0.006898,0.005273,0.023523,0.024658,-0.072353,-0.262702,0.094359,-1.01122,0.099945,0.03133,-0.081213,0.000265,-0.007611,-0.010389,-0.115618,-0.099506,-0.133389,-1.037077
544,0.061302,0.025238,-0.005908,0.005054,0.024889,0.025656,-0.439167,-0.757361,0.618474,-0.998973,0.099955,0.031137,-0.081716,-4.1e-05,-0.00225,-0.014827,0.026385,0.009901,-0.058342,-1.030056
545,0.061301,0.026184,-0.00497,-0.002933,0.027641,0.019079,-0.392267,-0.75483,0.602096,-0.943454,0.099959,0.030833,-0.082206,0.000304,-0.008968,-0.012445,0.039087,0.071654,-0.220094,-1.027607
546,0.061116,0.027007,-0.004122,-0.009375,0.018524,0.02009,-1.133105,-0.150458,-0.9228,-0.927452,0.099973,0.030431,-0.082687,0.000313,-0.009294,-0.013038,0.318467,-0.007407,-1.532556,-1.034302
547,0.060959,0.027379,-0.003776,-0.017309,0.022167,0.014777,-0.017034,-0.084645,-0.062133,-0.926635,0.099982,0.030196,-0.082919,0.000645,-0.015606,-0.010058,-0.019203,-0.039023,0.070507,-1.032832
548,0.060447,0.028157,-0.003216,-0.016927,0.019504,0.011809,-0.03709,-0.034639,-0.05016,-0.916674,0.100001,0.029691,-0.083409,0.000346,-0.010417,-0.014824,-0.236845,-0.342918,-0.05427,-1.028423
549,0.059729,0.028995,-0.002925,-0.025203,0.027164,0.000756,0.085291,-0.081895,0.036076,-0.92288,0.10004,0.029146,-0.083919,0.000369,-0.01112,-0.016,-0.1841,-0.266438,-0.055486,-1.032668
550,0.059272,0.029478,-0.002888,-0.025036,0.026427,-6.4e-05,0.064796,-0.108979,0.277869,-0.930391,0.100069,0.028845,-0.084182,0.008511,-0.016278,-0.012028,-0.21896,-0.287592,-0.020552,-1.02924
551,0.058156,0.03059,-0.003036,-0.032597,0.029494,-0.005957,-0.30312,-0.794608,0.871907,-0.933493,0.100104,0.028272,-0.084651,0.000658,-0.016129,-0.01136,-0.019324,-0.03606,0.074559,-1.02875
552,0.056755,0.031794,-0.00339,-0.040036,0.032344,-0.012053,0.204826,-0.173043,0.360721,-0.945577,0.10014,0.027685,-0.085083,0.000636,-0.015433,-0.010493,-0.281476,-0.219943,-0.23848,-1.032016
553,0.055205,0.03306,-0.003875,-0.047455,0.036049,-0.017315,-0.937597,-2.344325,1.858991,-0.954884,0.100165,0.027069,-0.08545,0.000602,-0.014515,-0.009261,-0.036519,0.046265,-0.064261,-1.032342
554,0.054348,0.033708,-0.004159,-0.046649,0.030248,-0.013497,-0.741991,-0.798753,-0.675178,-0.955701,0.100174,0.026736,-0.085613,-0.007319,-0.014832,-0.009158,-0.032987,-0.036583,0.046325,-1.032832
