frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
58,0.029694,0.025546,-0.01542,-0.008586,0.014712,-0.014096,0.18217,0.696834,-0.579108,-0.34826,0.0844,0.035708,-0.032467,1e-06,-1e-06,-2e-06,-5e-06,6e-06,-0.0,0.221893
59,0.02927,0.026229,-0.016179,-0.009192,0.016375,-0.022737,0.084561,0.046124,0.048657,-0.643163,0.084375,0.035712,-0.032464,2e-06,-7e-06,-6e-06,4e-06,9e-06,5e-06,0.220913
60,0.028726,0.027053,-0.017275,-0.00991,0.025367,-0.033458,-0.053634,0.423907,-0.128531,-0.873402,0.084339,0.035716,-0.032459,-0.006877,0.000121,0.000288,-0.000969,0.014736,-0.029541,0.219607
61,0.02846,0.027579,-0.017918,-0.009724,0.027133,-0.031402,-0.130148,0.426166,0.121785,-0.850705,0.084323,0.035717,-0.032459,-0.006875,0.000123,0.000288,-0.000964,0.014739,-0.02954,0.21928
62,0.027983,0.028881,-0.019193,-0.009621,0.03601,-0.03159,-0.521323,0.625185,0.81686,-0.835846,0.084292,0.035717,-0.032458,6e-06,-4e-06,-4e-06,6e-06,8e-06,3e-06,0.219117
63,0.027506,0.030384,-0.020302,-0.009045,0.041071,-0.02558,-0.459766,0.663858,0.843521,-0.841724,0.084241,0.035725,-0.03245,1.2e-05,0.000172,0.000129,2e-06,1.5e-05,4e-06,0.218627
64,0.027284,0.031158,-0.020733,-0.008561,0.037443,-0.019203,-0.63325,0.628171,1.062434,-0.852011,0.084205,0.035726,-0.032442,-0.006876,0.000185,0.000334,-0.000978,0.014718,-0.029548,0.218627
65,0.026941,0.032516,-0.021378,-0.008191,0.03251,-0.01437,-0.485279,0.344631,1.107284,-0.84401,0.084128,0.035735,-0.03244,-0.0,-1.3e-05,-7e-06,-3e-06,-7e-06,-0.0,0.218627
66,0.026593,0.033503,-0.021693,-0.007575,0.022207,-0.005279,-0.533588,0.505052,0.686828,-0.843194,0.084045,0.035726,-0.032444,-2e-05,-0.000387,-0.000285,-9e-06,1e-06,-6e-06,0.221566
67,0.026358,0.034184,-0.021683,-0.00689,0.01283,0.004841,-0.239345,0.148512,0.376045,-0.859196,0.083987,0.035727,-0.032467,-7e-06,-0.000126,-9e-05,-8e-06,-6e-06,-6e-06,0.226465
68,0.026334,0.034416,-0.021538,-0.006436,0.009272,0.011192,0.046516,-0.151731,0.165864,-0.859033,0.083961,0.035726,-0.03248,-2.1e-05,-0.000408,-0.000304,-3e-06,-3e-06,-2e-06,0.229404
69,0.026405,0.034786,-0.021057,0.001501,0.006425,0.017822,0.550799,-0.752324,-0.146699,-0.8574,0.083917,0.035767,-0.032556,-2.6e-05,-0.000499,-0.000372,0.000846,0.000618,0.000192,0.237895
70,0.026565,0.035361,-0.020337,0.009302,0.018507,0.020509,-0.600041,-1.593563,-0.77961,-0.862135,0.08387,0.035863,-0.032724,-0.007054,0.003816,-0.00542,0.034824,0.003943,-0.010224,0.24508
71,0.026643,0.03611,-0.019417,0.002475,0.016248,0.028337,0.243075,-0.440516,0.106019,-0.86981,0.083784,0.035999,-0.032976,-0.007122,0.002536,-0.006378,0.011451,0.049598,-0.244755,0.254224
72,0.02668,0.036485,-0.01888,0.002534,0.017059,0.029005,0.04619,-0.258629,0.211814,-0.866544,0.083722,0.036088,-0.033149,-0.000281,0.001689,-0.007204,0.039158,0.011867,-0.003932,0.25798
73,0.026771,0.037165,-0.017771,0.002428,0.01645,0.02788,-0.037421,-0.058435,0.109441,-0.876668,0.083545,0.036305,-0.033623,-0.007378,0.00478,-0.01317,0.055246,-0.045334,-0.049098,0.259613
74,0.026907,0.037697,-0.016699,0.002082,0.013337,0.024157,0.212103,0.374466,0.224918,-0.881404,0.083365,0.036549,-0.034301,-0.007663,0.006523,-0.020362,-0.055523,-0.447882,-0.235534,0.242631
75,0.027038,0.037835,-0.016222,0.008895,0.008987,0.018973,1.093157,1.411864,1.355295,-0.88467,0.083264,0.036687,-0.034761,-0.007914,0.008934,-0.027057,-0.145937,-0.820343,-0.439516,0.225975
76,0.027386,0.037844,-0.015523,0.008172,-0.005718,0.013548,3.574446,4.930952,4.251503,-0.887282,0.082996,0.037003,-0.035933,-0.008245,0.010053,-0.034794,-0.280421,-1.161305,-0.795869,0.201971
