frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
10,0.02461,0.023867,-0.001288,-0.00951,0.002277,-0.019096,0.08073,-0.052502,0.101679,0.034983,0.087699,0.040362,-0.02142,-0.000292,0.001685,-0.007336,-0.014693,-0.097265,-0.053355,0.168823
11,0.024021,0.024049,-0.00208,-0.017645,0.008488,-0.022021,0.103546,0.026318,-0.059649,0.051965,0.087694,0.04038,-0.021653,-0.000276,0.001917,-0.007161,0.069187,0.000548,-0.014291,0.249489
12,0.023442,0.024369,-0.002918,-0.009629,0.00888,-0.022011,0.105359,0.010446,-0.03012,0.087563,0.087684,0.040401,-0.021903,-0.000309,0.001363,-0.007599,0.038929,0.009534,-0.002932,0.301089
13,0.023133,0.02457,-0.003365,-0.01755,0.009433,-0.020937,0.096474,0.012246,-0.047465,0.118751,0.087683,0.040416,-0.02204,-0.00032,0.00119,-0.00774,0.030214,-0.013735,-0.018121,0.321663
14,0.022585,0.025008,-0.004157,-0.009317,0.011256,-0.019002,-0.003181,0.116225,0.062722,0.179332,0.087683,0.040452,-0.022299,-0.000296,0.0016,-0.007423,-0.086983,-0.223356,-0.100919,0.355465
15,0.02209,0.025485,-0.004835,-0.009113,0.012788,-0.017025,-0.721567,-0.632815,-1.453008,0.228319,0.087689,0.040496,-0.022545,-0.00028,0.001851,-0.007229,0.035843,0.004025,-0.005033,0.384367
16,0.021707,0.025955,-0.005389,-0.008793,0.014874,-0.014295,-0.132262,-0.239059,-0.360387,0.26457,0.087721,0.040564,-0.022792,-0.000238,0.002593,-0.006645,0.034491,0.001718,-0.005896,0.407228
17,0.021568,0.026195,-0.005624,-0.008523,0.009838,-0.009516,-0.155706,0.22028,0.091135,0.280572,0.087748,0.040611,-0.022919,0.00678,0.002555,-0.006866,-0.060327,-0.207486,-0.030051,0.418821
18,0.021379,0.026654,-0.006039,-0.008434,0.0104,-0.008785,-0.427688,0.547465,0.071818,0.301637,0.087839,0.040732,-0.023198,-0.000221,0.002848,-0.006446,0.039677,-0.01162,0.013044,0.441192
19,0.021342,0.02711,-0.006424,-0.00061,0.016156,-0.012985,-0.093209,0.169912,0.16787,0.31421,0.087981,0.040893,-0.023518,0.00677,0.002346,-0.007039,0.051924,0.008885,0.026637,0.459154
20,0.021363,0.027323,-0.006598,-0.0004,0.010783,-0.008646,-0.321788,0.503289,0.130865,0.318945,0.088055,0.04099,-0.023692,-0.00033,0.007788,-0.01123,0.0521,-0.057668,-0.018323,0.466339
21,0.021449,0.027726,-0.006938,0.00773,0.005125,-0.005036,-0.096126,0.105779,0.12096,0.322538,0.088227,0.041201,-0.024065,0.006764,0.002219,-0.007144,0.052954,0.011285,0.028162,0.474993
22,0.021561,0.028094,-0.007221,0.007506,0.01114,-0.008572,-3.229968,-2.145838,-3.681279,0.323028,0.088392,0.041424,-0.024487,-0.000387,0.00679,-0.012023,-0.015597,-0.175662,-0.063357,0.475483
23,0.021686,0.028409,-0.007413,-8e-05,0.006286,-0.003145,0.281473,2.428519,-1.488499,0.323028,0.088555,0.041669,-0.024983,0.006568,0.005594,-0.013177,-0.017688,-0.197491,-0.03467,0.465359
24,0.021769,0.028521,-0.007465,0.008042,0.000599,0.000423,-0.368569,0.040922,-0.183065,0.323028,0.088635,0.041809,-0.025273,0.006545,0.005167,-0.013522,0.073611,-0.038558,0.030336,0.455725
25,0.021971,0.028633,-0.007447,0.00822,0.001915,0.002154,-0.014815,-0.121842,0.228874,0.322048,0.088776,0.042139,-0.02593,0.006409,0.009696,-0.018625,-0.129116,-0.509291,-0.167995,0.432374
26,0.022157,0.028658,-0.007319,0.000491,-0.003513,0.006799,-0.025821,-0.027771,-0.000436,0.322211,0.088884,0.042523,-0.026667,-0.00062,0.009367,-0.018695,0.014753,-0.186288,-0.072052,0.417025
27,0.022227,0.028661,-0.007258,0.00023,0.001599,0.002104,-0.023851,-0.029794,-0.026557,0.321068,0.088919,0.042721,-0.027041,-0.000618,0.009389,-0.018679,-0.472135,0.510065,-0.483382,0.413596
28,0.022323,0.028694,-0.007194,0.000172,0.001182,0.001557,-0.005069,-0.022702,0.017921,0.323028,0.088969,0.043066,-0.027742,0.006396,0.009417,-0.018855,0.128081,-0.015207,0.063783,0.4118
29,0.022402,0.028716,-0.007186,-5e-06,-8.5e-05,-0.000108,-0.285582,-0.235514,-0.337761,0.32564,0.08898,0.043334,-0.028355,-0.000483,0.004821,-0.013639,0.056959,-0.041942,-0.047392,0.412616
30,0.022531,0.028709,-0.007219,0.007833,-0.000765,-0.001385,0.007316,-0.005334,0.020316,0.32662,0.088958,0.043509,-0.028818,-0.000421,0.00611,-0.012584,0.058611,-0.053906,-0.022703,0.415392
31,0.022624,0.028701,-0.007243,-3.6e-05,-0.000323,-0.000421,-0.014266,0.090226,-0.170395,0.32662,0.088942,0.043556,-0.028984,-0.000275,0.001711,-0.0074,-0.002413,-0.085134,-0.059931,0.417025
32,0.0229,0.028673,-0.007294,0.007752,-0.000615,-0.001365,-3.244436,-2.515761,-3.674454,0.326783,0.088902,0.043598,-0.029193,-9.8e-05,-0.002086,-0.00172,-0.028878,-0.051868,-0.06507,0.419148
33,0.023245,0.028647,-0.007372,0.007817,-0.000837,-0.001522,-1.004674,-0.666432,-1.264527,0.326947,0.088869,0.043598,-0.029245,1e-05,0.000106,8.6e-05,-0.185753,-0.327948,-0.148097,0.420944
34,0.023461,0.028645,-0.007429,0.015675,-0.001448,-0.002725,-0.007806,0.0805,-0.139025,0.32711,0.088869,0.043597,-0.029232,3.8e-05,0.000714,0.000589,0.010184,0.014766,0.004587,0.421597
35,0.023911,0.028643,-0.007558,0.015651,-0.001653,-0.00302,-0.006394,0.066724,-0.113856,0.32809,0.088887,0.043621,-0.029186,6.1e-05,0.001176,0.00097,-0.000498,0.000672,0.001292,0.42568
36,0.024385,0.028613,-0.007744,0.015482,-0.003067,-0.004917,-0.003812,-0.022013,0.025281,0.328253,0.088894,0.043658,-0.029163,3.5e-05,0.000708,0.000585,-0.000519,0.000179,0.000809,0.430252
37,0.02462,0.028577,-0.007866,0.015463,-0.003288,-0.005225,0.00562,-0.030071,0.059261,0.328253,0.088895,0.043665,-0.029157,2.3e-05,0.000463,0.000382,-0.000437,0.000151,0.000648,0.430905
38,0.025098,0.028518,-0.008153,0.015409,-0.003853,-0.006018,-0.008151,0.080846,-0.138941,0.328416,0.088889,0.043662,-0.029153,-2e-06,-2.5e-05,-2.3e-05,-0.000302,7.3e-05,0.000436,0.431558
39,0.025519,0.028473,-0.008497,0.015048,0.000538,-0.011715,0.042843,0.059213,-0.125422,0.327926,0.088889,0.043658,-0.029156,2e-06,-3e-06,-4e-06,-0.00032,0.00011,0.000421,0.430742
40,0.025847,0.028454,-0.00889,0.007164,0.000918,-0.010787,-0.053283,-0.079627,-0.076807,0.327436,0.088895,0.043657,-0.02915,2e-06,-6e-06,-6e-06,-0.000201,7.2e-05,0.000313,0.429762
41,0.025998,0.028473,-0.009109,0.007159,0.000837,-0.010911,0.036308,0.001091,-0.002709,0.32564,0.088895,0.043653,-0.029147,3e-06,-4e-06,-7e-06,-0.000168,5.5e-05,0.000262,0.429109
42,0.02624,0.028533,-0.009487,0.007036,0.007429,-0.013643,0.072897,-0.024815,0.035861,0.316986,0.088895,0.043649,-0.029143,4e-06,-2e-06,-5e-06,-0.000101,4e-05,0.000159,0.428782
43,0.026419,0.028648,-0.009831,-0.000544,0.002914,-0.007673,0.009246,-0.021131,-0.002492,0.306862,0.08889,0.043652,-0.029128,5e-06,7.8e-05,6.2e-05,0.005639,-0.091698,0.176597,0.427312
44,0.026556,0.028792,-0.01017,0.007376,0.002637,-0.008536,0.015403,0.019358,0.044934,0.298861,0.088896,0.043661,-0.029114,1.1e-05,0.000216,0.000176,-0.000112,2.7e-05,0.000146,0.42568
45,0.02661,0.028879,-0.010345,0.00742,0.003026,-0.008015,-0.046264,0.03473,0.037088,0.293145,0.088897,0.043664,-0.029105,0.000114,-0.005055,0.004645,-0.035803,0.011344,-0.01907,0.424863
46,0.026688,0.029082,-0.010695,0.007455,0.003322,-0.007618,-0.696945,-0.015693,0.137621,0.283838,0.088897,0.04366,-0.029088,3.5e-05,0.000686,0.000564,0.000781,-0.013277,0.025663,0.422087
47,0.026753,0.029291,-0.011046,-0.000516,0.00317,-0.007351,-0.433459,0.459806,0.267721,0.275184,0.088898,0.043654,-0.029073,2e-06,5.7e-05,4.7e-05,-0.000231,8.4e-05,0.000185,0.418985
48,0.026789,0.029384,-0.011221,-0.000526,0.003079,-0.007475,0.021866,0.031016,0.015085,0.269958,0.088898,0.043647,-0.029066,3.4e-05,0.000665,0.000548,0.000705,-0.013235,0.025739,0.418168
49,0.026872,0.029551,-0.011578,-0.000584,0.002585,-0.008164,0.028834,0.022957,0.009614,0.257875,0.088903,0.043645,-0.029061,2e-06,-1e-05,-8e-06,-6.8e-05,4.8e-05,0.000138,0.417678
50,0.026974,0.02964,-0.011903,-0.000322,-0.002933,-0.004038,-1.144044,-0.634546,-1.013973,0.24824,0.088909,0.043649,-0.029058,3e-06,-1e-05,-8e-06,-0.000162,7.3e-05,0.000219,0.417352
51,0.027101,0.029619,-0.012134,-0.00027,-0.002486,-0.003417,0.001512,0.01278,-0.026294,0.235994,0.088914,0.043652,-0.029056,2e-06,-1e-05,-8e-06,-7.7e-05,4.3e-05,0.000136,0.417188
52,0.027161,0.029575,-0.0122,-0.000233,-0.002148,-0.002958,-0.090764,-0.053394,-0.125469,0.226033,0.088919,0.043652,-0.029056,4e-06,-7e-06,-6e-06,-6.5e-05,4.4e-05,0.000141,0.417352
