frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
508,0.02422,0.029781,-0.009564,-5e-06,-2.8e-05,-4e-05,-1.2e-05,8e-06,-6e-06,-0.11851,0.081379,0.063308,-0.122996,0.000198,-0.004808,0.006982,-0.139478,-0.403384,-0.446092,-0.968005
509,0.024231,0.029775,-0.009573,-8.1e-05,-0.000597,-0.000809,-1.6e-05,-8e-06,1e-05,-0.118674,0.081149,0.063107,-0.122635,-0.007535,-0.009942,0.012747,-0.070436,0.032717,-0.034995,-0.965393
510,0.024235,0.02977,-0.009589,-5.7e-05,-0.000419,-0.000568,-4e-06,-5e-06,-1e-06,-0.118837,0.080992,0.062921,-0.122365,-0.007401,-0.009265,0.014603,1.320617,2.087292,-1.352648,-0.96572
511,0.024241,0.029735,-0.009655,-0.000258,-0.001895,-0.002571,-0.197789,0.244859,0.104675,-0.123899,0.080564,0.062378,-0.121612,-0.007318,-0.020379,0.024174,0.290115,0.678413,-0.557325,-0.965883
512,0.024276,0.02968,-0.009802,-0.000274,-0.002023,-0.002749,-0.293508,0.357869,0.208496,-0.139901,0.080032,0.061583,-0.12051,-0.014822,-0.017823,0.030338,0.309867,0.679564,-0.271527,-0.968495
513,0.024332,0.029757,-0.010006,-0.00039,0.004261,-0.005868,-0.665252,0.866292,0.48061,-0.167007,0.079434,0.060626,-0.119063,-0.022479,-0.027733,0.042189,-0.091879,0.584495,0.484262,-0.976333
514,0.024356,0.029856,-0.01011,-0.000294,0.00497,-0.004903,-0.583269,0.759597,0.763762,-0.179091,0.07911,0.060094,-0.118205,-0.02239,-0.0328,0.047832,0.142966,0.763118,-0.563758,-0.982375
515,0.024276,0.03017,-0.010291,-0.000206,0.012572,-0.006239,0.072043,3.166983,-0.364197,-0.20832,0.078417,0.058963,-0.116245,-0.021983,-0.029863,0.05414,-0.122165,0.726167,0.377941,-1.003929
516,0.024024,0.030701,-0.010457,-3.8e-05,0.014058,-0.004192,-1.26405,1.480077,1.686858,-0.226282,0.077683,0.057778,-0.114014,-0.021629,-0.027324,0.058999,-0.034062,0.900968,0.486601,-1.020912
517,0.023846,0.031005,-0.010534,-0.007879,0.01437,-0.003415,-0.579451,2.843565,-0.435051,-0.225792,0.077298,0.057147,-0.112768,-0.021623,-0.032634,0.063435,-0.135369,0.721792,0.402631,-1.026953
518,0.02344,0.031554,-0.010704,-0.016093,0.012255,-0.005888,-1.093994,1.117304,1.366271,-0.203584,0.076607,0.055946,-0.110259,-0.021296,-0.030526,0.066763,0.686418,2.376735,-1.908323,-1.038057
519,0.022991,0.03182,-0.010952,-0.008534,0.002574,-0.007767,-0.417174,0.56622,0.189692,-0.200319,0.075981,0.054746,-0.107665,-0.021138,-0.02892,0.06861,0.109792,1.296784,-0.544344,-1.043609
520,0.02275,0.031701,-0.011155,-0.000633,-0.004383,-0.005947,-0.472266,0.060197,0.805481,-0.190031,0.075425,0.053505,-0.104957,-0.013171,-0.0284,0.068503,0.630626,2.549688,-1.778825,-1.042466
521,0.022748,0.031577,-0.01121,-0.000409,-0.002828,-0.00385,-0.063882,-0.494703,0.95815,-0.166354,0.075177,0.052889,-0.103593,-0.013159,-0.027887,0.068709,-0.057655,0.985398,0.394469,-1.036751
522,0.022875,0.03131,-0.011167,0.007969,-0.006667,0.002227,-0.078146,-0.121399,0.564857,-0.097609,0.074725,0.051626,-0.100817,-0.013157,-0.027406,0.068106,-0.103945,0.901083,0.030692,-1.037894
523,0.022989,0.030894,-0.01096,0.008337,-0.018011,0.010121,-0.075116,-0.047993,0.106437,-0.014494,0.074334,0.050384,-0.098124,-0.005409,-0.027984,0.06597,-0.183732,0.697238,-0.162307,-1.034301
524,0.023054,0.030617,-0.010814,0.000407,-0.017905,0.01063,-0.099927,-0.065395,0.113698,0.008857,0.074155,0.049758,-0.096801,-0.005656,-0.034403,0.067979,-0.196653,0.745232,-0.152741,-1.027606
525,0.023302,0.029975,-0.0105,0.008388,-0.01784,0.010339,-0.109457,0.017923,-0.022069,0.061436,0.073844,0.048527,-0.094268,-0.013614,-0.034139,0.066962,-0.125516,0.748884,0.065036,-1.028913
526,0.023713,0.029311,-0.01005,0.008667,-0.015925,0.012962,-0.00848,-1.686781,2.16274,0.138346,0.073545,0.047238,-0.091762,-0.005809,-0.029249,0.060893,0.009955,0.967042,0.269959,-1.026627
527,0.024181,0.028688,-0.00951,0.016987,-0.020806,0.017548,0.549585,-1.267874,0.477008,0.233708,0.073278,0.045966,-0.089322,-0.006026,-0.03014,0.058464,0.023203,0.98942,0.237274,-1.016829
528,0.02445,0.028351,-0.009212,0.017139,-0.02094,0.017359,3.617398,2.909686,2.612129,0.265059,0.073158,0.045374,-0.088215,-0.00612,-0.030515,0.057464,0.059706,0.84329,0.371361,-1.012094
529,0.025055,0.027526,-0.008518,0.017141,-0.02721,0.020422,0.943268,-0.684217,0.278212,0.290043,0.072947,0.044188,-0.086001,-0.006228,-0.030863,0.056227,-0.023688,0.819501,0.049055,-1.010787
530,0.025566,0.026423,-0.007886,0.008579,-0.03189,0.014405,0.569659,-0.793288,0.025793,0.243668,0.072789,0.043149,-0.083854,-0.00598,-0.024179,0.053327,0.005261,0.700758,0.243324,-1.01438
531,0.025718,0.025774,-0.007642,0.000459,-0.040125,0.015216,0.727851,-0.822559,-0.307881,0.190436,0.072759,0.04272,-0.082894,0.001913,-0.019303,0.048093,-0.00137,0.536275,0.169688,-1.016666
532,0.025857,0.02412,-0.007342,-0.000894,-0.043344,-0.001237,0.666691,-0.704678,-0.564642,0.062743,0.072777,0.04191,-0.081005,0.001855,-0.019466,0.047316,0.05155,0.646741,0.285585,-1.013727
533,0.025724,0.022125,-0.007476,-0.009886,-0.049453,-0.00999,0.514907,-0.279748,-0.873013,0.032207,0.072879,0.041226,-0.079235,0.009851,-0.013878,0.043053,-0.088563,0.292798,0.029231,-1.021238
534,0.025448,0.020368,-0.008056,-0.002366,-0.038942,-0.020224,0.08479,-0.043229,-0.401821,0.027308,0.073006,0.040639,-0.07753,0.001861,-0.014063,0.042013,0.156529,0.681243,0.289904,-1.01536
535,0.025223,0.019691,-0.008535,-0.01103,-0.034497,-0.025915,0.184784,0.713523,-1.12285,0.027961,0.073071,0.040348,-0.076709,0.00962,-0.014907,0.040793,0.078808,0.532727,0.219224,-1.016013
536,0.024669,0.018477,-0.009781,-0.020139,-0.031402,-0.034207,0.989245,1.874068,-2.958564,0.027798,0.073179,0.039788,-0.07515,0.001603,-0.01537,0.039457,0.081633,0.55237,0.152677,-1.015197
537,0.024121,0.017406,-0.01138,-0.012426,-0.027076,-0.04185,0.225651,0.878857,-0.966801,0.024369,0.073254,0.039269,-0.073674,0.001585,-0.010357,0.034212,-0.086616,0.223571,-0.04874,-1.014053
538,0.023934,0.016944,-0.012226,-0.004196,-0.020484,-0.045261,1.062548,1.399297,-0.158051,0.02192,0.073276,0.039045,-0.073023,0.001368,-0.016652,0.037114,-0.151208,0.100424,0.081093,-1.012747
539,0.023762,0.016294,-0.013909,-0.003809,-0.010592,-0.043335,0.612238,0.998299,1.081066,0.01947,0.073311,0.038661,-0.071762,0.001342,-0.011718,0.031852,0.109851,0.557132,0.365211,-1.010461
540,0.023746,0.016022,-0.015506,0.005091,-0.000586,-0.041105,-0.462893,1.005377,-0.178656,0.018817,0.073373,0.038405,-0.070744,0.001186,-0.002066,0.021254,-4.431105,3.144239,1.824965,-1.008338
541,0.023972,0.016127,-0.016986,0.014101,0.009651,-0.038077,-0.54943,0.985544,0.404514,0.017674,0.073422,0.03816,-0.069932,0.000788,-0.005038,0.016943,0.248535,0.672283,0.227667,-1.008012
542,0.024161,0.016342,-0.01769,0.01448,0.011969,-0.03429,-0.520931,0.957117,0.39308,0.018327,0.07344,0.038033,-0.069625,0.000449,-0.007128,0.013925,0.246474,0.764822,0.261896,-1.007359
543,0.024641,0.017125,-0.019055,0.014958,0.022082,-0.030699,-0.438117,0.152591,1.059923,0.018817,0.073449,0.037767,-0.06921,7.5e-05,-0.004449,0.005687,-0.040861,0.397615,-0.313283,-1.007685
544,0.025292,0.01833,-0.020269,0.015411,0.032543,-0.026426,-0.763862,0.672369,1.425677,0.02094,0.073446,0.037449,-0.069032,-0.000347,-0.007067,0.001956,0.067722,0.206019,0.119776,-1.01291
545,0.025666,0.019087,-0.020833,0.015402,0.040058,-0.027184,-0.748472,0.697033,1.51182,0.022573,0.07343,0.037276,-0.068999,-0.008291,-0.007419,0.001228,0.208466,0.493114,0.267635,-1.019115
546,0.026497,0.020622,-0.021743,0.024064,0.043058,-0.02272,-0.594688,0.854826,1.185448,0.023063,0.073407,0.036912,-0.068986,-0.000615,-0.008727,-0.000425,0.308854,0.667638,0.138438,-1.029403
547,0.027588,0.02224,-0.022462,0.03285,0.040788,-0.013856,-0.513767,0.500803,0.912974,0.023716,0.073371,0.036505,-0.068944,-0.000527,-0.008187,0.000339,-0.023448,0.054327,0.018285,-1.032668
548,0.028942,0.023921,-0.022862,0.032926,0.044502,-0.008054,-1.537147,-0.583173,0.646064,0.03384,0.073337,0.036055,-0.06882,-0.000519,-0.013122,0.005341,-0.087735,0.094035,-0.073631,-1.033975
549,0.029631,0.024705,-0.022945,0.033198,0.040552,-0.001529,-1.394444,-0.857244,0.498954,0.042494,0.073322,0.035806,-0.068706,-0.000547,-0.018289,0.010022,0.25096,0.566583,0.276928,-1.030709
550,0.030988,0.026228,-0.022896,0.033237,0.036554,0.004619,-0.449102,0.083562,1.203518,0.077765,0.073308,0.035264,-0.068368,-0.000335,-0.016982,0.011907,-0.058396,0.132006,0.013655,-1.034465
551,0.032288,0.027566,-0.022565,0.033354,0.033131,0.01158,-0.822705,-1.984296,1.152696,0.132141,0.073294,0.034687,-0.067918,-3.1e-05,-0.010109,0.009684,0.29263,0.539006,0.318526,-1.035281
552,0.032865,0.028209,-0.022303,0.025099,0.034259,0.013752,-0.007836,-0.293085,0.911672,0.160064,0.073269,0.034421,-0.067665,-2.8e-05,-0.015076,0.014652,-0.11704,0.053959,-0.039437,-1.034138
553,0.033919,0.029362,-0.02161,0.025212,0.029878,0.019056,-1.314255,-1.210259,0.382508,0.21101,0.073224,0.034029,-0.06715,0.000303,-0.00805,0.012633,-0.072724,0.042271,0.013857,-1.033322
554,0.034761,0.030361,-0.020751,0.025195,0.023525,0.021354,-0.793318,-2.453848,2.574752,0.24873,0.073204,0.033769,-0.066644,0.000453,-0.007133,0.013927,0.181455,0.462222,0.28395,-1.035608
555,0.035091,0.030754,-0.020301,0.009245,0.016612,0.024547,-0.523898,-2.596645,2.334817,0.258365,0.073203,0.033688,-0.066399,0.000499,-0.006846,0.014319,0.164762,0.36519,0.202248,-1.036424
556,0.035652,0.031426,-0.019401,0.009009,0.014849,0.021447,-0.17679,-0.508436,-0.059273,0.263916,0.073226,0.033604,-0.065978,0.000585,-0.001337,0.010105,-0.045612,-0.013925,0.000713,-1.028423
557,0.036047,0.031951,-0.018656,0.008989,0.012374,0.017615,-2.116467,-4.675381,-2.006674,0.260977,0.073253,0.033578,-0.065637,0.000598,0.00373,0.005272,-0.008806,-0.026919,0.019367,-1.025974
558,0.036284,0.032415,-0.018006,0.008644,0.011153,0.015483,-0.005419,0.044368,-0.070678,0.260324,0.073266,0.033584,-0.065351,0.000425,-0.002318,0.008676,-0.047275,-0.012449,0.002056,-1.019442
559,0.036385,0.032651,-0.017718,0.000646,0.010733,0.01552,0.004636,-0.045272,0.070789,0.259671,0.073274,0.033587,-0.06523,0.000477,0.002978,0.004187,0.003472,-0.12751,0.19122,-1.020748
560,0.036495,0.033107,-0.017187,0.000591,0.010009,0.014321,0.004959,-0.045904,0.072795,0.255752,0.073289,0.033585,-0.065009,0.000405,0.002535,0.003553,0.001674,-0.016724,0.024261,-1.02777
561,0.036571,0.033623,-0.016702,0.0006,0.010325,0.014617,-0.017203,0.046617,-0.068243,0.241872,0.073297,0.033582,-0.064791,0.000451,0.002813,0.003935,-0.001737,-0.01916,0.022466,-1.031036
562,0.036595,0.033881,-0.016492,0.000546,0.009492,0.013376,-0.014211,0.061147,-0.125953,0.23632,0.073311,0.033575,-0.064675,0.000345,-0.002818,0.007939,-0.034579,-0.001456,0.006276,-1.029076
563,0.036596,0.034421,-0.016143,7.8e-05,0.013469,0.006951,0.026236,0.065315,-0.104987,0.230932,0.073338,0.033555,-0.064427,0.00037,-0.002645,0.008169,-0.03811,-0.004723,0.004822,-1.029076
564,0.03658,0.034947,-0.015889,3.2e-05,0.012699,0.005798,0.027612,0.064011,-0.10321,0.228482,0.073366,0.033527,-0.064155,0.000383,-0.002562,0.008271,-0.033971,0.019962,0.025333,-1.029566
565,0.036555,0.035441,-0.015708,-6e-05,0.01109,0.003522,0.025958,0.07895,-0.126744,0.225706,0.073404,0.033463,-0.06388,0.000309,-0.003018,0.007627,0.261599,0.43921,0.262859,-1.029893
566,0.036554,0.035653,-0.015646,-0.000118,0.010111,0.002157,0.026029,0.078743,-0.126185,0.2244,0.073422,0.033422,-0.063741,0.000324,-0.002912,0.00777,-0.049042,-0.016233,0.003308,-1.029729
567,0.036537,0.035984,-0.015595,-0.000226,0.008157,-0.00054,0.038182,-0.026781,0.042007,0.219991,0.073471,0.033341,-0.063464,0.008199,-0.003206,0.007555,-0.039351,-0.010977,0.049332,-1.027933
568,0.036561,0.036176,-0.015607,-0.000304,0.006791,-0.002414,0.036429,-0.011524,0.017665,0.210684,0.073502,0.033265,-0.06318,0.000341,-0.002807,0.007894,0.341077,0.526617,0.317575,-1.014543
569,0.036588,0.036254,-0.015618,5e-05,0.000878,0.001198,-0.012163,0.105864,-0.167887,0.205458,0.073521,0.033223,-0.063043,0.000302,-0.003034,0.007579,-0.054783,0.096039,-0.169844,-1.01291
570,0.036666,0.036397,-0.01564,4.6e-05,0.000809,0.001099,-1.5e-05,3.6e-05,7e-06,0.20056,0.073527,0.033144,-0.062773,-0.007488,-0.002227,0.008477,-0.03501,0.012729,-0.023034,-1.019279
571,0.036763,0.036507,-0.01564,6.3e-05,0.001137,0.001549,-1e-06,8e-06,3.2e-05,0.19958,0.073513,0.033105,-0.062503,0.000338,-0.002825,0.007843,0.283283,0.342851,0.427615,-1.025647
572,0.036891,0.036589,-0.015635,0.007469,0.006269,-0.00384,0.026265,0.079281,-0.120898,0.198437,0.073478,0.033093,-0.062222,0.000448,-0.002114,0.008798,-0.036763,-0.003333,0.005512,-1.029076
573,0.036956,0.036605,-0.015629,2.7e-05,0.000481,0.000652,-2.2e-05,5e-06,3.1e-05,0.19811,0.073465,0.033111,-0.062076,0.000599,0.003817,0.005183,-0.011512,-0.02387,0.027877,-1.029729
574,0.037115,0.036645,-0.015614,1.5e-05,0.000288,0.000388,-5e-06,-4e-06,2e-05,0.194844,0.073458,0.033128,-0.061757,-0.007136,0.004873,0.006398,-0.011034,-0.017587,0.023603,-1.032668
575,0.037278,0.036674,-0.015625,0.007814,0.000176,-0.000487,0.002032,-0.015204,0.029271,0.189456,0.07348,0.033132,-0.061428,0.000552,-0.001425,0.009681,0.033553,0.123113,0.084269,-1.032832
