frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
142,0.035479,0.033973,-0.022419,-1e-06,-1.9e-05,-1.8e-05,0.000161,0.000142,5.1e-05,-0.93186,0.063935,0.031894,-0.066447,-0.000244,-0.001206,-0.001256,8.4e-05,0.000392,-0.00068,-0.070561
143,0.03549,0.033977,-0.022424,-2e-06,-6e-06,-9e-06,0.000124,0.000112,8.2e-05,-0.931044,0.063959,0.03184,-0.066488,-0.000204,-0.001016,-0.001056,0.001025,-5.5e-05,-5.9e-05,-0.126569
144,0.03554,0.033969,-0.02242,0.007344,0.000112,-0.000463,0.002146,-0.015122,0.0293,-0.929574,0.063993,0.03179,-0.066539,0.007068,-0.00178,-0.001661,0.000787,-0.014894,0.029892,-0.18862
145,0.035584,0.033964,-0.022429,0.007334,-0.000115,-0.000698,0.002122,-0.015136,0.02924,-0.924512,0.063996,0.031786,-0.066565,-0.000115,-0.000574,-0.000598,-0.000373,-0.001442,0.002393,-0.216869
146,0.035671,0.033963,-0.022445,0.007349,0.000132,-0.000441,0.002112,-0.01516,0.029292,-0.891201,0.064019,0.031821,-0.066595,1.3e-05,5.9e-05,6.2e-05,0.002358,-0.005894,0.009357,-0.249037
147,0.035733,0.034025,-0.022422,0.000103,0.002127,0.002213,-0.010238,0.086396,-0.146098,-0.810372,0.064115,0.031795,-0.066612,-5.1e-05,-0.000257,-0.000272,-0.001986,-0.005911,0.010009,-0.286757
148,0.035811,0.034252,-0.022341,0.007584,0.005241,0.004866,0.001478,-0.027247,0.04885,-0.634018,0.064259,0.031795,-0.066623,0.007407,-9.2e-05,8.8e-05,0.000261,-0.015405,0.030905,-0.338847
149,0.035862,0.034436,-0.022273,0.007273,0.011817,0.001803,0.065679,-0.199497,0.324328,-0.570825,0.064322,0.031814,-0.066623,0.007388,-0.000185,-8e-06,0.000248,-0.01587,0.031632,-0.370199
150,0.035853,0.0347,-0.022169,-0.000261,0.007403,-0.002194,0.047324,-0.12249,0.207625,-0.47481,0.06443,0.031765,-0.066598,0.00692,-0.006971,0.00282,0.293798,1.403517,-2.33739,-0.470786
151,0.03569,0.034702,-0.022221,-0.007448,-0.00276,-0.002262,-0.151602,0.209361,0.099452,-0.331768,0.064547,0.031775,-0.0666,0.007811,0.006332,-0.003115,0.03258,0.073686,-0.124148,-0.565494
152,0.035563,0.03467,-0.022311,-0.007871,0.001288,-0.007929,-0.057779,-0.097508,-0.067766,-0.182846,0.064658,0.031882,-0.066605,0.008186,0.008158,-0.001211,0.360116,1.456742,-2.439558,-0.610563
153,0.035234,0.034555,-0.022576,-0.007675,-0.006894,-0.006567,-0.105562,-0.062496,-0.104393,0.122507,0.06499,0.032201,-0.066504,0.008458,0.005367,0.005725,0.018943,0.257383,0.008013,-0.731234
154,0.034839,0.034322,-0.022931,-0.008149,-0.003311,-0.012778,-0.069648,-0.07311,-0.083733,0.272081,0.065412,0.032413,-0.066298,0.008517,0.005837,0.006166,0.01741,0.240491,0.001336,-0.831168
155,0.034456,0.034011,-0.023349,-0.007956,-0.010751,-0.010747,-1.143168,-1.135326,-0.422053,0.295431,0.065955,0.032731,-0.066087,0.016318,0.013036,0.003833,-5.307882,1.681818,0.184567,-0.905139
156,0.034237,0.03383,-0.023591,-0.015391,-0.011562,-0.011068,-0.007678,0.07691,-0.127056,0.299677,0.066224,0.032929,-0.065947,0.016323,0.008505,0.008953,-0.399966,1.153489,0.15026,-0.928653
157,0.033681,0.033366,-0.024089,-0.015623,-0.013842,-0.013671,-1.152893,-1.113917,-0.451309,0.298861,0.066791,0.033263,-0.065627,0.015977,0.007034,0.007365,0.106073,1.10924,0.136464,-0.984008
158,0.032888,0.032731,-0.024669,-0.023337,-0.016268,-0.015918,0.081713,-0.13156,-0.09515,0.267835,0.067449,0.033578,-0.065409,0.022935,0.00539,0.005749,0.143948,1.411357,-0.130127,-1.004909
159,0.032438,0.03241,-0.024978,-0.023517,-0.017466,-0.017353,0.208342,-0.26757,-0.225082,0.246771,0.06783,0.033728,-0.065348,0.015642,0.01018,0.000735,0.223106,1.270323,-0.011122,-1.0134
160,0.031414,0.03174,-0.025689,-0.023801,-0.018312,-0.018599,0.060545,-0.151879,-0.133879,0.205948,0.068714,0.033959,-0.065308,0.02231,0.002443,0.00269,0.217543,1.378416,-0.172798,-1.004419
161,0.030237,0.031085,-0.026509,-0.03167,-0.019733,-0.020063,0.37363,-0.510015,-0.418988,0.138019,0.069559,0.034085,-0.065275,0.021943,0.000503,0.000709,0.158312,1.591457,0.1728,-1.01438
