frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
392,0.042618,0.025107,-0.007968,0.006488,0.007299,-0.012723,-0.475286,0.53019,0.125309,-0.404595,0.075319,0.015913,-0.054345,-0.000124,-0.000994,-0.001027,0.026769,0.112137,0.053686,-0.959678
393,0.042618,0.025211,-0.008228,-0.000909,0.005035,-0.014254,-0.623531,0.461565,-0.540006,-0.256327,0.07529,0.015846,-0.054295,-5.2e-05,-0.005443,0.004311,0.150891,0.64578,0.494806,-1.037731
394,0.042461,0.025364,-0.008794,-0.008295,0.003697,-0.014919,-1.489548,0.153494,-1.310442,-0.008452,0.075332,0.015767,-0.054093,0.000507,0.003942,0.004054,0.204251,0.814469,0.412189,-1.008665
395,0.042072,0.025462,-0.009386,-0.008327,0.002463,-0.016139,-0.183737,-0.082657,-0.185581,0.079561,0.075447,0.01595,-0.053906,0.000784,0.011105,0.001484,0.313781,0.911839,0.953838,-1.012257
396,0.041626,0.025576,-0.00996,-0.008324,0.004137,-0.014532,-0.691776,-0.490303,-1.450216,0.106014,0.075553,0.016256,-0.053793,0.008012,0.008164,-0.001552,0.239534,1.065426,1.333432,-1.007848
397,0.041387,0.025648,-0.01023,-0.015719,0.004335,-0.013721,-0.70634,-0.480975,-1.502521,0.119078,0.075638,0.016409,-0.053851,0.007714,0.006298,-0.003488,-4.357098,0.81702,4.357759,-0.997725
398,0.040901,0.025846,-0.01077,-0.008376,0.005048,-0.013624,-2.425215,-1.91263,-4.433397,0.156798,0.075749,0.016754,-0.054233,-0.000215,0.008061,-0.011509,-3.364494,0.893523,4.8089,-0.991519
399,0.040397,0.026085,-0.011393,-0.015755,0.003325,-0.014783,-0.129625,-0.204329,-0.320273,0.15941,0.075596,0.01725,-0.054785,-0.007591,0.019938,-0.01912,0.447511,2.173295,0.200419,-0.951513
400,0.040133,0.026168,-0.011696,-0.015855,0.003053,-0.015007,-2.261921,-1.801982,-4.581369,0.158431,0.075578,0.017622,-0.055145,6.6e-05,0.025341,-0.023476,-2.993812,0.650846,4.226564,-0.923917
401,0.03959,0.026349,-0.012236,-0.015791,0.006826,-0.011315,-2.463758,-1.894992,-5.183033,0.197457,0.075625,0.018705,-0.056074,0.000372,0.02794,-0.020788,0.2886,0.766834,-0.487266,-0.945308
402,0.039144,0.026831,-0.012705,-0.008535,0.016336,-0.012249,-0.107926,-0.151062,-0.395847,0.222277,0.075565,0.019887,-0.056909,0.00039,0.027922,-0.020823,-2.700231,-0.482818,4.530696,-0.973067
403,0.038769,0.027452,-0.013144,-0.008608,0.016642,-0.011934,-2.288387,-1.935127,-4.617518,0.256895,0.07551,0.020735,-0.057611,7.9e-05,0.015428,-0.013814,-0.605675,0.131757,1.697484,-0.961964
404,0.038592,0.027773,-0.01338,-0.008507,0.016022,-0.012555,0.027943,-0.053164,-0.085821,0.279266,0.075439,0.021074,-0.057899,-0.007333,0.016279,-0.012933,-0.666162,-0.081042,1.587304,-0.966536
405,0.038211,0.028321,-0.013788,-0.008102,0.0109,-0.00795,0.456314,-0.677969,-0.149326,0.334295,0.075176,0.021729,-0.058413,-0.007305,0.016366,-0.012829,0.215138,0.633278,0.278413,-0.991193
406,0.037797,0.028638,-0.014024,-0.015094,0.004993,-0.003534,-0.175301,-0.129935,-0.462838,0.385078,0.074964,0.022105,-0.058753,-0.00754,0.004708,-0.005118,-2.307825,-0.450495,5.100544,-1.018952
407,0.037573,0.02876,-0.01411,-0.007698,0.005753,-0.003372,0.087588,-0.157617,0.117166,0.411531,0.074908,0.022197,-0.058851,-1e-06,0.004798,-0.004947,-0.421818,0.586638,1.821196,-0.997398
