frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
35,0.020851,0.032936,-0.025083,0.00558,-0.049693,0.04475,-4.623971,-0.304539,-3.623537,0.332662,0.079995,0.048827,-0.059487,-0.064599,-0.030399,0.003653,-0.248221,0.075421,-0.052521,-0.178169
36,0.021019,0.031957,-0.024162,0.012343,-0.047554,0.046167,-0.356602,0.053852,-0.106246,0.35144,0.078685,0.048185,-0.059352,-0.064205,-0.027565,0.005283,-1.564554,0.239848,0.73486,-0.167065
37,0.021445,0.030249,-0.022437,0.012264,-0.045942,0.047873,0.044502,0.638843,-0.637541,0.364013,0.076446,0.047109,-0.059094,-0.05158,-0.026425,0.005767,-0.224003,-0.576523,1.021408,-0.149756
38,0.021944,0.028865,-0.020718,0.010734,-0.030342,0.044091,-1.598951,-0.137026,-1.055079,0.391283,0.074594,0.046188,-0.058864,-0.044075,-0.018776,0.002878,-0.515981,-0.085007,0.432412,-0.131468
39,0.022109,0.028308,-0.019862,0.003116,-0.023876,0.041585,-4.730742,-0.041047,-3.439854,0.409408,0.073814,0.045752,-0.058779,-0.037719,-0.018981,0.002707,-0.066947,-0.137269,0.231843,-0.113833
40,0.022208,0.027297,-0.018178,-0.003708,-0.025111,0.04129,-0.273141,0.11722,-0.237434,0.427534,0.072704,0.044975,-0.058696,-0.024693,-0.019187,0.002575,-0.064666,-0.195883,0.341724,-0.086726
41,0.022051,0.02656,-0.016826,-0.004793,-0.015893,0.031496,-0.196774,0.114362,-0.215896,0.431453,0.072061,0.044357,-0.058712,-0.016802,-0.012279,-0.000619,-0.031995,-0.024095,0.045879,-0.089502
42,0.021787,0.025903,-0.015704,-0.004507,-0.019607,0.028202,-1.555152,0.05324,-1.216789,0.431779,0.071706,0.043917,-0.058778,-0.009399,-0.010444,0.000675,-1.01843,1.629033,-2.104052,-0.095707
43,0.021675,0.025548,-0.015201,-0.004439,-0.020589,0.027362,-0.070451,-0.132088,-0.41267,0.431289,0.071617,0.043755,-0.058806,-0.00182,-0.004782,-0.003273,-0.012447,0.284592,0.085014,-0.09685
44,0.021418,0.024885,-0.014266,-0.011918,-0.016026,0.02314,-0.011304,-0.249298,-0.30047,0.434882,0.071587,0.043559,-0.058827,-0.000339,-0.000888,-0.00061,0.028082,0.053182,0.029627,-0.090972
45,0.021237,0.024401,-0.013371,-0.00578,-0.007795,0.020651,-0.073152,-0.06563,-0.087381,0.436351,0.071693,0.043566,-0.058809,0.000948,0.002499,0.001711,0.176843,0.47414,0.334229,-0.080685
46,0.021244,0.02425,-0.01296,0.001077,-0.006693,0.020886,-0.11777,0.013127,0.03537,0.436351,0.07175,0.043608,-0.05878,0.007357,0.001561,0.001168,-0.347151,0.482619,-0.621301,-0.077419
47,0.021462,0.024126,-0.01232,0.00695,0.002207,0.010048,-0.034463,-0.015546,0.038732,0.439944,0.071843,0.043712,-0.05869,0.000395,-0.002426,0.006253,-0.033828,0.005036,-0.025773,-0.075296
48,0.021913,0.024313,-0.012069,0.013403,0.00563,0.003397,-0.053792,0.09113,0.16796,0.447292,0.071881,0.043755,-0.058559,0.00021,-0.002912,0.005917,-0.00241,0.074955,0.048658,-0.077909
49,0.022517,0.024575,-0.012068,0.013074,0.007188,-0.004129,-0.027947,0.116356,0.17495,0.452354,0.071896,0.043697,-0.058409,0.000593,0.001586,0.00108,-0.000972,-0.014705,-0.012192,-0.074806
50,0.022838,0.024683,-0.012136,0.020007,0.006904,-0.005081,-0.136731,0.340965,0.350984,0.453497,0.071895,0.043642,-0.058322,-0.000173,-0.003925,0.005228,-0.037608,0.000231,-0.029601,-0.075459
51,0.023532,0.024919,-0.012347,0.013206,0.005454,-0.005624,-0.136732,0.349076,0.317232,0.455456,0.071888,0.043504,-0.058144,-0.000431,-0.004605,0.004769,-0.038163,0.000393,-0.029075,-0.08542
52,0.024126,0.025169,-0.01261,0.013251,0.004928,-0.006083,0.019318,-0.095717,0.116817,0.457742,0.071875,0.043368,-0.057975,0.000478,0.001281,0.000873,-0.004715,-0.01863,-0.012926,-0.096034
53,0.024583,0.025386,-0.012853,0.006295,0.005329,-0.00502,0.052192,-0.03882,0.035088,0.46558,0.071863,0.043264,-0.057821,-0.000188,-0.003968,0.005205,-0.035393,0.015444,-0.017845,-0.101749
54,0.02475,0.025463,-0.012919,0.013063,0.006902,-0.004407,-1.307297,-0.088296,-1.094531,0.469009,0.07185,0.043225,-0.057741,-6.9e-05,-0.00365,0.005423,-0.034171,0.019948,-0.014788,-0.104525
55,0.024975,0.02555,-0.012909,0.006654,0.002802,0.001663,0.180241,-0.331268,-0.368191,0.469826,0.071827,0.043168,-0.057578,-0.0,-0.00347,0.005548,-0.033868,0.020691,-0.014353,-0.110403
56,0.025063,0.025494,-0.012661,0.000222,-0.000994,0.00798,-0.393382,-0.145644,-0.359812,0.467703,0.071801,0.043119,-0.057441,0.00056,0.001496,0.001015,4.2e-05,-0.014686,0.024876,-0.117425
57,0.025065,0.025405,-0.012445,0.000794,-0.00566,0.012828,-0.026872,-0.115052,-0.05742,0.466397,0.071778,0.043085,-0.057375,0.000444,0.00119,0.000808,-0.000134,-8e-06,7.2e-05,-0.119711
58,0.025038,0.025152,-0.011906,0.000696,-0.004693,0.013642,-0.026152,-0.12178,-0.061797,0.462641,0.071731,0.04301,-0.05726,-0.000422,-0.004586,0.004795,-0.033731,0.020704,-0.014454,-0.124446
59,0.024956,0.024887,-0.011293,0.001295,-0.009627,0.018259,-2.1e-05,-0.234109,-0.182883,0.460682,0.071715,0.042952,-0.057205,-2.3e-05,-4.8e-05,-2.9e-05,-5.4e-05,1.8e-05,4.5e-05,-0.13751
60,0.024897,0.024789,-0.011005,-0.006269,-0.004093,0.01484,-0.08235,0.025036,-0.005943,0.460355,0.071701,0.042935,-0.057199,-0.000135,-0.000349,-0.000233,-5.1e-05,2e-06,3.3e-05,-0.143061
