frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
417,0.044733,0.029666,-0.000131,-0.000222,0.000464,0.000459,-1.483272,-2.29275,-5.043137,-0.709785,0.079293,0.02571,-0.040845,0.006445,-0.001316,-0.000858,0.125662,0.307719,0.383129,-0.528917
418,0.044656,0.029687,-0.000107,-0.006958,-0.000219,0.000753,-2.151678,-3.754176,-6.640527,-0.60185,0.079728,0.0257,-0.040978,0.012893,-0.002575,-0.001684,-0.231167,0.438684,0.786565,-0.705108
419,0.04441,0.029714,-8e-05,-0.013291,-0.001397,0.000478,-2.580145,-4.45367,-4.471911,-0.344014,0.080336,0.025628,-0.04111,0.013011,-0.00202,-0.001369,-4.129107,0.333043,4.008442,-0.751809
420,0.044204,0.029711,-9e-05,-0.006674,-0.000947,6.3e-05,-1.338563,-2.228304,-5.343779,-0.235916,0.080676,0.025562,-0.041142,0.019588,-0.002999,-0.001994,0.028435,0.352658,0.606904,-0.751156
421,0.043617,0.029633,-0.000212,-0.019818,-0.000815,-0.006652,0.191646,-0.291432,0.073794,-0.085689,0.081361,0.025456,-0.04117,0.019889,-0.001844,-0.001283,-4.062284,0.619422,4.218114,-0.756708
422,0.042793,0.029551,-0.000507,-0.026855,0.001424,-0.012513,-1.381696,-2.865505,-0.439674,-0.014004,0.082094,0.025385,-0.041208,0.019925,-0.001768,-0.00124,-0.150916,1.015362,0.71776,-0.782018
423,0.041779,0.029614,-0.000994,-0.027671,0.006442,-0.017071,-0.257782,-0.727599,0.209749,0.010816,0.082815,0.025415,-0.041324,0.013478,-0.000468,-0.000397,-0.195155,1.566235,0.524194,-0.804062
424,0.041278,0.029717,-0.001304,-0.021119,0.00744,-0.017056,-0.274645,-0.709618,0.287005,0.016368,0.083122,0.025443,-0.041398,0.013517,0.003418,-0.005881,-0.827588,1.133567,1.247268,-0.806674
425,0.040317,0.029997,-0.00203,-0.027219,0.004248,-0.018703,-0.603996,-1.189608,-1.342888,0.032697,0.083697,0.025543,-0.04159,0.013645,0.003932,-0.005558,-0.760566,1.168584,1.09364,-0.798673
426,0.039331,0.030301,-0.002976,-0.027023,0.004273,-0.026952,0.128884,0.071458,-0.077806,0.038739,0.084216,0.025708,-0.041846,0.013529,0.007349,-0.011327,0.213201,1.062336,-0.16025,-0.805858
