frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
371,0.040383,0.034742,-0.02059,0.001218,-0.004321,-0.002909,-0.001095,0.011059,-0.026362,-0.980521,0.066551,0.037205,-0.046729,0.008149,0.002395,0.001643,5.08018,1.508933,-1.716523,0.322643
372,0.04038,0.034716,-0.020788,-0.000224,0.002417,-0.006495,0.033817,0.010425,-0.003205,-0.981174,0.066725,0.037451,-0.046658,0.002644,0.006595,0.004323,0.001521,-0.012822,0.031029,0.17013
373,0.040374,0.034732,-0.020856,0.000362,-0.001266,-0.000853,5.2e-05,-8e-06,5.8e-05,-0.981827,0.066827,0.037586,-0.046606,0.002757,0.006887,0.004503,-0.01137,0.061925,-0.156792,0.023168
374,0.040355,0.03481,-0.020943,-0.000244,0.000881,0.000596,1.6e-05,2.1e-05,-2.1e-05,-0.98248,0.066981,0.037854,-0.046467,0.002781,0.006963,0.00453,0.003413,-0.023295,0.058499,-0.252629
375,0.040367,0.034865,-0.020933,-0.000155,0.000553,0.000372,2.4e-05,-2e-06,-0.0,-0.98297,0.067031,0.038144,-0.046316,0.002255,0.005669,0.003628,5.119186,1.463355,-1.574537,-0.397468
376,0.040395,0.03487,-0.020897,-0.000377,0.001339,0.000904,0.000324,-0.000134,0.000124,-0.982481,0.067046,0.038287,-0.046254,0.002197,0.005511,0.003558,1.449754,0.481028,-0.702617,-0.451354
377,0.040466,0.034864,-0.020768,0.000538,-0.00353,0.005742,0.123057,-0.354522,-0.179583,-0.985093,0.067138,0.038519,-0.046196,0.001714,0.004301,0.002764,1.449674,0.465164,-0.711367,-0.587538
378,0.040509,0.034804,-0.020629,-0.000195,0.000676,0.000453,0.040152,-0.089298,-0.03899,-0.986073,0.067228,0.038748,-0.046206,0.00133,0.003311,0.002118,-1.03874,1.054422,-2.289029,-0.801939
379,0.04052,0.034735,-0.020524,-0.000362,0.001273,0.00086,0.004871,-0.017653,0.02374,-0.977256,0.06734,0.038915,-0.046237,0.001143,0.006442,-0.003935,0.022391,-0.06263,0.006447,-1.059285
380,0.040542,0.034735,-0.020472,0.000311,-0.00273,0.006287,-0.032836,-0.020279,0.00051,-0.939045,0.067435,0.038953,-0.046267,0.006716,-0.00097,-0.000579,-0.00067,-0.005689,0.035203,-1.096352
381,0.040688,0.034841,-0.020334,0.005297,0.005627,0.003093,0.091232,-0.59212,-0.159425,-0.773632,0.067525,0.038998,-0.046316,0.000192,0.00048,0.000304,-0.000635,0.000136,0.000154,-1.075777
382,0.040668,0.034956,-0.020197,-0.007421,0.001887,0.001956,-0.013805,0.093332,-0.183043,-0.764324,0.067565,0.038964,-0.046368,0.005696,-0.003534,-0.002221,-1.552587,-0.35797,0.557636,-1.07643
383,0.040568,0.035003,-0.020182,-0.007144,0.00093,0.001315,-0.000737,0.006444,-0.002362,-0.804494,0.067622,0.038897,-0.046386,0.005984,-0.002818,-0.001763,-0.141268,-0.043049,0.069575,-1.003603
384,0.040301,0.035083,-0.020242,-0.007367,0.003348,-0.005167,0.034158,0.014856,-0.005839,-0.965825,0.067682,0.038813,-0.04627,0.000684,-0.001847,0.00687,-5.270831,-1.690283,2.6421,-0.817615
385,0.039935,0.035148,-0.020406,-0.00741,0.003539,-0.005039,-0.219522,0.530952,-0.062064,-0.940678,0.067715,0.038766,-0.045944,0.00094,-0.004752,0.013068,-0.078685,0.026484,-0.008028,-0.691881
386,0.039761,0.035193,-0.020504,-0.007282,0.003096,-0.005336,0.041652,-0.001734,-0.007777,-0.94868,0.067791,0.038719,-0.045799,0.007062,-0.003621,0.005776,-0.028745,-0.00593,0.038435,-0.642404
387,0.039364,0.035205,-0.020705,-0.006873,0.001625,-0.006316,0.033831,0.013813,-0.005233,-0.946393,0.068039,0.038641,-0.045744,0.006339,-0.001892,-0.001174,0.003436,-0.014064,0.028718,-0.508832
388,0.038942,0.035083,-0.020891,-0.011955,-0.006479,-0.002962,-0.00508,0.04171,-0.085037,-0.941821,0.068288,0.038613,-0.045852,0.006688,0.002577,-0.006377,0.027368,0.028374,-0.146161,-0.209031
389,0.038478,0.03475,-0.020992,-0.011518,-0.00822,-0.004137,0.06955,-0.132181,-0.160233,-0.942474,0.068495,0.038657,-0.045956,0.007151,0.003762,-0.005621,1.587898,0.357795,-0.467203,0.063338
390,0.03821,0.034525,-0.02102,-0.010748,-0.012707,0.000957,0.10977,-0.310272,-0.263477,-0.940678,0.068551,0.038726,-0.046021,0.000116,0.000278,0.00017,-1.031456,1.067594,-2.330335,0.168497
