frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
104,0.033786,0.027422,-0.009574,-0.000127,0.001815,-0.007237,-0.637836,0.264428,-1.516907,-0.660145,0.086429,0.049794,-0.042007,-0.00224,-0.006711,-0.002578,-0.003897,0.022022,-0.053018,0.467319
105,0.033764,0.027477,-0.00988,5.7e-05,0.00104,-0.00785,0.033997,0.008871,-0.003472,-0.660308,0.086394,0.049722,-0.04229,-0.001474,-0.000934,-0.00727,-1.320333,-0.137166,0.969603,0.466829
106,0.033774,0.02751,-0.010238,0.000305,-6e-05,-0.008708,0.04123,-0.006952,-0.008994,-0.661288,0.086357,0.049754,-0.042616,-0.000669,0.004936,-0.011907,0.068621,-0.024112,0.004879,0.455725
107,0.033782,0.027507,-0.010611,0.000447,-0.000686,-0.009204,0.057639,-0.066509,0.173743,-0.657859,0.086336,0.04989,-0.042909,-0.005514,0.005235,-0.004523,-0.370745,-0.040104,0.281663,0.437273
108,0.033795,0.027499,-0.010787,0.000481,-0.000845,-0.009338,-0.703755,-0.491335,0.411585,-0.660308,0.086338,0.049975,-0.043006,0.000473,0.004862,-0.005016,0.037783,-0.018727,0.018545,0.431068
109,0.033843,0.027416,-0.011082,0.001328,-0.005897,-0.004659,-2.397126,-1.175109,0.892879,-0.654756,0.08635,0.050142,-0.043121,0.000909,0.006164,-0.004507,0.038099,-0.027971,0.043521,0.425353
110,0.033891,0.027155,-0.011265,0.001581,-0.007005,-0.005485,-0.28631,0.428729,0.371724,-0.655083,0.08635,0.050194,-0.043121,7.4e-05,0.000214,8.4e-05,0.00128,1.4e-05,0.000387,0.429272
111,0.033929,0.026973,-0.011329,0.001661,-0.007367,-0.005787,-0.082876,0.087904,0.42198,-0.65198,0.086344,0.050171,-0.043093,-1.3e-05,-3.6e-05,-1.4e-05,0.000577,1e-06,-0.000294,0.434007
112,0.033994,0.026472,-0.011412,-0.00337,-0.019728,0.002647,-2.923892,-1.360504,-0.622619,-0.658675,0.086318,0.050091,-0.04301,-9.2e-05,-0.000268,-0.000104,0.000331,2.1e-05,-0.000277,0.440866
113,0.034063,0.025822,-0.011401,-0.00321,-0.02071,0.001927,-0.052928,-0.034624,0.026122,-0.658349,0.086318,0.050034,-0.042949,-0.000166,-0.003971,0.005365,-0.03446,0.017418,-0.016366,0.443968
114,0.034119,0.025453,-0.011378,0.003877,-0.019802,0.001749,-0.071812,-0.010347,0.09938,-0.663737,0.086319,0.05003,-0.042935,2.6e-05,8.2e-05,3.2e-05,-0.003687,-0.01579,-0.005369,0.444458
115,0.034316,0.024739,-0.011402,0.003423,-0.01648,-0.004467,-0.043863,-0.009915,0.093866,-0.670596,0.086315,0.050036,-0.042938,-0.005674,0.001302,0.000858,-0.000925,0.014016,-0.029976,0.446091
116,0.034509,0.024073,-0.011564,0.010485,-0.015156,-0.00438,-0.191242,0.279759,0.230827,-0.66586,0.086307,0.050039,-0.042936,-0.005447,0.001977,0.001121,-0.012755,0.085713,-0.215083,0.447397
117,0.034595,0.023802,-0.011715,0.009834,-0.010934,-0.009848,-0.136295,0.288122,0.050272,-0.668309,0.086304,0.050042,-0.042934,0.0,-1e-06,0.0,0.000335,0.0003,-0.000154,0.44805
118,0.034777,0.023341,-0.012096,0.009754,-0.01043,-0.009529,-0.254042,0.45469,0.341469,-0.670596,0.086276,0.050054,-0.042928,0.0,1e-06,2e-06,0.00036,0.000532,-6.2e-05,0.450173
119,0.03503,0.02292,-0.012499,0.009688,-0.009982,-0.009251,-0.035491,-0.087581,0.021992,-0.68023,0.086251,0.050054,-0.042911,6.5e-05,0.000196,7.7e-05,-0.011693,0.071034,-0.185572,0.453439
120,0.035254,0.022498,-0.012868,0.010527,-0.014813,-0.004424,-0.035114,-0.07565,0.066616,-0.683659,0.086232,0.050065,-0.0429,3.5e-05,0.000108,4.3e-05,-0.00101,-0.005133,-0.001918,0.456541
121,0.035348,0.022282,-0.013055,0.00254,-0.011037,-0.009315,-0.220738,0.380849,0.279002,-0.683659,0.086221,0.050071,-0.042892,-0.005441,0.00199,0.001127,-0.000989,0.014007,-0.029911,0.457521
122,0.035468,0.021884,-0.01341,0.002341,-0.01014,-0.008626,-0.059444,0.013432,-0.192729,-0.684475,0.086203,0.050079,-0.042877,2e-06,4e-06,3e-06,0.000104,1e-06,-8.1e-05,0.458664
123,0.035557,0.021542,-0.013824,0.00177,-0.006342,-0.014492,-0.409304,-0.052483,-0.385092,-0.686108,0.086177,0.050075,-0.042861,-1e-06,-1.2e-05,-5e-06,7.5e-05,1.1e-05,-4.3e-05,0.459481
124,0.035637,0.021315,-0.014328,0.008343,-0.002363,-0.012122,-0.941307,-0.005331,0.716535,-0.684965,0.086148,0.05006,-0.042839,1e-06,2e-06,1e-06,-0.000511,0.002221,0.0016,0.460297
125,0.035668,0.021281,-0.014557,0.000788,-0.002257,-0.01096,-2.459325,-0.055069,-4.709205,-0.686271,0.086136,0.050057,-0.042824,6.7e-05,0.0002,7.9e-05,-0.001751,-0.007785,-0.002719,0.460787
126,0.035721,0.021334,-0.015104,-4.4e-05,0.002923,-0.015683,0.046292,0.071891,0.023905,-0.690354,0.086111,0.050047,-0.042795,0.0,8e-06,5e-06,3e-06,-0.000155,-0.000105,0.46144
127,0.035832,0.02146,-0.01564,0.00676,0.005967,-0.014057,-0.030893,0.19103,0.128908,-0.693619,0.086083,0.050046,-0.042768,1e-06,1e-05,5e-06,2e-05,-5e-06,-4.4e-05,0.461767
