frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.037592,0.038401,-0.007236,0.012565,0.001341,-0.000359,0.007498,-0.034961,0.055574,-0.733299,0.068334,0.028061,-0.050561,-0.000286,-0.000772,-0.000532,-0.355856,-1.773948,-0.632,0.516959
2,0.037912,0.038457,-0.007248,0.012519,0.001569,-0.000205,-0.040228,0.027196,0.096702,-0.743587,0.068296,0.028133,-0.050622,0.000558,0.004931,-0.004757,-0.289759,-1.716418,-0.577655,0.511897
3,0.038389,0.038512,-0.0073,0.006718,-0.001204,-0.00144,0.013456,-0.012227,-0.004516,-0.761712,0.0682,0.028232,-0.050629,-0.006043,0.002665,0.00173,-0.242039,-1.573708,-0.575114,0.497691
4,0.038677,0.038535,-0.007388,0.006619,-0.00074,-0.001128,-0.005947,0.00426,0.040075,-0.770529,0.068061,0.028288,-0.050568,-0.006097,0.002534,0.001638,-0.252447,-1.426149,-0.779841,0.492302
5,0.038738,0.038585,-0.007507,0.000302,-0.0013,-0.000874,-0.338124,0.392234,0.272759,-0.77951,0.06794,0.028363,-0.050531,-0.006022,0.002704,0.001758,-0.119018,-0.625201,-1.299706,0.48822
6,0.038693,0.038627,-0.007568,-0.006063,-0.001652,-0.000488,-0.060488,0.093787,0.02245,-0.786695,0.067898,0.028407,-0.050538,-0.006167,0.002366,0.00152,0.214949,-1.396548,-0.857456,0.483484
7,0.038557,0.038723,-0.007673,-0.006304,-0.000597,0.000223,-0.186806,0.232374,0.120943,-0.792247,0.067839,0.028498,-0.050562,-0.006246,0.002151,0.001372,0.294675,-0.825734,-0.7867,0.466502
8,0.038456,0.038778,-0.007709,-5.2e-05,0.000232,0.000158,0.001667,-0.002381,-0.001524,-0.786859,0.067707,0.028707,-0.050617,-0.005196,0.00831,-0.002528,0.246877,-1.157467,-0.900837,0.457358
9,0.038444,0.038788,-0.0077,-0.000224,0.000983,0.000659,-0.000505,-8e-06,-0.001703,-0.787838,0.067608,0.028847,-0.050651,-0.005336,0.007939,-0.00278,0.134106,-1.376494,-1.216851,0.458501
10,0.038454,0.038808,-0.007689,0.006016,0.001632,0.000511,0.445397,-1.293862,2.434274,-0.789961,0.067337,0.029184,-0.050737,-0.005167,0.008319,-0.002515,-0.202584,-1.127601,-1.16185,0.470094
11,0.038475,0.038842,-0.007663,-0.000167,0.00073,0.000487,-0.000493,0.000402,-0.001266,-0.788981,0.066978,0.029637,-0.050909,-0.011178,0.014508,-0.006537,-0.209937,-0.534462,-1.15687,0.487403
12,0.038463,0.038872,-0.007649,-8.1e-05,0.000356,0.00024,-0.000164,0.000226,0.000114,-0.790124,0.066597,0.030158,-0.051145,-0.011095,0.014634,-0.00645,-0.175205,-0.33933,-1.070313,0.485117
13,0.038463,0.038872,-0.007648,1e-05,-4.6e-05,-3.1e-05,0.012893,-0.009283,-0.008034,-0.793227,0.066413,0.030443,-0.05127,-0.010689,0.015583,-0.005791,-0.069903,-0.02163,-0.883665,0.475646
14,0.038465,0.038863,-0.00766,-0.000788,0.004642,-0.004644,0.047181,-0.000334,-0.012669,-0.796003,0.065959,0.031093,-0.05148,-0.016474,0.018645,-0.003813,0.060514,0.293267,-0.54949,0.465849
15,0.038454,0.03885,-0.007679,3.5e-05,-0.000154,-0.000101,0.011418,-0.022623,0.070349,-0.792084,0.065531,0.031669,-0.051582,-0.010701,0.011842,-0.000229,0.0186,0.177227,-0.373892,0.465686
16,0.038449,0.038854,-0.007688,2e-06,-5e-06,-2e-06,-0.292248,0.331141,0.231539,-0.794206,0.065332,0.0319,-0.051592,-0.010577,0.0121,-5.2e-05,0.018372,0.175913,-0.372486,0.466176
17,0.038414,0.03886,-0.007692,-3e-06,1.9e-05,1.5e-05,0.002302,-0.00237,-0.001788,-0.795513,0.065017,0.032257,-0.051543,-0.004337,0.010036,-0.00134,0.111141,0.279618,-0.054471,0.477933
18,0.038376,0.038861,-0.007699,2e-06,0.0,6e-06,-0.014994,0.102882,-0.169481,-0.793227,0.064827,0.032428,-0.051412,-0.005055,0.004811,0.003174,0.040687,0.218989,-0.115046,0.497201
19,0.038347,0.038859,-0.007703,2e-06,-0.0,3e-06,-0.000797,0.000838,-0.002309,-0.79486,0.064817,0.032475,-0.051277,0.00115,0.002729,0.001881,0.175475,0.472828,0.046589,0.507325
20,0.038352,0.03886,-0.007703,0.006152,0.001258,0.000227,0.001902,-0.015162,0.028932,-0.79535,0.064863,0.032487,-0.051219,0.001142,0.002708,0.001859,0.10371,0.21896,-0.394024,0.507325
21,0.038379,0.038869,-0.0077,-1.6e-05,7.5e-05,5.1e-05,-0.329771,0.406665,0.276858,-0.795839,0.064942,0.032525,-0.051083,0.001079,0.002563,0.001754,-0.008009,-0.012918,-0.007003,0.498997
