frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
2275,0.030194,0.051231,0.019441,-3e-06,2.4e-05,8e-06,1e-06,8e-06,0.0,0.501667,0.101186,0.052718,-0.041218,-0.036642,-0.020655,0.006715,0.045927,-0.875727,0.354875,-0.241689
2276,0.030193,0.05124,0.019445,-0.005379,-0.000898,-0.000103,-0.002047,0.015211,-0.029255,0.501504,0.099779,0.051891,-0.040897,-0.036556,-0.018466,0.00757,-0.245451,-0.855618,0.512478,-0.240546
2277,0.030193,0.05124,0.019445,1e-06,-6e-06,-3e-06,-3e-06,-1e-06,-8e-06,0.501504,0.099049,0.051519,-0.040713,-0.036628,-0.021749,0.012906,0.549705,-1.002424,1.097556,-0.23973
2278,0.030194,0.051233,0.019442,0.000107,-0.000576,-0.00021,-9e-06,-2e-05,1.2e-05,0.501667,0.097515,0.050903,-0.04034,-0.041957,-0.014428,0.009478,1.097209,-0.761696,-0.670937,-0.236301
2279,0.030194,0.051231,0.019442,-1e-06,8e-06,2e-06,-3e-06,7e-06,4e-06,0.501831,0.095985,0.050304,-0.04,-0.036933,-0.016647,0.008318,-0.297889,-0.962126,0.293531,-0.231238
2280,0.030193,0.051236,0.019443,-6e-06,4.3e-05,1.5e-05,1e-06,1.5e-05,-1e-06,0.501831,0.094478,0.049658,-0.039712,-0.037689,-0.018333,0.007591,3.952616,-0.402887,-3.080283,-0.226993
2281,0.030189,0.051235,0.019443,3e-06,-4e-06,-0.0,3e-06,1.6e-05,-5e-06,0.501667,0.09373,0.049325,-0.039589,-0.037962,-0.019063,0.007297,-0.225236,-1.050455,0.427177,-0.226176
2282,0.030194,0.051231,0.019442,6e-06,-2.7e-05,-1e-05,1e-06,-1.2e-05,2e-06,0.501667,0.092258,0.048666,-0.039382,-0.038174,-0.018519,0.007487,1.225132,-0.254805,-0.461295,-0.220461
2283,0.030194,0.051231,0.019442,1e-06,4e-06,1e-06,3e-06,-0.0,2e-06,0.501831,0.090976,0.048088,-0.039279,-0.032436,-0.014569,0.002027,1.848464,-1.977988,2.015556,-0.21344
2284,0.030194,0.051233,0.019442,-0.000126,0.000678,0.000246,7e-06,2e-05,-1.7e-05,0.501667,0.090358,0.047818,-0.03924,-0.032215,-0.013198,0.002586,-0.054638,-0.871887,0.104273,-0.213113
2285,0.030193,0.051236,0.019443,1e-06,-4e-06,-1e-06,5e-06,6e-06,-9e-06,0.501831,0.089175,0.047352,-0.039168,-0.0264,-0.01295,0.002378,-0.021978,-0.439041,0.39725,-0.209847
2286,0.030194,0.051231,0.019442,-0.0,-2e-06,-1e-06,1e-06,-3e-06,-3e-06,0.501994,0.088054,0.046943,-0.039129,-0.026146,-0.007781,-0.002302,1.272799,-0.931884,-1.044748,-0.206255
2287,0.030198,0.051232,0.019442,1e-06,3e-06,3e-06,3e-06,-2e-06,6e-06,0.501667,0.087051,0.046515,-0.039053,-0.026292,-0.01125,0.003039,1.331762,-0.412573,-0.719403,-0.204296
2288,0.030194,0.051235,0.019443,-5.4e-05,0.000294,0.000107,8e-06,1.1e-05,-9e-06,0.501667,0.086584,0.046264,-0.038973,-0.020588,-0.011877,0.002392,4.722107,0.122419,-2.313127,-0.203969
2289,0.030195,0.051228,0.01944,3.4e-05,-0.000176,-6.5e-05,6e-06,2e-06,-1.3e-05,0.501994,0.085734,0.045749,-0.038716,-0.019773,-0.012452,0.009162,0.044999,-0.290529,0.260939,-0.203969
2290,0.030199,0.051207,0.019433,5.3e-05,-0.000279,-0.000102,-3e-06,-1e-06,9e-06,0.501994,0.084927,0.04535,-0.038254,-0.024192,-0.009872,0.01755,-0.109705,-0.250528,0.327151,-0.202663
2291,0.030201,0.051195,0.019428,9.4e-05,-0.000494,-0.000178,-2e-06,-1e-05,2e-05,0.501994,0.08454,0.04518,-0.037931,-0.017902,-0.009119,0.017646,-0.093094,-0.033491,0.242707,-0.20005
2292,0.030206,0.051166,0.019418,9.9e-05,-0.000528,-0.000192,-0.0,1.5e-05,-5e-06,0.501994,0.083872,0.044925,-0.037219,-0.010984,-0.006296,0.018669,-0.106425,0.071309,-0.079989,-0.188946
2293,0.030214,0.051127,0.019404,0.000233,-0.001245,-0.000451,-0.000757,-0.001609,0.002778,0.502157,0.083343,0.044798,-0.036448,-0.009654,-0.001882,0.020627,-0.105047,0.058253,-0.054569,-0.177842
2294,0.030226,0.051085,0.019384,0.000194,-0.001032,-0.000376,-7e-06,-1.9e-05,2.7e-05,0.502974,0.083039,0.044747,-0.035574,-0.003098,-0.000473,0.020951,-0.070956,0.337903,0.109004,-0.173923
2295,0.030227,0.051057,0.019374,0.000282,-0.00151,-0.000552,-0.0014,-0.002892,0.005035,0.502974,0.083007,0.04475,-0.035177,-0.002478,0.001548,0.021804,-0.071491,0.270357,0.106532,-0.170658
2296,0.030239,0.050992,0.01935,0.000346,-0.001851,-0.000675,-1.8e-05,-6.3e-05,7e-05,0.502321,0.083135,0.04499,-0.034432,0.005107,0.009976,0.018105,0.018448,0.652547,0.331174,-0.168045
2297,0.030256,0.050927,0.019326,0.000284,-0.001513,-0.000554,-0.001624,0.012407,-0.025943,0.501341,0.083534,0.045482,-0.033772,0.017431,0.010855,0.017725,-0.047623,0.18964,0.046333,-0.165106
2298,0.030259,0.050907,0.019319,9.6e-05,-0.000509,-0.000185,6e-06,1e-06,-2.9e-05,0.501341,0.083868,0.045797,-0.033502,0.017849,0.015994,0.012878,-0.00027,0.020705,-0.044935,-0.158411
2299,0.030261,0.0509,0.019316,-1.4e-05,7.1e-05,2.5e-05,8e-06,-3e-05,-2e-05,0.501504,0.084636,0.046457,-0.033101,0.023608,0.019244,0.006859,-0.027609,-0.065366,0.140656,-0.147797
2300,0.030252,0.050901,0.019321,-1e-06,1.7e-05,7e-06,-6e-06,1.6e-05,6e-06,0.501994,0.085578,0.047143,-0.03284,0.028256,0.015412,0.004829,-1.406487,0.993582,-1.9632,-0.13555
2301,0.030253,0.050897,0.01932,1.7e-05,-7.5e-05,-2.6e-05,-1e-06,-1e-06,1.3e-05,0.501994,0.08611,0.047428,-0.032777,0.027148,0.012018,0.003441,0.014596,-0.103674,0.212634,-0.130325
2302,0.03026,0.050882,0.019314,8.3e-05,-0.000441,-0.000162,1e-06,-1.3e-05,4e-06,0.502321,0.087211,0.047881,-0.032674,0.032167,0.009598,0.002092,0.010131,-0.109527,0.231511,-0.125263
2303,0.030261,0.050877,0.019312,-3e-06,2.2e-05,8e-06,-1e-06,1.1e-05,-2e-05,0.501994,0.088246,0.048241,-0.032583,0.031081,0.002796,0.006145,-0.020965,-0.059415,0.228281,-0.123793
2304,0.030259,0.050886,0.019316,-0.000153,0.000819,0.000298,0.001614,-0.01241,0.025965,0.501994,0.089215,0.048574,-0.032495,0.025756,0.008952,0.002065,0.066516,0.803223,0.599274,-0.12314
2305,0.030263,0.050887,0.019321,0.0,1e-06,1e-06,-9e-06,-2e-06,2.5e-05,0.501667,0.089678,0.048752,-0.032452,0.025583,0.008604,0.001909,0.041344,0.419525,0.393411,-0.120527
2306,0.030267,0.050888,0.019321,-1e-06,-6e-06,-5e-06,4e-06,-6e-06,-4e-05,0.501341,0.090626,0.049091,-0.032374,0.025324,0.008176,0.001706,0.069695,1.05675,0.70236,-0.09783
2307,0.030279,0.05089,0.019326,-2e-06,-3e-06,-4e-06,-3e-06,-2e-06,-2.6e-05,0.501178,0.091609,0.049368,-0.032319,0.024847,0.006842,0.001184,0.046992,0.88458,0.598485,-0.068764
