frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.018343,0.022334,-0.030492,0.002411,-0.007409,0.03246,-0.142751,0.011087,0.023108,-0.000288,0.071948,0.020748,-0.063591,-2e-06,0.0,4e-06,-1e-05,-5e-06,5e-06,-0.068928
2,0.018668,0.02194,-0.029178,0.002571,-0.013442,0.035756,1.458863,1.923262,-1.117872,0.021756,0.071922,0.020752,-0.063588,-1e-06,-0.0,4e-06,-1.1e-05,4e-06,8e-06,-0.066478
3,0.018959,0.021645,-0.028041,0.009106,-0.004407,0.024844,1.539906,1.881844,-1.08402,0.035636,0.071876,0.020758,-0.063583,-1e-06,-1e-06,3e-06,-1.7e-05,1.4e-05,6e-06,-0.063049
4,0.019312,0.021497,-0.027236,0.008436,-0.003176,0.016084,-0.437602,0.526877,0.390281,0.040861,0.071813,0.020764,-0.063579,-0.006911,0.000882,0.00064,-0.000991,0.014714,-0.029538,-0.06011
5,0.019499,0.021491,-0.026991,0.008015,0.000549,0.010072,-0.02453,-0.034694,0.033268,0.041678,0.071781,0.020763,-0.063581,-0.006987,0.000558,0.000376,-0.000992,0.014695,-0.029552,-0.058804
6,0.019891,0.021549,-0.026708,0.014755,0.003824,0.003118,0.010141,-0.046436,0.089946,0.042005,0.071731,0.020753,-0.063589,-0.000172,-0.000753,-0.00061,-0.009008,-0.039317,-0.018962,-0.056844
7,0.020312,0.021708,-0.026611,0.007518,0.003644,0.003374,0.015968,-0.045083,0.047876,0.042331,0.071692,0.020746,-0.063595,-2.4e-05,-9.9e-05,-7.7e-05,0.000243,0.001458,0.000787,-0.055538
8,0.020496,0.021784,-0.02655,0.007534,0.003919,0.003656,0.006512,-0.035157,0.050733,0.038412,0.07168,0.020746,-0.063602,-9.1e-05,-0.000387,-0.000314,5.6e-05,0.000197,9.6e-05,-0.054395
9,0.020764,0.021988,-0.026322,0.007764,0.006858,0.006729,0.009114,-0.038229,0.049326,0.028941,0.071663,0.02074,-0.063607,-7e-06,-2.9e-05,-2.1e-05,1.5e-05,6e-06,-1.9e-05,-0.04917
10,0.020934,0.022237,-0.025945,0.000734,0.008918,0.009317,0.003183,-0.032385,0.047248,0.031717,0.071667,0.020739,-0.063614,-0.000149,-0.000641,-0.00052,1.2e-05,5e-06,-1.7e-05,-0.045904
11,0.020937,0.022403,-0.025475,-0.006187,0.003154,0.013548,-0.04418,0.110028,-0.164676,0.035636,0.071667,0.020749,-0.063626,-0.0,1e-05,9e-06,6e-06,2e-06,-2e-05,-0.044597
12,0.020876,0.02245,-0.025201,-0.006203,0.002899,0.013254,-0.034883,-0.00337,0.001337,0.036616,0.071668,0.020757,-0.063632,-2e-06,6e-06,6e-06,4e-06,-5e-06,-2.4e-05,-0.043291
13,0.020649,0.022448,-0.024629,-0.006036,-0.003899,0.015958,-0.00359,-0.093727,-0.089335,0.039392,0.071669,0.020781,-0.063659,-4e-06,-1e-05,-8e-06,1.5e-05,-7e-06,-6e-06,-0.040515
