frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
382,0.037632,0.036316,-0.023437,-0.000445,0.002312,0.002015,0.427902,-0.261386,-0.239377,-0.764978,0.061443,0.024435,-0.060741,-0.008877,-0.002605,-0.003179,2.293466,-4.383767,-3.920785,0.200992
383,0.037608,0.036321,-0.023274,0.000272,-0.002315,0.006665,0.014842,-0.042174,-0.028606,-0.776571,0.061349,0.024329,-0.060973,0.004558,-0.006676,-0.005674,1.498248,-2.892765,-5.15304,0.303375
384,0.037536,0.036274,-0.023051,-0.000741,0.00386,0.003348,-0.0123,-0.009204,0.028546,-0.783266,0.061556,0.024197,-0.061313,0.01247,0.000931,-0.016339,0.925233,-2.043291,0.581591,0.377509
385,0.037457,0.036251,-0.02295,-0.007144,0.002127,0.002693,0.103932,-0.098365,-0.108703,-0.787512,0.061764,0.024153,-0.061566,0.011514,-0.004848,-0.01239,0.378555,-0.584367,-1.994285,0.403472
386,0.037159,0.036209,-0.022812,-0.013375,-0.000484,0.001272,-0.016369,-0.022468,-0.014269,-0.788491,0.06253,0.024042,-0.062408,0.024167,-0.00726,-0.022695,1.144126,-1.480754,-0.750222,0.436947
387,0.036704,0.036219,-0.022798,-0.013409,-0.000223,0.001494,-0.002064,0.008485,-0.028926,-0.794533,0.063821,0.023951,-0.063595,0.039305,-0.000274,-0.03399,3.096569,-2.959722,-3.282116,0.438416
388,0.03619,0.036309,-0.022749,-0.014526,0.006785,-0.00112,0.053522,-0.101517,0.14124,-0.804494,0.065502,0.024008,-0.065054,0.046336,0.002011,-0.040741,3.120134,-2.307886,-3.06508,0.429435
389,0.035923,0.036341,-0.022721,-0.013479,0.000305,0.001929,-0.504887,0.106062,0.340919,-0.808413,0.066514,0.024154,-0.065978,0.053953,0.005777,-0.046035,0.738736,-1.849182,0.228093,0.421271
390,0.035389,0.036446,-0.022741,-0.013294,-0.000636,0.001105,-0.602625,0.058827,0.597299,-0.802045,0.068495,0.024794,-0.067863,0.049768,0.018213,-0.044618,3.573201,-1.871851,-3.184803,0.382081
391,0.034955,0.036628,-0.022884,-0.013783,0.002934,-0.004455,-0.937871,-2.062945,2.496461,-0.807596,0.07049,0.025937,-0.069658,0.053155,0.031421,-0.041763,3.638014,-1.700351,-3.286288,0.315785
392,0.034771,0.036719,-0.023005,-0.007008,0.002496,-0.005645,-0.494166,0.015185,0.749793,-0.80874,0.071438,0.026605,-0.070434,0.047052,0.035555,-0.03838,0.270899,-1.156709,0.371209,0.283453
393,0.034551,0.036989,-0.023325,-0.001183,0.008184,-0.01018,-0.867055,-1.062703,-0.448482,-0.812658,0.07334,0.027863,-0.0717,0.046984,0.029145,-0.025907,0.790095,-1.45801,-0.824905,0.24655
394,0.034436,0.037092,-0.023805,-0.006447,-7.9e-05,-0.016519,-0.846597,0.164599,0.871495,-0.809882,0.075105,0.028753,-0.07239,0.045972,0.016332,-0.010203,-0.359769,0.199271,-0.178385,0.237895
395,0.034409,0.037041,-0.024149,0.000406,-0.001817,-0.018852,-1.949571,-4.226309,-2.470971,-0.80678,0.076019,0.029038,-0.072516,0.038561,0.009146,0.001056,-0.318632,-0.312801,-0.102563,0.234466
396,0.034542,0.036811,-0.024992,0.008321,-0.007884,-0.0252,-0.35408,-0.090349,0.608366,-0.802371,0.07771,0.02923,-0.072323,0.038151,0.001298,0.01197,-0.025257,0.112874,-0.14107,0.211769
397,0.034936,0.036367,-0.02603,0.016481,-0.01624,-0.025064,-0.756401,-0.235058,0.333493,-0.806616,0.079278,0.029067,-0.071626,0.03744,-0.007639,0.021863,0.201562,0.686883,-0.078701,0.16866
398,0.035483,0.035781,-0.027087,0.016907,-0.017842,-0.026968,-0.37666,-0.131021,0.394654,-0.813801,0.08045,0.028687,-0.070652,0.029782,-0.012276,0.026286,-0.143065,0.286414,-0.369444,0.138288
399,0.035804,0.035456,-0.027628,0.016668,-0.016084,-0.025592,-0.765541,-1.102487,-0.582521,-0.819027,0.080911,0.028399,-0.070067,0.022108,-0.017379,0.030452,0.164973,0.547799,0.162964,0.13094
400,0.036467,0.03497,-0.028514,0.015608,-0.010384,-0.020701,-1.164529,-3.929077,-3.115355,-0.823109,0.081538,0.027735,-0.068844,0.008153,-0.019634,0.036834,1.353502,0.053222,-0.819288,0.132083
401,0.037109,0.034528,-0.029172,0.016052,-0.012102,-0.013421,-0.449011,0.105833,0.312427,-0.82066,0.081911,0.027052,-0.067483,0.008175,-0.019522,0.036882,0.119051,0.561909,0.097432,0.175028
402,0.037363,0.034303,-0.029409,0.015709,-0.010049,-0.011537,-0.345829,-0.348826,-0.026763,-0.818047,0.081997,0.026721,-0.066777,0.001119,-0.019061,0.037017,-0.019975,0.187147,-0.064418,0.208013
403,0.037862,0.033784,-0.029751,0.016354,-0.013962,-0.006252,-0.045734,-0.385658,-0.325466,-0.816414,0.082034,0.026117,-0.065549,0.000509,-0.017225,0.029707,-0.17731,-0.028783,0.138148,0.265981
404,0.038456,0.033248,-0.029873,0.016292,-0.014186,0.002674,-0.088723,0.117466,-0.166917,-0.81919,0.0819,0.025514,-0.064477,-0.007069,-0.018485,0.028445,-0.174123,-0.012945,0.111392,0.311376
405,0.039018,0.032849,-0.029786,0.015906,-0.011962,0.004819,-0.096635,0.000882,-0.258589,-0.817067,0.081714,0.024975,-0.063695,-0.007499,-0.012269,0.016015,-0.157937,-0.241467,0.255408,0.342891
406,0.039217,0.032663,-0.029735,0.008229,-0.007387,0.001016,0.008387,-1.247091,-1.271236,-0.821476,0.081631,0.024711,-0.063434,-0.001049,-0.010914,0.008564,-0.364667,-0.578586,0.091751,0.355628
407,0.039552,0.032265,-0.029649,0.009322,-0.013668,0.004166,0.014562,0.077296,-0.248501,-0.81821,0.081532,0.024228,-0.063162,-0.001875,-0.013611,0.00633,-0.081534,-0.185848,0.299445,0.363303
408,0.03992,0.032041,-0.029583,0.00785,-0.005254,0.003117,0.860367,-2.192602,1.984214,-0.817067,0.081427,0.023871,-0.063057,-0.001298,-0.007962,0.002205,-0.029162,-0.074853,0.160057,0.33636
