frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
132,0.03334,0.050737,-0.01136,8.5e-05,-0.00047,-0.000307,-0.03268,0.071998,0.048071,-0.759426,0.064623,0.034585,-0.063738,-0.000268,-0.000629,-0.000516,1.643953,0.406523,-0.356477,-0.034637
133,0.033391,0.050737,-0.011409,-0.000656,0.004379,-0.004572,-0.000379,0.045375,0.05841,-0.600217,0.064641,0.034587,-0.063761,-7e-06,-2e-05,-1.5e-05,0.041946,0.2202,0.125503,-0.080358
134,0.033447,0.050789,-0.011481,0.00511,0.006298,-0.003865,-0.052156,0.269399,0.017305,-0.52739,0.064641,0.034621,-0.063786,3e-06,5e-06,7e-06,0.001912,-0.00257,-0.003341,-0.117915
135,0.033487,0.050828,-0.01151,0.005965,0.000803,-2.4e-05,-0.107889,0.384951,0.081724,-0.56462,0.064638,0.034639,-0.063798,4e-06,3e-06,4e-06,-0.001511,0.000369,-0.00114,-0.130325
136,0.033562,0.0509,-0.011549,-1.5e-05,0.000115,7.5e-05,0.002334,0.001223,-0.008954,-0.617853,0.064639,0.034678,-0.063857,-0.00035,-0.000817,-0.00067,-0.001493,0.00091,-0.001428,-0.150736
137,0.033571,0.050988,-0.011577,-6.8e-05,0.000407,0.000266,0.00157,0.001005,-0.001295,-0.620792,0.064646,0.03469,-0.063963,0.005827,-0.003429,-0.002438,0.00048,-0.014735,0.02972,-0.169188
138,0.033545,0.051035,-0.01159,-5.3e-05,0.000313,0.000207,-0.003056,-0.009269,-0.006524,-0.470075,0.064645,0.034684,-0.064084,0.005501,-0.004193,-0.003068,0.003496,0.000127,0.002749,-0.190743
139,0.033533,0.051054,-0.011593,-5.6e-05,0.000326,0.000214,-0.525781,0.029605,0.002796,-0.392022,0.064638,0.034692,-0.064162,-0.000876,-0.002047,-0.001691,-0.000982,0.014994,-0.025558,-0.202336
140,0.033529,0.051105,-0.011611,8.2e-05,-0.000452,-0.00029,-0.673211,0.517848,0.342155,-0.206034,0.064624,0.034699,-0.064287,-0.000757,-0.00177,-0.001463,-0.002413,-0.012906,-0.007646,-0.222584
141,0.033536,0.051125,-0.011648,0.000112,-0.000605,-0.000387,-0.2536,0.630094,0.801983,0.065029,0.064638,0.034684,-0.064434,-0.001042,-0.002435,-0.002018,0.101595,0.529037,0.311596,-0.247241
142,0.033541,0.051092,-0.011659,0.000383,-0.002135,-0.001388,-0.266695,0.862942,0.353039,0.206928,0.064642,0.034678,-0.064523,-0.000513,0.002369,-0.00676,0.029677,-0.021167,-0.021912,-0.259814
143,0.033553,0.050926,-0.011766,0.00122,-0.006858,-0.004489,-0.124669,0.400911,-0.020841,0.414144,0.064639,0.034689,-0.064715,-0.000406,0.002615,-0.00656,0.03258,-0.007166,-0.011038,-0.284961
144,0.033364,0.050438,-0.012073,-0.008859,-0.019254,-0.0116,-0.041253,0.295065,-0.493887,0.497748,0.064609,0.034708,-0.064916,-0.001326,-0.003094,-0.002576,0.141165,0.029814,-0.072085,-0.31419
145,0.033002,0.049533,-0.012684,-0.002347,-0.021399,-0.021296,-0.219134,-0.806053,-1.257074,0.511302,0.064577,0.03478,-0.065093,0.000311,0.00428,-0.005174,0.030902,0.079732,-0.157081,-0.346685
146,0.032878,0.048997,-0.01307,-0.007114,-0.030501,-0.019496,0.233163,-1.16589,-1.653098,0.514894,0.064568,0.034824,-0.065155,-0.000238,-0.000561,-0.000466,-0.001561,-0.000138,-0.000202,-0.361544
147,0.032726,0.047839,-0.013824,-0.00662,-0.034863,-0.015247,0.236003,-1.48395,-2.146535,0.519629,0.064586,0.034911,-0.065253,0.000551,0.004843,-0.004705,0.035499,-0.021047,0.012491,-0.387508
148,0.032601,0.046627,-0.014495,-0.006913,-0.034016,-0.015012,-0.131535,-0.683134,-1.410134,0.521262,0.064591,0.034981,-0.065306,5.5e-05,0.000121,0.000102,-0.002756,0.101292,-0.171458,-0.408409
149,0.032282,0.045476,-0.015141,-0.008527,-0.024797,-0.016537,-0.131915,0.509699,-1.067239,0.522405,0.064606,0.035002,-0.06532,-0.00031,-0.000721,-0.000603,-0.026371,-0.118279,-0.070027,-0.435352
150,0.032129,0.045027,-0.015447,-0.008792,-0.023512,-0.015743,-0.289945,0.206001,-0.230547,0.520119,0.064606,0.03499,-0.065331,-0.00021,-0.000492,-0.00041,1.58971,0.176293,-0.500802,-0.449558
151,0.031914,0.044252,-0.016114,-0.003591,-0.016648,-0.019483,-0.013315,0.329472,-0.452723,0.508526,0.064591,0.034986,-0.06538,-0.000139,-0.000414,-0.000331,5.197371,0.285807,-1.81663,-0.483849
152,0.031766,0.043654,-0.016972,-0.004027,-0.013836,-0.025602,0.013804,0.11017,-0.147557,0.478154,0.064581,0.035001,-0.065427,0.000409,0.004521,-0.004973,-0.074453,-0.523175,-0.318041,-0.535612
153,0.031671,0.043425,-0.017514,-0.004656,-0.009437,-0.030717,-5.313578,0.778052,-1.135399,0.464437,0.064577,0.035032,-0.065473,0.000515,0.004766,-0.004768,0.487362,-0.137165,-0.233189,-0.568107
154,0.031312,0.043177,-0.018854,-0.011512,-0.006694,-0.036477,-5.882704,-0.789569,1.078543,0.424431,0.064644,0.035096,-0.065599,0.006244,-0.002585,-0.001731,5.193461,-0.282183,-1.933833,-0.664612
155,0.030573,0.043271,-0.020509,-0.026833,0.009268,-0.046949,-0.804692,-0.85956,2.71051,0.374464,0.064877,0.035054,-0.065751,0.005629,-0.003912,-0.00288,0.34619,-0.779891,-0.374357,-0.741358
156,0.030069,0.043427,-0.021423,-0.026721,0.00864,-0.047575,0.176373,0.654076,1.066363,0.3276,0.065006,0.035007,-0.065834,0.006447,0.00156,-0.007053,-0.069755,-0.830886,-0.24201,-0.754911
157,0.02885,0.043912,-0.023465,-0.034379,0.016699,-0.057144,0.222289,0.473127,1.608703,0.162023,0.065296,0.034896,-0.065954,0.012727,-0.004423,-0.002912,1.583606,-0.304107,-0.275685,-0.759647
158,0.027205,0.044435,-0.025718,-0.040589,0.013831,-0.0592,-1.484341,0.465161,1.670571,-0.011228,0.065556,0.034714,-0.065978,0.006143,-0.002733,-0.001902,-0.009814,0.007769,-0.008525,-0.764872
159,0.02532,0.045045,-0.028115,-0.047854,0.018988,-0.062982,-1.445372,1.18385,0.998908,-0.163415,0.065781,0.034653,-0.066022,0.007468,0.003984,-0.005032,0.03268,-0.027936,0.048343,-0.764872
160,0.024341,0.045434,-0.029396,-0.047975,0.019263,-0.063001,-1.486074,0.488129,1.714043,-0.214688,0.065904,0.034654,-0.066034,0.000613,0.001463,0.001213,0.003366,-0.246042,-0.123442,-0.764709
161,0.022468,0.046183,-0.031836,-0.048077,0.018875,-0.063843,-2.054953,0.540522,1.1868,-0.289802,0.066141,0.034671,-0.066008,0.007765,0.000895,0.001261,5.390397,-0.005486,-1.0893,-0.770424
