frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
146,0.043909,0.040875,-0.003694,4.1e-05,-0.00056,-0.000381,-3.3e-05,-8e-05,2.1e-05,-0.957007,0.069747,0.041818,-0.041126,-0.006023,0.004533,-0.004735,0.035815,0.010602,-0.007193,0.520878
147,0.044015,0.040854,-0.003706,8.4e-05,-0.001155,-0.000784,0.008991,-0.004345,0.00056,-0.959783,0.069585,0.041865,-0.041255,-0.000216,0.002789,-0.005807,-0.061409,-0.366056,-0.151763,0.520878
148,0.044058,0.040835,-0.003722,8.4e-05,-0.001131,-0.000768,-0.029559,0.044811,0.032583,-0.960436,0.069491,0.041887,-0.041322,-0.000178,0.002944,-0.005731,0.038978,0.001223,0.025009,0.520715
149,0.044185,0.040781,-0.003775,0.006434,-0.001985,-0.001871,0.00135,-0.000799,0.004193,-0.961253,0.069303,0.041938,-0.041437,-0.006053,0.004425,-0.004789,0.022242,-0.040004,-0.031462,0.520715
150,0.044371,0.040692,-0.003844,0.006451,-0.002134,-0.001981,1.4e-05,0.000156,0.005111,-0.961906,0.069117,0.041996,-0.041505,-0.000114,-0.000475,-0.000236,-0.020778,-0.070365,-0.034559,0.520715
151,0.044478,0.04065,-0.003876,0.006462,-0.002208,-0.002033,-0.040758,0.008217,-0.056757,-0.962396,0.069026,0.042018,-0.041518,-0.006083,0.000644,0.00052,0.001619,0.026826,-0.02437,0.520715
152,0.044688,0.040561,-0.003942,0.006455,-0.002017,-0.001907,0.004403,-0.000428,0.011756,-0.962559,0.068864,0.042028,-0.041546,-0.006385,-0.000552,-9.4e-05,0.004218,0.039137,-0.018689,0.519082
153,0.044886,0.040508,-0.004,0.000129,-0.0016,-0.001098,0.0017,-0.000414,0.001427,-0.963539,0.068689,0.042047,-0.041619,-0.006448,-0.000786,-0.000216,-0.018152,-0.038927,-0.056343,0.515489
154,0.045038,0.040494,-0.004023,0.006265,0.000538,-0.000172,-0.038684,-0.007131,-0.032553,-0.962723,0.068543,0.042097,-0.04173,-0.006541,-0.00114,-0.000399,0.138717,-0.031758,-0.013279,0.512223
155,0.045104,0.040502,-0.004023,0.006253,0.000669,-8.3e-05,0.00282,-0.015126,0.030364,-0.963376,0.068494,0.042116,-0.041812,-0.000839,-0.003313,-0.001703,-0.001272,0.019457,-0.024136,0.507651
156,0.04516,0.040507,-0.00403,4.1e-05,-0.000484,-0.000332,0.000666,5.1e-05,0.000676,-0.963049,0.068424,0.042125,-0.04204,-0.000757,0.000662,-0.006913,0.036171,0.010916,-0.00336,0.496711
157,0.045165,0.04051,-0.004023,-1.4e-05,0.000178,0.00012,5.9e-05,0.00012,-3e-05,-0.964192,0.068373,0.04216,-0.042304,-0.000461,0.001817,-0.006319,0.037248,-0.001297,0.023271,0.480872
158,0.045141,0.040512,-0.00402,-0.006256,-0.000568,0.000145,0.000742,0.014831,-0.026349,-0.963212,0.068345,0.042185,-0.042416,-0.000472,0.001775,-0.006342,0.475187,-0.28409,0.029659,0.472217
159,0.045093,0.040512,-0.004027,-0.0,-3.5e-05,-2e-05,-0.312706,0.312294,0.247518,-0.963702,0.0683,0.042217,-0.042666,-0.000653,0.001069,-0.006713,0.033692,0.001714,-0.007132,0.454092
