frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
242,0.040471,0.043507,-0.010825,0.000469,-0.004268,0.004804,-0.036653,0.010658,-0.018101,-0.818863,0.069056,0.043551,-0.049135,-0.014044,-0.009276,0.002441,-0.039587,0.054115,-0.136987,0.087178
243,0.040496,0.043381,-0.010632,0.000394,-0.002804,0.00587,0.272491,-0.219597,-0.156808,-0.812495,0.068496,0.043471,-0.049164,-0.012903,-0.000929,-0.000257,0.079576,0.249894,0.172233,0.292108
244,0.040491,0.04336,-0.010541,-0.000177,0.003299,0.002382,-0.013092,-0.01111,0.025417,-0.813965,0.068262,0.043471,-0.049165,-0.006548,-0.000823,-0.00032,0.130464,0.647348,0.013043,0.361016
245,0.040451,0.043374,-0.010402,0.000436,-0.0036,0.005296,-0.036868,0.010988,-0.017705,-0.815108,0.067911,0.043462,-0.04914,-0.006555,-0.004502,0.005009,-0.062531,0.413997,-0.653218,0.429762
246,0.040427,0.043399,-0.010347,-3.4e-05,0.000628,0.000453,0.000619,0.002576,-0.002008,-0.814944,0.067639,0.04349,-0.049029,-0.005897,-0.001957,0.006446,-0.086321,0.463059,-0.854044,0.463073
247,0.040418,0.043402,-0.010326,-1e-06,-9e-06,-5e-06,2.2e-05,7.6e-05,1.5e-05,-0.815434,0.067525,0.043514,-0.04884,0.00051,-0.001666,0.006476,0.117267,0.421383,0.464709,0.476789
248,0.040409,0.043402,-0.010319,-1.4e-05,0.000254,0.000183,0.000377,0.001483,-0.001165,-0.815271,0.067542,0.043512,-0.048741,0.000921,0.003552,0.002012,0.002862,0.554662,-0.500762,0.479565
249,0.040399,0.043416,-0.010302,-3.8e-05,0.000744,0.000536,-0.016201,0.006159,0.000572,-0.816577,0.067702,0.0435,-0.04855,0.006998,0.002407,0.00124,-0.034798,1.830467,-1.637037,0.47434
250,0.040395,0.043425,-0.01026,-6.2e-05,0.001178,0.000846,0.043059,-0.104187,0.006716,-0.816251,0.067962,0.043497,-0.048447,0.006344,-0.003562,0.005264,0.019029,0.299113,0.146517,0.465196
251,0.040405,0.043434,-0.010231,-6.1e-05,0.001163,0.000837,-0.010166,0.005368,0.001357,-0.816904,0.068077,0.043491,-0.048391,0.0067,0.001481,0.000698,0.16341,0.574673,0.358883,0.464379
252,0.040392,0.04344,-0.01016,-9.3e-05,0.001823,0.00131,-0.001745,-0.010327,0.021965,-0.815924,0.068343,0.043439,-0.048282,0.006585,0.00105,0.00045,-0.000257,0.168945,-0.17699,0.46095
253,0.040374,0.043472,-0.010065,-0.000135,0.002603,0.001868,0.074626,-0.060975,-0.053132,-0.813801,0.068732,0.043435,-0.048315,0.012041,-0.002116,-0.001653,-5.107986,1.375966,1.770297,0.425679
254,0.040352,0.043561,-0.009947,-0.000173,0.003315,0.002371,-0.004784,-0.007401,-0.010593,-0.814291,0.068999,0.043546,-0.048586,0.005624,0.000872,-0.007021,0.083679,0.317114,-0.020751,0.381918
255,0.040338,0.0436,-0.00987,0.000315,-0.001226,0.006982,-0.025389,-0.025444,-0.015352,-0.814944,0.069074,0.043609,-0.048764,-0.000551,0.001409,-0.006583,0.171791,0.761538,0.184565,0.352035
256,0.040292,0.043716,-0.009689,-0.000252,0.004853,0.003456,-0.015878,-0.010476,0.025054,-0.813801,0.06915,0.043631,-0.048953,0.005687,-0.002243,-0.001582,-4.933946,1.719545,2.09014,0.313009
257,0.040239,0.043829,-0.009476,0.000223,0.000523,0.008201,-0.045232,-0.000765,0.008158,-0.815271,0.069202,0.043572,-0.048909,0.006016,-0.004882,0.004527,-0.000735,0.215203,-0.059223,0.319051
258,0.040215,0.043893,-0.009346,-0.006029,0.000343,0.008586,0.252899,-0.197485,-0.183586,-0.814618,0.069275,0.043541,-0.048851,0.006722,0.001638,0.000793,0.124893,0.520809,0.123092,0.326725
259,0.040146,0.043977,-0.009088,-0.005984,-0.000444,0.008014,-0.06133,-0.000746,-0.001732,-0.811679,0.069439,0.043592,-0.048748,0.000941,0.003799,0.002128,-0.005808,0.058934,-0.163027,0.341585
260,0.040086,0.044002,-0.00886,-0.005867,-0.002671,0.00644,-0.058414,0.015825,-0.02352,-0.815761,0.06957,0.043749,-0.048756,0.000715,0.006566,-0.003706,0.025402,0.04723,-0.176291,0.355628
261,0.039966,0.043968,-0.008715,-0.005738,-0.005235,0.004644,0.0583,-0.051395,-0.109032,-0.811515,0.069653,0.043858,-0.048818,6.2e-05,0.000242,0.000134,0.00175,0.00158,0.000342,0.366568
262,0.039895,0.043924,-0.008676,-0.006252,-0.000107,0.000446,-0.026811,0.133452,-0.189578,-0.811026,0.069672,0.043866,-0.048825,4e-06,1.2e-05,5e-06,0.001018,0.00012,-0.000317,0.370487
263,0.03975,0.04385,-0.008674,7.2e-05,-0.001587,-0.001105,8.7e-05,0.000199,0.000714,-0.810372,0.069623,0.043828,-0.04879,-0.000412,-0.005353,0.004383,-0.034007,0.017051,-0.016589,0.378489
264,0.039608,0.043768,-0.008719,9.4e-05,-0.002014,-0.001407,0.000143,0.000245,0.000362,-0.810862,0.069499,0.043772,-0.048714,-0.000409,-0.005323,0.004402,-0.03428,0.017146,-0.016527,0.383877
265,0.039545,0.043722,-0.008746,8.7e-05,-0.001834,-0.001281,0.000128,0.000194,0.000298,-0.811189,0.069446,0.043745,-0.048678,-2e-06,-7e-06,2e-06,-0.000303,-0.000621,0.000715,0.384857
266,0.039441,0.043617,-0.008817,0.000143,-0.003129,-0.002196,-0.01783,0.020873,-0.025588,-0.811025,0.06931,0.043768,-0.048623,-0.005854,0.001808,0.001149,-0.000556,0.014642,-0.029748,0.388123
267,0.039428,0.043502,-0.008896,0.000133,-0.002887,-0.002032,-0.002466,0.016933,-0.023149,-0.810862,0.069149,0.043846,-0.048587,-0.00564,0.002658,0.001624,0.005203,0.012642,0.001162,0.392695
268,0.039433,0.043393,-0.008967,0.000122,-0.002692,-0.001902,0.015165,0.040896,0.01048,-0.811025,0.069021,0.043926,-0.048544,0.000348,0.001393,0.000782,0.000417,0.000753,0.000305,0.394164
269,0.039449,0.043354,-0.008996,6.9e-05,-0.001513,-0.001069,7.3e-05,-2.4e-05,0.000123,-0.810536,0.068968,0.043957,-0.04852,-0.005788,0.002054,0.001284,-0.000829,0.014803,-0.029565,0.391878
270,0.039521,0.043318,-0.009027,0.006304,-0.000691,-0.001009,8.6e-05,0.001138,0.005581,-0.811026,0.068886,0.044022,-0.048476,-0.005678,0.002478,0.001519,-0.000904,0.014704,-0.029595,0.386163
271,0.039653,0.043311,-0.009043,8.2e-05,0.00012,-5.8e-05,2.049869,3.033309,4.140464,-0.810699,0.068834,0.044079,-0.048448,-0.005752,0.002174,0.001347,-0.000935,0.014694,-0.029588,0.384694
272,0.039719,0.043308,-0.00905,0.006284,-0.000255,-0.000704,0.002034,-0.015414,0.029162,-0.810862,0.068831,0.04411,-0.048436,0.000347,0.001384,0.000772,4.4e-05,-8e-06,-1.9e-05,0.384694
273,0.039833,0.043294,-0.009076,0.006268,0.00014,-0.000424,0.002069,-0.015688,0.029183,-0.812495,0.068843,0.044152,-0.048402,-0.000129,-0.004165,0.005044,-0.034742,0.017322,-0.016224,0.384857
274,0.039979,0.043296,-0.009087,0.006284,-0.000173,-0.000649,0.001981,-0.015317,0.029103,-0.813638,0.068845,0.044196,-0.048377,0.000184,0.000735,0.000407,1.5e-05,-8e-06,-2e-05,0.38404
275,0.04012,0.04329,-0.009114,5.2e-05,-0.001026,-0.000732,-4.1e-05,-7.9e-05,-9.4e-05,-0.814291,0.068825,0.044249,-0.048347,-0.005665,0.002487,0.001516,-0.000971,0.014718,-0.029567,0.382734
