,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,2,2,2,2,2,3,0.3853591329258345,0.16089343284735486,3.6,3.947413316624234
1,B,2,1,N,9,1,1,2,2,1,2,7.510645941085723e-05,0.0005038842141689355,2.0,0.6203950135951363
2,B,3,1,N,11,1,2,2,2,2,2,6.8050860138423435,0.2134196631389448,2.2666666666666666,4.953944147753522
3,B,4,1,N,8,1,2,1,1,1,2,0.5697205261759148,3.106353556437795,1.0,2.8665950944521037
4,C,1,1,I,20,4,3,3,3,3,4,0.7976147458911914,0.3954626880673604,2.9,5.8733819642583
5,C,2,1,I,22,4,3,3,4,4,4,0.9319604203493905,0.14341740145946952,5.0,5.7798420370729495
6,C,3,1,I,18,3,3,3,3,3,3,2.034822389995224,6.535603864793386,3.3666666666666667,12.089898514987878
7,C,4,1,I,20,4,3,3,3,3,4,22.031025078432382,26.207570518327476,3.6666666666666665,14.940867456813013
8,C,5,1,I,20,4,3,3,3,3,4,1.3176611737760386,1.070993847061614,1.8,5.605335022631496
9,D,1,1,E,14,3,1,2,3,2,3,0.05065642006235162,0.03310744255634165,2.3666666666666667,5.609620809450737
10,D,2,1,E,16,3,2,2,3,3,3,3.331381316933596,0.7883572649182211,2.5,5.574741884454884
11,D,3,1,E,12,1,2,2,2,2,3,0.7783592469759801,1.5462105200040603,2.2666666666666666,5.70762752116173
12,D,4,1,E,19,3,3,3,4,3,3,1.501835764045369,0.5584847554622189,2.533333333333333,5.683040433636055
13,D,5,1,E,18,3,3,3,3,3,3,1.2700755458569017,0.0022683409214680076,2.7666666666666666,5.511253698515388
14,E,1,1,E,18,4,2,2,3,3,4,0.3737760999340962,4.666107721520878,3.8333333333333335,8.114705606603325
15,E,2,1,E,19,3,3,3,3,3,4,2.740111227134472,9.82722698101956,3.3,7.189949719307231
16,E,3,1,E,22,3,4,3,4,4,4,146.1742919403433,0.21483331390562796,3.6666666666666665,8.50429936437265
17,E,4,1,E,18,2,3,3,4,3,3,0.19357913442236716,0.003708988020831885,3.2333333333333334,3.4230047776944548
18,E,5,1,E,21,3,4,3,4,3,4,4.3818446344543505,3.325834847943676,2.8,3.511741482069459
19,F,1,1,I,16,3,2,2,3,3,3,0.3675688074449343,0.003761694665242794,1.8,3.384348761487152
20,F,2,1,I,20,4,3,3,3,3,4,1.1942048780172525,4.904443620168142,2.1333333333333333,4.749857166106363
21,F,3,1,I,10,2,1,1,2,1,3,0.02363580673290857,0.0004260283695249325,3.1666666666666665,1.7876179692556813
22,F,4,1,I,10,2,1,1,2,1,3,6.428773949280419,9.389342618443412e-05,2.033333333333333,5.782619887012397
23,F,5,1,I,15,2,3,2,3,2,3,0.04099938508619097,0.03570190927787844,1.7333333333333334,1.7786145351411777
24,G,1,1,N,9,2,2,1,1,1,2,6.749287623583558,0.0190006147020989,3.033333333333333,6.231236852816418
25,G,2,1,N,11,2,2,1,2,2,2,3.7397151773784794,16.175217952136613,3.1,5.398982383176105
26,G,3,1,N,10,1,2,1,2,2,2,3.238821162511603,0.04240664430134564,2.8333333333333335,4.322696269844639
27,G,4,1,N,6,1,1,1,1,1,1,22.25187547556969,0.5814382588249445,3.2666666666666666,7.343468198071851
28,G,5,1,N,11,1,2,1,2,2,3,0.11151486526160079,0.053269706445046604,2.533333333333333,4.067327680752235
29,H,3,1,N,12,3,2,1,3,2,1,21.766557864820445,27.126970944510784,3.3333333333333335,4.6715904297682584
30,H,4,1,N,22,3,4,3,4,4,4,0.5926693482285524,0.00043716889600548437,2.6666666666666665,2.9268726948637624
31,H,5,1,N,18,3,3,3,3,3,3,0.6125726695986123,122.76238334636655,2.7666666666666666,4.013546722898571
32,I,1,1,N,9,2,1,1,1,1,3,41.05544136802947,1.0112409959952273,5.3,5.910385273574835
33,I,2,1,N,8,1,1,1,2,1,2,0.26959059090389687,2.41580530621265,4.133333333333334,2.9114861089648345
34,I,3,1,N,8,2,1,1,2,1,1,0.3674604908208663,0.17708753751614353,4.1,2.1050459274906714
35,I,5,1,N,6,1,1,1,1,1,1,0.6852422160620111,0.52772057543981,3.7666666666666666,4.069403439999951
