,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,0.0009110234782690466,0.0027996609700014206,1.3333333333333333,0.7530106855727868
1,B,1,2,N,13,4.2091163332482155,3.647423697373814,15.833333333333334,15.104533351514426
2,B,2,1,N,9,51.77462732528581,0.0002473921775148848,4.066666666666666,5.9535138536165375
3,B,2,2,N,9,5.199159758065343,0.06690970491200046,5.2,6.80367248180736
4,B,3,1,N,11,3.7075933944166923,0.02039078353285244,4.133333333333334,5.801702877398806
5,B,3,2,N,11,74.61720955347543,0.003127342893080731,3.3,2.300949950779293
6,B,4,1,N,8,4.978450836830519,0.4152447791494621,8.766666666666667,7.319948873223725
7,B,4,2,N,8,22.07334343539722,0.7685517266051078,15.3,21.314946761814948
8,C,1,1,I,20,6.603369585859848,0.27467059757195833,3.2333333333333334,8.667657988948442
9,C,1,2,I,20,9.26070392681985,7.702449084843779,9.233333333333333,17.21572235205909
10,C,2,1,I,22,0.4964144195783596,0.12581087536803306,3.3333333333333335,9.006653481233203
11,C,2,2,I,22,845.8500863667566,13.21541991940907,8.266666666666667,23.245496345077054
12,C,3,1,I,18,8.799026429609416,0.007307089728770811,4.1,7.535374452131352
13,C,3,2,I,18,0.021965000667358812,0.002037538984398414,4.033333333333333,6.700109002335635
14,C,4,1,I,20,0.0007780087184233118,0.0019712569252118765,3.5,5.3466103705464345
15,C,4,2,I,20,20.114978053983695,0.7042114134745568,3.966666666666667,10.451914721276918
16,C,5,1,I,20,1.5503958849825303,0.7558010618516237,3.6,6.638295141528808
17,C,5,2,I,20,1.328442078268409,0.0044847317642890926,4.866666666666666,10.244567849344351
18,D,1,1,E,14,0.8465363307468085,0.020744385133980737,2.2,4.046485737326317
19,D,1,2,E,14,11.716700121807873,5.932031303338723,5.233333333333333,10.3847724599148
20,D,2,1,E,16,2.689591630007652,0.1846637376770335,3.8333333333333335,8.173038750676016
21,D,2,2,E,16,0.17846843258527095,0.9643940645140193,5.466666666666667,7.893852540135134
22,D,3,1,E,12,0.04394339668136718,0.04051829080827583,3.9,8.941912188905453
23,D,3,2,E,12,18.79133227754506,2.491228823944054,5.9,9.882748947936642
24,D,4,1,E,19,4.519093831939592,0.34115230365237953,3.533333333333333,9.364329082530139
25,D,4,2,E,19,9.563880093409013,0.0003332007359457264,4.033333333333333,6.298785598465573
26,D,5,1,E,18,0.6252467884666597,1.9107247183673368,4.633333333333334,7.090016909977425
27,D,5,2,E,18,0.20444307387817448,0.057583600067201354,3.6,7.008217685872883
28,E,1,1,E,18,23.9643748795944,2.0332403715698755,7.666666666666667,13.569982611732277
29,E,1,2,E,18,0.2758493677853437,0.21096718055685976,3.7666666666666666,6.440545153213969
30,E,2,1,E,19,0.6090629779491049,0.06017253313020921,4.466666666666667,6.416344364517795
31,E,2,2,E,19,0.3081019819150252,0.01711186932500906,4.2,6.2354164764531195
32,E,3,1,E,22,2972.3967732158344,0.1735370363769056,5.2,8.270912830821521
33,E,3,2,E,22,0.18745413483611256,0.03386713704474296,3.033333333333333,5.255186569399212
34,E,4,1,E,18,20.115270467852632,0.6250169212097647,4.7,10.27732328630492
35,E,4,2,E,18,3.424338971376545,0.029223744382275398,4.9,9.742154536343614
36,E,5,1,E,21,3.0209676682604916,3.5999725412005397,5.2,8.26317567055413
37,E,5,2,E,21,7.2497294091219215,7.741443668394922,3.5,6.54543200212722
