,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,B,1,1,N,13,2,2,2,2,2,3,0.0038264287090305567,0.0017743117978073213,0.4636991651301015,0.007998965948627531,0.021984208039431442,2.7483812508544947,1.3333333333333333,1.0922524176579982,1.504199511480775
1,B,1,2,N,13,2,2,2,2,2,3,2.3525240551253273,1.6230700822975985,0.689927092886254,33.84777164294381,29.142172050792944,0.860977566210571,15.833333333333334,15.63342821433151,30.17713275857866
2,B,2,1,N,9,1,1,2,2,1,2,4.0835103620001405,2.791183533567906,0.6835255175404426,132.67429458479432,0.0762513619999128,0.0005747259651053151,4.066666666666666,8.14388030346423,11.889532759690603
3,B,2,2,N,9,1,1,2,2,1,2,15.984304731617536,7.030742895813911,0.4398529065769652,50.85174638763631,0.5534971589499766,0.010884526063878694,5.2,9.288470878953742,13.603854335775765
4,B,3,1,N,11,1,2,2,2,2,2,8.07734173811468,20.664143457514342,2.558285154632758,30.6331326081387,0.16168559650137712,0.005278128050750514,4.133333333333334,9.07153709051144,11.600190408391502
5,B,3,2,N,11,1,2,2,2,2,2,2.27442281356169,0.08835717488211642,0.03884817473482482,605.7305078713795,0.021754886596861374,3.59151244887946e-05,3.3,6.450108766829141,4.59761150515056
6,B,4,1,N,8,1,2,1,1,1,2,15.190140875075135,16.63424099746718,1.095068250799544,40.49201015628142,3.3556895691721857,0.0828728817418719,8.766666666666667,18.5601231814101,14.629712849068051
7,B,4,2,N,8,1,2,1,1,1,2,4.629326080619146,1025.669106035631,221.5590537745083,175.0548768948685,3357716.2244437537,19180.93505307067,15.3,24.35452780136021,42.59670352101073
8,C,1,1,I,20,4,3,3,3,3,4,7.738100214238001,0.751896264296142,0.09716807013078778,53.86301759478838,1.655650269966209,0.030738164029755446,3.2333333333333334,10.024604433255716,17.295034942742607
9,C,1,2,I,20,4,3,3,3,3,4,79.00183668870217,90.96961038938643,1.151487284375956,73.69421309337433,62.91329319467603,0.8537073747563011,9.233333333333333,25.035720941082626,34.34644346764166
10,C,2,1,I,22,4,3,3,4,4,4,1.7602462679323083,0.34743300594782617,0.19737749897685736,4.147186488629862,0.9988912133344833,0.2408599700237967,3.3333333333333335,5.062889745826707,17.981890354523003
11,C,2,2,I,22,4,3,3,4,4,4,122.22792748418178,10.224984049922309,0.08365505543931917,6604.663922887638,106.0882673738792,0.016062629168191823,8.266666666666667,21.064110807673245,46.40768556870261
12,C,3,1,I,18,3,3,3,3,3,3,1.862425894313889,0.00013885265878583973,7.455472951152912e-05,68.39928387071578,0.06477858003639712,0.0009470651792033044,4.1,6.036879012512046,15.065461722426168
13,C,3,2,I,18,3,3,3,3,3,3,33.54089454144034,0.07654911373112144,0.0022822621393279695,0.04054586063878878,0.014687725121448678,0.36224968196623886,4.033333333333333,5.161901664792249,13.375750979294866
