,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,8,1,1,1,2,1,2,0.006135895547145156,0.3651880225271788,6.9,9.04841331890897
1,B,1,2,N,8,1,1,1,2,1,2,26.542032974580078,0.04540194434493774,11.133333333333333,4.793277421969062
2,B,1,3,N,8,1,1,1,2,1,2,0.3772915422844031,0.08480269688349887,13.6,3.8472379231814213
3,B,1,4,N,8,1,1,1,2,1,2,0.5572293454184748,0.4336391493946523,7.3,4.455642087758261
4,B,2,1,N,8,1,1,1,2,1,2,0.3466880100469169,0.24819849696251797,6.133333333333334,6.074439639869971
5,B,2,2,N,8,1,1,1,2,1,2,7.308569910918797,0.03652693475060779,5.633333333333334,3.0075619380918646
6,B,2,3,N,8,1,1,1,2,1,2,0.05980955034516428,0.004578966146029084,9.933333333333334,2.2771412869902656
7,B,2,4,N,8,1,1,1,2,1,2,0.16167193358589732,0.0006373520508232324,5.166666666666667,2.659801798229191
8,B,3,1,N,14,2,2,2,3,2,3,15.600076705352443,0.5312532891981364,14.566666666666666,12.111383537534593
9,B,3,2,N,14,2,2,2,3,2,3,0.34851058765145376,1.9855060447896695,16.433333333333334,4.056033442444572
10,B,3,3,N,14,2,2,2,3,2,3,0.07792810851588242,0.014921006983083605,6.666666666666667,2.6188877681619194
11,B,3,4,N,14,2,2,2,3,2,3,0.021639202653468,0.09354662267315313,6.233333333333333,2.8530998732678907
12,B,4,1,N,19,3,3,3,4,3,3,57.14677432851965,0.9053976135657822,10.966666666666667,9.948067833602396
13,B,4,2,N,19,3,3,3,4,3,3,0.0732439803489582,0.01344304013647867,7.266666666666667,2.957330423829173
14,B,4,3,N,19,3,3,3,4,3,3,0.2856147906446297,0.008050253897581246,5.966666666666667,2.5152138833167186
15,B,4,4,N,19,3,3,3,4,3,3,0.03987180951144179,0.00814817369242139,10.233333333333333,1.715975101647902
16,C,1,1,I,11,1,2,1,3,2,2,0.026969769444216862,5.751334398267707,5.633333333333334,3.3663024014704495
17,C,1,2,I,11,1,2,1,3,2,2,2.913334783056777,0.3116604168063363,37.46666666666667,10.728124617535165
18,C,1,3,I,11,1,2,1,3,2,2,0.6417503567842424,0.0010963317534315965,6.366666666666666,5.208173042798502
19,C,1,4,I,11,1,2,1,3,2,2,2.9879418457704316,0.023674898317945073,13.2,6.218391271537002
20,C,1,5,I,11,1,2,1,3,2,2,0.03237414850603319,0.9633250588344747,11.7,11.126959290757892
