,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,B,1,1,N,8,1,1,1,2,1,2,1.4527799347058872,0.17666513337272713,0.12160488257878692,0.17041338198721756,0.14572355765926742,0.8551180427262333,5.0,4.013855966526906,3.638136309448291
1,B,1,2,N,8,1,1,1,2,1,2,14.306718240123047,0.10550430009289889,0.0073744585111778565,0.20244200287919126,0.14626072893326061,0.7224821274888432,4.766666666666667,5.589569486620263,3.4153862368150247
2,B,1,3,N,8,1,1,1,2,1,2,0.11028613265688429,0.252540789156511,2.289868935219635,0.46859005602825937,0.050202913323555094,0.10713610474168384,5.2,4.455496128325237,6.372379986971174
3,B,2,1,N,8,1,1,1,2,1,2,0.07911454094000758,1.1249487790226176,14.21924169256906,0.8786825376025474,0.48572376928344124,0.5527864143160515,5.6,4.22955265165841,7.129317808740334
4,B,2,2,N,8,1,1,1,2,1,2,0.03226181894191393,0.016056219176551915,0.4976848703249024,0.020587971249214423,0.33176377278778857,16.11444706094816,3.7,3.029246788394151,2.560635083973564
5,B,2,3,N,8,1,1,1,2,1,2,0.22349597683046157,0.012743041355728964,0.05701687133901079,0.002442208780188436,0.0035031185292216144,1.4344058368962709,3.533333333333333,2.2212402951517265,2.6540121392668374
6,B,3,1,N,14,2,2,2,3,2,3,0.16074555428878567,8.219812879755512,51.13555342867086,0.2973508856129355,0.005326845547710577,0.01791434229876343,4.033333333333333,2.615725507912139,2.7009372620340018
7,B,3,2,N,14,2,2,2,3,2,3,0.6993798743825969,0.4807302628573776,0.6873664520040126,0.20335323641007344,0.02069131876791961,0.10175062434804028,8.033333333333333,5.5832636571753955,3.4915908369719157
8,B,3,3,N,14,2,2,2,3,2,3,0.027775540363815392,0.002379386211729817,0.08566480365687375,0.006174086042905549,0.0009187161821088414,0.14880197258742606,3.8666666666666667,1.3472883302946643,2.0316715993679515
9,B,4,1,N,19,3,3,3,4,3,3,0.02973870273045461,0.002200241636087547,0.07398579743138353,0.09935241731938253,0.06972309660357413,0.7017755429084255,3.566666666666667,2.0031736785081082,2.3379844808176795
10,B,4,2,N,19,3,3,3,4,3,3,0.26028326627557224,0.7858871886195639,3.0193534907753685,0.6214044040422182,0.0817387881889498,0.13153879769316293,3.1,2.482193721174703,2.940418324954457
11,B,4,3,N,19,3,3,3,4,3,3,0.5287102768652463,0.0020193741349578366,0.0038194342408678383,0.9736824666739092,0.005307288193511747,0.005450738177140435,3.8666666666666667,2.666468392866092,3.731594034746056
