,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,B,1,1,N,8,1,1,1,2,1,2,0.021478173785471004,0.012315685820425712,0.573404701136961,12.865868710205653,1.4214365908506412,0.1104811981893697,5.0,1.8253770748587193,8.01199853411205
1,B,1,2,N,8,1,1,1,2,1,2,0.024650888867989152,0.013706461765447788,0.5560230237071312,105.6921966948079,0.8304055431420093,0.007856829256182947,4.766666666666667,1.7125472541518396,11.165146625380498
2,B,1,3,N,8,1,1,1,2,1,2,0.09666338874330167,0.00280970455610331,0.0290668948464525,0.8026900367956112,2.0701079089273384,2.5789630044385983,5.2,3.193981096892111,8.903921518575064
3,B,2,1,N,8,1,1,1,2,1,2,0.11265567777237902,0.06120602837229922,0.5433017632361691,0.8585086243804219,8.458097470396947,9.852082122647378,5.6,3.5702931002470795,8.451617395688876
4,B,2,2,N,8,1,1,1,2,1,2,0.002628282802950964,0.029031176787107902,11.045682281416783,0.2784229661925168,0.09826265386952684,0.35292582078729345,3.7,1.2842473783631767,6.04154292193266
5,B,2,3,N,8,1,1,1,2,1,2,0.0004264918801141096,0.004851996880418835,11.376528151299537,1.9412723354132035,0.0912067193800633,0.046982959431423506,3.533333333333333,1.3300572554974017,4.435288199080778
6,B,3,1,N,14,2,2,2,3,2,3,0.034697667916080414,0.0005077892336156248,0.014634679046550362,1.273959992742969,50.6929201234137,39.7916107351743,4.033333333333333,1.3531177300777697,5.220263885507549
7,B,3,2,N,14,2,2,2,3,2,3,0.025475428285067898,0.002593499340541773,0.10180395444271766,5.6717576862277115,3.89590012182484,0.6868946695809928,8.033333333333333,1.7511744062566375,11.147530038185854
8,B,3,3,N,14,2,2,2,3,2,3,0.0007041579895086836,0.00013772992790796225,0.1955952072688423,0.21889025093430706,0.010445201931281704,0.04771889970749085,3.8666666666666667,1.0190652921025627,2.689675374451085
9,B,4,1,N,19,3,3,3,4,3,3,0.011843611163379567,0.008722751227606402,0.7364942252222142,0.24990619675325698,0.018981269699313796,0.07595357756596492,3.566666666666667,1.1716423567032863,3.9965011372769625
10,B,4,2,N,19,3,3,3,4,3,3,0.1106842897597176,0.01010208629403081,0.09126937812006776,2.058446559961777,2.576353191763484,1.251600717684565,3.1,1.47306294146136,4.954565781210644
11,B,4,3,N,19,3,3,3,4,3,3,0.14047946651210377,0.0006223679504201497,0.004430312599219091,4.396257250559785,0.014394886449897193,0.0032743503460959346,3.8666666666666667,1.8692859296514668,5.318253511732963
12,C,1,1,I,11,1,2,1,3,2,2,0.007438513508127873,0.04910341901951946,6.601240821283098,39.40290072056432,0.013133756480823986,0.00033331953335023117,2.1666666666666665,2.507480538334277,6.962541230549922
13,C,1,2,I,11,1,2,1,3,2,2,0.5013047698070211,0.0008898831193598332,0.0017751339563403647,12.34357411433031,0.30218076928750115,0.024480816211625726,2.8666666666666667,4.599629669735019,7.471266601854142
14,C,1,3,I,11,1,2,1,3,2,2,0.057860656455286444,0.021867746078271053,0.37793809157989783,1.004195806113591,0.13218922821037515,0.13163690527843372,2.3666666666666667,5.649768927856249,8.744281345858264
15,C,1,4,I,11,1,2,1,3,2,2,0.4863696443090825,0.02316441901293926,0.047627189081353376,0.5004992678218748,0.4510068280839539,0.901113861857766,5.433333333333334,4.106491691312465,11.50630081147475
16,C,2,1,I,9,1,1,1,3,1,2,40.49666417106935,0.00245539580856335,6.0632051029958035e-05,0.7932998673968938,0.0010279217944433386,0.0012957544009383549,2.1666666666666665,2.582920124576812,5.3244788006844885
17,C,2,2,I,9,1,1,1,3,1,2,1.9192300678963874,0.0867739410889673,0.04521289163840462,22179.67850386934,1.1133781396755014,5.019811894393635e-05,4.5,4.111883180878661,36.92921947449005
18,C,2,3,I,9,1,1,1,3,1,2,0.5274831263842125,0.0008212115075122976,0.0015568488666955706,2.0423048743704255,1.8415560403711602,0.9017047667473499,2.1666666666666665,3.166225185788654,6.917700381835962
19,C,3,1,I,7,1,1,1,2,1,1,0.006151717331173103,0.004743094958915367,0.7710196524928563,3.4490852040660593,210.20342804387442,60.94468985459382,2.933333333333333,1.1717156007301766,14.037563797812126
