,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,8,1,1,1,2,1,2,0.26574596238204196,10.810136714906683,4.666666666666667,3.5676912553949753
1,B,1,2,N,8,1,1,1,2,1,2,0.7267151566790356,0.34485918393327186,4.6,5.750114592696298
2,B,1,3,N,8,1,1,1,2,1,2,0.30281363494162855,0.023201360785428757,5.233333333333333,3.5358843310507386
3,B,1,4,N,8,1,1,1,2,1,2,0.00983274399604612,0.0005894762936508981,4.433333333333334,2.462537580336653
4,B,2,1,N,8,1,1,1,2,1,2,3.2742935528880523,4.144461664554031,16.866666666666667,7.475117943060766
5,B,2,2,N,8,1,1,1,2,1,2,0.48810775266870715,0.0008021478196204371,5.2,2.5047884532180373
6,B,2,3,N,8,1,1,1,2,1,2,0.028798218554383536,0.004495989256431775,3.2666666666666666,2.197382177360912
7,B,2,4,N,8,1,1,1,2,1,2,0.004738188282428634,0.24781233124022248,4.1,2.016126310105128
8,B,3,1,N,14,2,2,2,3,2,3,0.11138148573188311,0.0819455421431126,4.133333333333334,1.488067921938528
9,B,3,2,N,14,2,2,2,3,2,3,46.25061042360705,0.001039604947647549,6.266666666666667,4.023211889762095
10,B,3,3,N,14,2,2,2,3,2,3,0.5443201874252889,0.024426065026380055,7.633333333333334,3.120203556703887
11,B,3,4,N,14,2,2,2,3,2,3,0.0013951139440807976,0.0038683324904133128,3.966666666666667,2.3743301181003815
12,B,4,1,N,19,3,3,3,4,3,3,133.51535161454356,0.006065499813511146,6.166666666666667,3.5718846587281075
13,B,4,2,N,19,3,3,3,4,3,3,0.0004679383781921017,0.07621152432883163,3.6333333333333333,1.0462021394803536
14,B,4,3,N,19,3,3,3,4,3,3,0.13627997158644828,0.00016737471125848492,4.833333333333333,1.468421952744687
15,B,4,4,N,19,3,3,3,4,3,3,0.016171720896474343,0.32345814352735863,7.333333333333333,4.1955260616992325
16,C,1,1,I,11,1,2,1,3,2,2,0.027371623614739243,0.022258575057734865,2.7,2.7438856053131677
17,C,1,2,I,11,1,2,1,3,2,2,2.682139377890887,0.9748343711022129,7.233333333333333,8.44855896597057
18,C,1,3,I,11,1,2,1,3,2,2,0.10254773114964674,8.966581281522777e-05,3.3,1.5614768736249929
19,C,1,4,I,11,1,2,1,3,2,2,0.220468310727464,0.5208498165516187,7.1,5.583996099940424
20,C,1,5,I,11,1,2,1,3,2,2,0.18950112770136615,0.18737879819020825,6.2,3.5538108751663735
21,C,2,1,I,9,1,1,1,3,1,2,0.40651005014206565,0.10058900352456145,6.666666666666667,3.880997224791634
22,C,2,2,I,9,1,1,1,3,1,2,0.44058835171659905,0.018792498569959962,2.2333333333333334,3.50638234347064
23,C,2,3,I,9,1,1,1,3,1,2,0.2245662702952059,0.04898466122307714,1.8666666666666667,2.5247617381084897
24,C,2,4,I,9,1,1,1,3,1,2,0.461371417248147,0.0002989520460042967,1.7,2.5311371823390525
25,C,3,1,I,7,1,1,1,2,1,1,25.55882101609235,0.0062560734820047885,0.8666666666666667,1.156864122419961
26,C,3,2,I,7,1,1,1,2,1,1,0.0809809557227968,0.4752809680549082,1.4333333333333333,5.460172388783528
27,C,3,3,I,7,1,1,1,2,1,1,0.28249170833953846,0.19501487682433896,2.933333333333333,3.8310274656993664
28,C,3,4,I,7,1,1,1,2,1,1,0.14937725498412188,0.0149506914788219,2.8666666666666667,2.518452509893752
29,C,3,5,I,7,1,1,1,2,1,1,0.061167641348616214,0.026406840347139294,2.3,3.530387622004788
