,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,3,2,1,2,2,3,0.06481018351086654,0.15531487689265666,9.766666666666667,2.7994375183863065
1,B,1,2,N,13,3,2,1,2,2,3,0.004922607210743709,0.003304689659532673,9.2,0.9285379562708198
2,B,1,3,N,13,3,2,1,2,2,3,1.3254827506919022,0.23347926949250333,16.7,6.9724638326868424
3,B,1,4,N,13,3,2,1,2,2,3,4.43159529877809,0.005938761359283209,7.5,4.191556577060061
4,B,1,5,N,13,3,2,1,2,2,3,1.7368426405149817,2.263139359986933,11.7,5.412711623798909
5,B,1,6,N,13,3,2,1,2,2,3,0.4438788047598203,0.17131063475976482,10.966666666666667,5.087466825753295
6,B,1,7,N,13,3,2,1,2,2,3,0.8124498278201064,117.72006567530674,9.8,4.3350962589661215
7,B,2,1,N,17,4,2,2,3,3,3,0.01852579293990009,0.0003744918420000281,8.266666666666667,4.295927041140053
8,B,2,2,N,17,4,2,2,3,3,3,0.02896856830530806,50.46628650320276,10.866666666666667,5.910039017674389
9,B,2,3,N,17,4,2,2,3,3,3,1.2152521580987834,1.0367297826282866,12.866666666666667,8.6000004566593
10,B,2,4,N,17,4,2,2,3,3,3,0.3210073272493774,0.03163721344306932,6.333333333333333,4.364233655010598
11,B,3,1,N,14,3,2,2,2,2,3,0.4137755916464443,0.41192075614974183,10.0,3.9841994038358406
12,B,3,2,N,14,3,2,2,2,2,3,0.5273082157532676,0.31898538009027533,7.4,4.97131241438173
13,B,3,3,N,14,3,2,2,2,2,3,1.6519888605773352,142.67284545527394,11.1,6.003381203330828
14,B,3,4,N,14,3,2,2,2,2,3,3.6537729269289483,0.027957335897342703,8.2,5.395795230499321
15,B,4,1,N,10,1,1,2,3,2,1,2.3614281149020777,0.9598285802559199,18.9,9.28870324180519
16,B,4,2,N,10,1,1,2,3,2,1,1.1738451616714953,1.1895239632871624,12.866666666666667,10.307427745481004
17,B,5,1,N,12,2,2,1,3,2,2,0.549550260555283,0.49305440075951157,15.0,7.412487606979105
18,B,5,2,N,12,2,2,1,3,2,2,0.678306989127023,0.13989891827565176,7.566666666666666,4.428975548119001
19,B,5,3,N,12,2,2,1,3,2,2,4.323607043992338,1.8923340781752123,8.1,6.3645857854618315
20,B,5,4,N,12,2,2,1,3,2,2,7.961059708949119,0.20343271874008514,7.166666666666667,5.35597757904972
21,C,1,1,I,26,4,4,4,5,4,5,0.18111341056130484,2.9357955813462047,12.233333333333333,2.708570369155421
22,C,1,2,I,26,4,4,4,5,4,5,0.46283296041735467,0.008041503518315228,7.533333333333333,2.869008314934617
23,C,1,3,I,26,4,4,4,5,4,5,0.29335913805072905,0.1261699480934018,7.866666666666666,4.13931361404834
24,C,1,4,I,26,4,4,4,5,4,5,0.04527329972094216,0.04909176503448177,5.266666666666667,2.0650816084660435
25,C,2,1,I,20,3,3,3,4,3,4,0.020263237879193007,0.007975060960402985,10.766666666666667,1.9801620370576687
26,C,2,2,I,20,3,3,3,4,3,4,0.0679700376175616,0.012691860017998543,6.1,1.6845611298501755
27,C,2,3,I,20,3,3,3,4,3,4,5.570822276916634,0.7178373632989272,7.533333333333333,4.719394497924494
28,C,2,4,I,20,3,3,3,4,3,4,0.21245657878496993,0.0006206542450026538,14.0,3.4563495407771394
29,C,3,1,I,26,4,4,4,5,4,5,0.06254384884861502,0.15578929275936804,7.933333333333334,2.258197532632578
30,C,3,2,I,26,4,4,4,5,4,5,0.1990355398909981,7.550802143676485,5.433333333333334,4.229649430508001
31,C,3,3,I,26,4,4,4,5,4,5,0.1050937013647359,0.0025850593155055932,7.333333333333333,3.00695506015953
32,C,3,4,I,26,4,4,4,5,4,5,0.0600990361370078,0.010408404798954957,8.133333333333333,2.6071501655419484
33,C,4,1,I,30,5,5,5,5,5,5,0.02800913436226976,0.0007218124504551253,4.8,1.41897976281002
34,C,4,2,I,30,5,5,5,5,5,5,2.0403036095776987,1.3993336414190944,7.633333333333334,4.629747255450206
35,C,4,3,I,30,5,5,5,5,5,5,0.01026450472139825,0.027861440392721436,6.333333333333333,2.180420441772242
