,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,B,1,1,N,13,3,2,1,2,2,3,10.289344698005948,0.6705784568425676,0.06517212480718274,40.99646391613937,16.43988266669056,0.4010073332255994,6.1,11.83035605233343,15.842149340490113
1,B,1,2,N,13,3,2,1,2,2,3,56.232079360828706,5.836709873821254,0.10379679962336782,26.986562259529215,0.916197987989524,0.033950155606277926,5.066666666666666,11.627083749324601,10.655298378484508
2,B,1,3,N,13,3,2,1,2,2,3,1.4193022163804003,2.73831074825221,1.9293359206016276,3.742627945147007,1.834147422893753,0.49006939770009905,4.533333333333333,8.691988935630443,7.938526594862487
3,B,2,1,N,17,4,2,2,3,3,3,55.90142111170163,0.783918187591907,0.014023224669467526,15.554433636569918,8.456971989376205,0.5437016986264983,5.2,11.555193275154023,10.88735701796185
4,B,2,2,N,17,4,2,2,3,3,3,61.01324946085342,1.4964637519674584,0.0245268653151739,19.429132903695763,2.2661733373830746,0.11663790394639838,4.0,9.27067027888704,7.77460756113063
5,B,2,3,N,17,4,2,2,3,3,3,0.18630235091122452,0.0003953850127355004,0.002122276024975694,13.610781797996028,18.90123916432688,1.3886960679297489,3.466666666666667,6.731643535772125,8.639184747350015
6,B,3,1,N,14,3,2,2,2,2,3,8.961315544086773,1.3329073549721409,0.14874014294158797,11.06430061474446,1.8733467142055877,0.16931451697083652,7.233333333333333,12.773633016988894,10.46308435336119
7,B,3,2,N,14,3,2,2,2,2,3,5.595025642798802,0.12214010395070607,0.021830124068851965,14.026025292778685,4.565407283888264,0.3254954406961442,4.366666666666666,9.807838093795857,8.16141055850755
8,B,3,3,N,14,3,2,2,2,2,3,7.232483832727508,4.2435533365140445,0.5867352675316966,6.176465443038859,29.715621880048086,4.8111046931443395,5.8,9.433648858316854,10.517331512849134
9,B,4,1,N,10,1,1,2,3,2,1,30.64819607314017,1.4801590459828975,0.04829514410735896,10.964700504932708,1.4146401948673837,0.12901767761289762,4.6,13.668450091219283,9.56002244914297
10,B,4,2,N,10,1,1,2,3,2,1,0.09366697663699756,0.006313556261470863,0.06740429218654921,6.086448443487453,2.120478873283437,0.34839346672727767,3.933333333333333,11.448789820263459,6.382683623395029
11,B,4,3,N,10,1,1,2,3,2,1,0.02015385929420414,2.437677347204623,120.95337729710418,5.4831827799831085,4.749954793246565,0.8662769387492857,3.4,8.444800468499043,6.672889431876918
12,B,5,1,N,12,2,2,1,3,2,2,0.02193700203553811,3.9135245015775,178.39832877972844,327.1248794190856,277.40996159056255,0.8480246506569366,2.3333333333333335,12.777133329066919,8.666262311480521
13,B,5,2,N,12,2,2,1,3,2,2,0.43679835440694026,155.90391781219125,356.92423343459853,3.810067171725155,353.7704613587998,92.8515024575319,3.7,12.311140296628425,9.231369172284907
14,B,5,3,N,12,2,2,1,3,2,2,0.32636892187877375,0.049220859677894725,0.15081356213254057,2.2386720468433556,3.3187222828751826,1.4824512985520832,3.1333333333333333,9.99022106916758,7.056235452760181
15,C,1,1,I,26,4,4,4,5,4,5,115.1948548393333,170.31647357306863,1.478507645246965,95.82967573560795,1.795198580621648,0.018733221904815404,6.133333333333334,21.9857356635351,22.825760662723532
