,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,3,2,1,2,2,3,0.208005594035856,0.11058012373073975,6.966666666666667,3.216327862401661
1,B,1,2,N,13,3,2,1,2,2,3,0.07938267881437251,0.12418012273074813,5.933333333333334,2.3533300976930627
2,B,1,3,N,13,3,2,1,2,2,3,0.43626109715910183,0.005089294749633612,4.7,3.625125121565278
3,B,1,4,N,13,3,2,1,2,2,3,0.012153359301099474,0.0017021771408441259,3.066666666666667,1.307689243551538
4,B,2,1,N,17,4,2,2,3,3,3,0.32380505467436077,0.00216610433149772,8.4,2.400794755032026
5,B,2,2,N,17,4,2,2,3,3,3,1.6551860406222305,1.4734968194350193,5.333333333333333,4.683713235639083
6,B,2,3,N,17,4,2,2,3,3,3,0.04437099790777453,0.006067001298131933,9.666666666666666,3.0316637316587927
7,B,2,4,N,17,4,2,2,3,3,3,0.4960003498716902,1.7526067756662367,5.366666666666666,3.626641323830505
8,B,3,1,N,14,3,2,2,2,2,3,0.198288752550424,0.014517162103474012,5.933333333333334,2.800044536217734
9,B,3,2,N,14,3,2,2,2,2,3,0.8803186716889533,1.2187845652663174,6.266666666666667,4.072163068043844
10,B,3,3,N,14,3,2,2,2,2,3,0.014802609773862966,0.000418670724511021,8.833333333333334,2.915089203586718
11,B,3,4,N,14,3,2,2,2,2,3,0.41381174793852177,98.81885295732256,14.4,4.994374410858159
12,B,4,1,N,10,1,1,2,3,2,1,0.5297386187025661,0.14859333293689853,5.966666666666667,3.2514718169548535
13,B,4,2,N,10,1,1,2,3,2,1,0.7180942101249658,0.04596045310099074,6.166666666666667,4.624484201414888
14,B,4,3,N,10,1,1,2,3,2,1,0.589399242637427,7.375367955310153,4.633333333333334,4.921949237115694
15,B,4,4,N,10,1,1,2,3,2,1,1.691070277108379,0.727070912137221,6.933333333333334,6.079806453980797
16,B,5,1,N,12,2,2,1,3,2,2,3.6856906697226894,0.3604694435093945,4.9,6.547796606029506
17,B,5,2,N,12,2,2,1,3,2,2,0.04958336271479109,0.31839634446666965,5.9,5.157242215693615
18,B,5,3,N,12,2,2,1,3,2,2,5.166121998715969,0.9522190896056861,4.8,4.864197443271161
19,B,5,4,N,12,2,2,1,3,2,2,14.764510864327333,0.013488814836725545,3.466666666666667,4.96045214221099
20,C,1,1,I,26,4,4,4,5,4,5,0.6179704492773991,0.026722447542530572,2.4,2.8538781650401988
21,C,1,2,I,26,4,4,4,5,4,5,1.0465202168846424,1.5170384683411136,7.033333333333333,4.765537996936351
22,C,1,3,I,26,4,4,4,5,4,5,15.252058224841948,14.366058772242653,5.2,14.787392785414951
23,C,1,4,I,26,4,4,4,5,4,5,15.927221851438269,222.96111991797576,6.8,10.95480055108331
24,C,2,1,I,20,3,3,3,4,3,4,0.005435375732050449,0.027130985731001502,3.8333333333333335,3.840010227902671
25,C,2,2,I,20,3,3,3,4,3,4,0.00932804362121027,1.0056387039072725,5.966666666666667,9.393022489116348
26,C,2,3,I,20,3,3,3,4,3,4,0.24587095258317082,0.011393390110971723,2.533333333333333,3.5424928642469555
