,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,D,1,1,E,14,0.024927197647651347,0.024927197647651347,7.233333333333333,1.85755071665056
1,D,1,2,E,14,0.03387467702377157,0.03387467702377157,2.7666666666666666,3.8181074320825514
2,D,1,3,E,14,0.0021187886707619563,0.0021187886707619563,1.6333333333333333,1.812477148115657
3,D,2,1,E,18,0.11779786326736434,0.11779786326736434,3.1333333333333333,3.5297667085547246
4,D,2,2,E,18,0.048132725748759826,0.048132725748759826,2.0,2.1854686777100123
5,D,2,3,E,18,0.015770104878893843,0.015770104878893843,3.533333333333333,4.974728008387584
6,D,2,4,E,18,6.316789210242663e-06,6.316789210242663e-06,0.6,0.2036438097450477
7,D,3,1,E,14,0.3901765063200742,0.3901765063200742,3.466666666666667,2.5723948777705172
8,D,3,2,E,14,0.9148956386430573,0.9148956386430573,7.566666666666666,10.26906279007917
9,D,3,3,E,14,0.006431875302004501,0.006431875302004501,1.7666666666666666,2.963674347486217
10,D,3,4,E,14,0.001042544003362552,0.001042544003362552,1.3666666666666667,1.5520821248825398
11,D,4,1,E,8,0.022003091152572048,0.022003091152572048,3.7666666666666666,2.230132754362799
12,D,4,2,E,8,1.7716594790274016,1.7716594790274016,4.4,8.261817489247743
13,D,4,3,E,8,0.3753163893462338,0.3753163893462338,10.3,2.96887272164512
14,D,4,4,E,8,0.0006875191638490554,0.0006875191638490554,1.5,0.8890610866245279
15,D,5,1,E,15,0.6724605458731543,0.6724605458731543,2.033333333333333,5.603874138084654
16,D,5,2,E,15,34.979594433453784,34.979594433453784,1.8,3.9693076478443494
17,D,5,3,E,15,0.014111296854189572,0.014111296854189572,1.2,2.804764105877026
18,D,5,4,E,15,0.45252049433922725,0.45252049433922725,1.1666666666666667,4.189030374385936
19,E,4,1,E,19,0.010608700024720093,0.010608700024720093,3.066666666666667,1.8307132445469185
20,G,1,1,N,13,0.0066046226298831605,0.0066046226298831605,5.3,1.165443021286522
21,H,3,1,N,25,7.575361311748311e-07,7.575361311748311e-07,1.6,0.9119637255415562
22,H,4,1,N,19,5.414820123613105e-07,5.414820123613105e-07,1.0333333333333334,0.2976541062703834
23,H,4,2,N,19,3.869223331714215e-06,3.869223331714215e-06,1.4666666666666666,0.18053619211583258
