,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,F,3,I,10,2,1,1,2,1,3,376.61244350642176,102.19650918190959,90.7,88.42125882435143
1,B,4,N,8,1,2,1,1,1,2,60.0645144411452,29.678387644679418,60.63333333333333,70.92063082563668
2,E,2,E,19,3,3,3,3,3,4,152.6241923794153,84.2295554057662,43.2,51.016472312544394
3,G,3,N,10,1,2,1,2,2,2,121.95084684974202,50.28912908940632,80.46666666666667,97.17557786905962
4,E,5,E,21,3,4,3,4,3,4,112.12636693418862,67.41484833354014,41.86666666666667,41.86253959295725
5,D,2,E,16,3,2,2,3,3,3,104.80058609063003,41.35214824010995,41.333333333333336,56.07606064641882
6,C,1,I,20,4,3,3,3,3,4,236.71448024381755,166.85231308427706,40.86666666666667,78.23811993140711
7,C,4,I,20,4,3,3,3,3,4,234.67945100517244,89.24668471821582,46.06666666666667,62.21829336416783
8,C,3,I,18,3,3,3,3,3,3,55.061170069933944,89.12634155317586,35.733333333333334,65.21244488545119
9,E,3,E,22,3,4,3,4,4,4,238.66579527707182,83.00636638236277,47.06666666666667,51.242638380528646
10,D,5,E,18,3,3,3,3,3,3,50.92401801416536,33.526813857879304,41.833333333333336,42.786227282284564
11,C,5,I,20,4,3,3,3,3,4,67.2933175945347,149.77590385337496,38.3,59.09506594028944
12,F,5,I,15,2,3,2,3,2,3,1913.2040793511146,71.54198314958391,61.6,93.02842734131995
13,I,3,N,8,2,1,1,2,1,1,188.1692699928499,51.54884138031549,68.73333333333333,76.6394140083306
14,C,2,I,22,4,3,3,4,4,4,147.4870741001273,80.11598414085275,35.56666666666667,73.94041569422228
15,D,4,E,19,3,3,3,4,3,3,71.13082833765306,44.075619971870445,34.93333333333333,42.81286370199574
16,F,2,I,20,4,3,3,3,3,4,53.3619487183664,29.02111288427226,33.7,41.41788730519917
17,H,3,N,12,3,2,1,3,2,1,131.33203394329456,41.71740203654968,54.46666666666667,47.422406180334015
18,G,5,N,11,1,2,1,2,2,3,133.7536274430693,55.46172027426195,56.5,76.20642136981292
19,G,4,N,6,1,1,1,1,1,1,149.6278819428608,44.626727386639615,128.4,143.0750966406778
20,B,2,N,9,1,1,2,2,1,2,51.63322494332866,62.67505593669182,49.3,37.219093151740296
21,I,5,N,6,1,1,1,1,1,1,197.95383704191963,66.99644632929711,88.46666666666667,108.40505465724
22,E,4,E,18,2,3,3,4,3,3,137.72546125530164,72.67384740007559,45.666666666666664,61.7145472351086
23,F,4,I,10,2,1,1,2,1,3,68.06556286376468,23.251219427730486,60.96666666666667,65.76575637556034
24,H,4,N,22,3,4,3,4,4,4,291.1928129549178,140.02238583042973,75.0,50.59981196462126
25,D,1,E,14,3,1,2,3,2,3,24.61775381413157,24.952659105059613,46.6,39.47963985955858
26,I,2,N,8,1,1,1,2,1,2,237.09952804717508,86.07645889944806,80.83333333333333,126.07336999594955
27,I,1,N,9,2,1,1,1,1,3,168.57875232898397,53.78677181986783,77.6,96.405364682524
28,E,1,E,18,4,2,2,3,3,4,111.3504690775213,75.8467711587649,53.03333333333333,64.47429216554612
29,B,3,N,11,1,2,2,2,2,2,47.38226362045324,26.793810721943288,53.7,42.20191210954645
30,D,3,E,12,1,2,2,2,2,3,94.60075358492126,47.83809987639832,46.7,55.85991501703003
31,B,1,N,13,2,2,2,2,2,3,22.01994582626202,11.733984410616554,57.8,40.20829092291298
32,F,1,I,16,3,2,2,3,3,3,38.80831298651173,17.737487688030544,30.633333333333333,35.34623110985249
33,G,2,N,11,2,2,1,2,2,2,80.49009057350854,27.067348194324783,76.03333333333333,77.37144262302094
34,H,5,N,18,3,3,3,3,3,3,126.35857710193994,51.8623058395631,65.03333333333333,55.75691971013454
35,G,1,N,9,2,2,1,1,1,2,204.06521715697937,52.98632049582196,78.93333333333334,120.06356173349168
