,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,C,3,I,7,1,1,1,2,1,1,83.78056252310739,40.03682577690939,0.47787726139779607,1281.9613680992447,413.9730324678775,0.3229216127484968,119.03333333333333,136.03690392360693,289.0189386772208
1,I,2,N,12,1,3,2,3,2,1,239.95164214058008,70.85443462492597,0.2952863084946699,605.7943734039999,335.91541453367546,0.5545040186592421,114.73333333333333,120.62686911443625,202.997639988656
2,F,1,I,22,3,4,3,4,4,4,122.81310548698909,34.93770352958266,0.28447862621049014,1394.2741488354998,712.9018015358671,0.5113067628280162,62.333333333333336,65.30076921664305,156.96886557877093
3,H,5,N,21,3,4,3,4,3,4,85.68793047651984,47.33767665916071,0.552442758226401,668.0721094082555,564.2719330961087,0.8446272867099813,110.5,78.69688134832741,180.44936971496554
4,D,1,E,9,1,1,1,2,1,3,66.64508821376674,50.70243441520791,0.7607827639537045,588.1994366563071,288.65584606066517,0.49074485297293935,155.0,139.98743011875203,224.01020204688092
5,B,3,N,14,2,2,2,3,2,3,74.66754519218115,35.80599899735051,0.47953898718904114,374.163335782291,253.27790751592454,0.676918028289377,107.9,61.853765952054836,107.29478272282148
6,B,4,N,19,3,3,3,4,3,3,41.30375724106126,29.441124458768034,0.7127953102895869,409.5892984073724,349.63610030966623,0.85362606315442,96.23333333333333,47.446444696003745,98.77656337882416
7,I,5,N,23,4,4,3,4,4,4,157.26617609364894,36.87240844498676,0.23445860617244207,587.764734559026,192.054624072116,0.3267542483919287,113.73333333333333,106.18914871580101,189.70800249656637
8,I,3,N,14,2,2,2,3,2,3,141.60413381302632,41.470663897206144,0.2928633704434355,795.0213949117035,285.2069441548447,0.358741218764962,158.66666666666666,137.06395137342645,261.38644792871645
9,E,1,E,13,2,2,2,3,2,2,195.63520938698582,59.64184222229881,0.3048625163598304,1160.0159703138083,422.1440809439852,0.3639123009916721,108.5,100.68704880015753,200.40827705767427
10,H,4,N,20,3,3,3,4,3,4,64.83498772919913,27.552411038232663,0.42496207685444104,491.3270354351484,257.20005531738923,0.5234803639282695,121.73333333333333,86.30612374870383,187.1627177342064
11,B,1,N,8,1,1,1,2,1,2,121.0550422934275,89.01093630337498,0.7352930916138112,659.7311903726259,455.7427521592834,0.6908006758053582,114.56666666666666,87.74177088561069,159.3932722517695
12,B,2,N,8,1,1,1,2,1,2,55.65958291226037,32.418869433881625,0.5824490184374088,878.8824107124362,435.46229562169435,0.49547276212832797,105.86666666666666,66.8605689506299,136.83286875315204
13,D,3,E,10,1,2,1,3,2,1,81.37076317302287,34.75937925060433,0.4271728308200043,310.7215343031841,204.46023892223548,0.6580176020974942,107.76666666666667,109.42572975398086,184.12958786466152
14,D,4,E,12,2,2,1,3,2,2,67.02000393986182,32.95343824962597,0.4916955582275949,578.2972500023399,344.5990765861504,0.5958857258697946,90.3,105.97509462692315,167.74111224050446
15,C,5,I,12,1,2,1,3,2,3,218.26550573764592,165.71827467378887,0.7592508679451229,1643.6874873954177,691.5266928737855,0.4207166497139773,85.2,95.55636313598949,185.2519235075401
16,C,2,I,9,1,1,1,3,1,2,165.36966600794628,36.26272101572851,0.21928278559857542,1185.0657278132328,543.0999641280064,0.458286786447004,120.4,144.55161128833964,234.0196325181584
