,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,5,N,12,2,2,1,3,2,2,54.906377240532144,38.37197790398883,94.9,101.11844361252797
1,E,1,E,17,3,2,3,3,3,3,50.349331271246406,24.745595405920074,119.73333333333333,74.55305826835125
2,B,1,N,13,3,2,1,2,2,3,72.00019800620936,32.641977151408526,187.8,182.63144103977976
3,C,4,I,30,5,5,5,5,5,5,65.71145998338157,37.41006699480548,82.6,104.48416722092995
4,E,3,E,19,3,2,3,4,3,4,29.15526249338794,21.11989939134327,86.8,63.46976989640665
5,H,3,N,25,4,4,4,5,4,4,230.3707221816404,28.86486657102455,113.13333333333334,127.19686252673728
6,C,3,I,26,4,4,4,5,4,5,80.37795799676026,38.63884076239106,105.33333333333333,108.80152405015177
7,D,2,E,18,2,3,3,4,3,3,117.13861285215455,30.12333482617482,73.76666666666667,109.60855576711282
8,I,2,N,23,4,4,3,4,4,4,82.58878475919164,37.742729889430294,147.03333333333333,133.84535780809495
9,G,3,N,13,3,2,1,2,2,3,45.417899720538585,23.47329880590248,173.66666666666666,117.85361263341076
10,D,1,E,14,2,2,2,3,2,3,52.02218443584799,29.91851264707405,93.3,117.14791541189132
11,F,4,I,24,3,4,4,5,4,4,52.72594360903499,21.736904316760747,79.06666666666666,80.9016850362979
12,H,4,N,19,3,3,3,4,3,3,133.69043568694946,40.253373132295785,136.43333333333334,143.34831810892527
13,C,2,I,20,3,3,3,4,3,4,75.7126671109975,21.684836395203593,108.86666666666666,116.6008874707502
14,F,3,I,29,5,5,4,5,5,5,67.39740055877472,23.35016970422656,75.46666666666667,84.64436036782274
15,C,5,I,17,3,2,2,3,3,4,63.548606214925286,22.057599239742803,85.86666666666666,101.68534238832767
16,D,4,E,8,1,1,1,2,1,2,184.7820323220883,51.59537115962442,91.36666666666666,169.66275979422042
17,B,3,N,14,3,2,2,2,2,3,35.350508027797815,23.850043804772085,114.36666666666666,77.76803777006045
18,C,1,I,26,4,4,4,5,4,5,69.88352321990101,22.298374150263548,105.96666666666667,133.3282113399516
19,G,4,N,21,4,3,3,4,3,4,32.71761489436653,22.892451814504085,88.3,55.34178211271616
20,D,3,E,14,2,2,2,3,2,3,96.01161052033947,39.708377581566324,77.2,136.09553081007775
21,H,1,N,14,2,2,2,3,2,3,67.66005877030321,32.85195002994146,188.43333333333334,170.36507453970177
22,F,5,I,29,4,5,5,5,5,5,41.16092683710758,19.585803730464445,67.93333333333334,74.48162545448521
23,E,4,E,19,3,2,3,4,3,4,36.41147822807948,17.935035792317834,97.5,74.88548531271718
24,E,2,E,20,4,2,3,4,3,4,41.51513270788082,20.745406319937594,98.23333333333333,72.34807701546809
25,B,4,N,10,1,1,2,3,2,1,41.99904156806198,22.38984689635251,108.53333333333333,87.70105795105826
26,I,4,N,23,4,4,3,4,4,4,72.86840302031183,32.82368070643564,124.3,115.88464214080162
27,G,2,N,18,3,2,2,4,3,4,37.57333022427229,13.203148079216293,112.6,66.00150961167144
28,G,1,N,13,3,1,1,3,1,4,191.57864296005468,19.209306100995157,300.3666666666667,199.27176455021055
29,H,5,N,21,4,3,3,4,3,4,84.4045828054667,25.577130370680088,114.5,116.6378195587505
30,I,3,N,17,3,2,2,3,3,4,97.16773562213332,27.314229058489715,142.76666666666668,122.89052433096352
31,I,5,N,19,3,3,3,4,3,3,143.7668409480778,27.47618165093849,125.73333333333333,123.37359878923603
32,F,2,I,26,4,4,4,5,4,5,60.34936836056603,18.279002214095776,79.13333333333334,75.52551053962672
33,F,1,I,24,4,4,3,4,4,5,63.464921947458684,29.478139979006297,94.56666666666666,108.06662389289015
34,E,5,E,19,3,2,3,4,3,4,29.763689529688623,20.16652429293232,82.73333333333333,56.22395867161892
35,G,5,N,23,4,3,4,4,4,4,16.65772238933466,10.125779633806099,81.76666666666667,46.89435049277827
36,B,2,N,17,4,2,2,3,3,3,38.08192158012286,23.33733109234083,114.8,94.77763070510679
37,I,1,N,17,3,3,2,3,3,3,78.52805233855693,23.252311182526,143.83333333333334,128.9088144413625
38,D,5,E,15,2,2,3,3,2,3,68.85679865319042,24.072220256946697,59.266666666666666,98.44079275161975
