,User,Trial,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,5,N,12,2,2,1,3,2,2,125.56504334485832,31.69319946252229,94.9,147.05777816809257
1,E,1,E,17,3,2,3,3,3,3,372.87164079308985,37.844579617784,119.73333333333333,111.99569352260943
2,B,1,N,13,3,2,1,2,2,3,126.64431565247375,28.260920804611146,187.8,176.08337908079568
3,C,4,I,30,5,5,5,5,5,5,435.43993377100526,80.73696016747094,82.6,174.41540578503896
4,E,3,E,19,3,2,3,4,3,4,3.436719842613442,27.636598603868602,86.8,82.54099459412656
5,H,3,N,25,4,4,4,5,4,4,100.36665975963083,57.07297120303255,113.13333333333334,124.49628625351815
6,C,3,I,26,4,4,4,5,4,5,466.6332072794162,100.69659925348348,105.33333333333333,180.87454007580496
7,D,2,E,18,2,3,3,4,3,3,95.8279221936135,37.70811361901506,73.76666666666667,74.31914210839436
8,I,2,N,23,4,4,3,4,4,4,200.5220518784222,66.74062923698395,147.03333333333333,162.89249020804596
9,G,3,N,13,3,2,1,2,2,3,182.90468554456098,35.818698095772895,173.66666666666666,157.59465100224426
10,D,1,E,14,2,2,2,3,2,3,59.1038741576678,25.83734107387434,93.3,82.31749693653629
11,F,4,I,24,3,4,4,5,4,4,410.9304922233149,42.65796071174477,79.06666666666666,144.99487851107105
12,H,4,N,19,3,3,3,4,3,3,179.49728683473035,76.790708491899,136.43333333333334,146.33190224741085
13,C,2,I,20,3,3,3,4,3,4,278.97009353334903,31.644861396382083,108.86666666666666,146.47213984383944
14,F,3,I,29,5,5,4,5,5,5,289.47670367025387,51.41744759358743,75.46666666666667,139.33688486746183
15,C,5,I,17,3,2,2,3,3,4,373.4038468630622,61.482377031645015,85.86666666666666,160.34668735143677
16,D,4,E,8,1,1,1,2,1,2,106.76053913752129,41.22323893229892,91.36666666666666,108.07306806772083
17,B,3,N,14,3,2,2,2,2,3,169.4869347005094,47.21435001154002,114.36666666666666,124.859609481506
18,C,1,I,26,4,4,4,5,4,5,372.00564992436534,47.35851317170795,105.96666666666667,174.88534750561735
19,G,4,N,21,4,3,3,4,3,4,273.75200921278775,46.29617847206074,88.3,114.81711723556786
20,D,3,E,14,2,2,2,3,2,3,49.20665777711302,32.42332160110456,77.2,81.78733987193351
21,H,1,N,14,2,2,2,3,2,3,173.2917254514059,67.56625266869334,188.43333333333334,201.5542437089272
22,F,5,I,29,4,5,5,5,5,5,370.1183205627017,34.69149022871817,67.93333333333334,138.80838482164117
23,E,4,E,19,3,2,3,4,3,4,76.84397753170495,23.87119917522602,97.5,88.3962463650522
24,E,2,E,20,4,2,3,4,3,4,291.7101647375314,29.809622082808325,98.23333333333333,100.96931815125697
25,B,4,N,10,1,1,2,3,2,1,244.96005701648787,61.092713028989195,108.53333333333333,149.66514640309774
26,I,4,N,23,4,4,3,4,4,4,510.2196151722017,103.09039800204441,124.3,178.06617039106615
27,G,2,N,18,3,2,2,4,3,4,154.44341259048517,38.260500427892964,112.6,143.44241480218906
28,G,1,N,13,3,1,1,3,1,4,185.73733849980295,31.20508974235646,300.3666666666667,258.27379820341616
29,H,5,N,21,4,3,3,4,3,4,146.06114134847948,55.88833462063392,114.5,119.81413427792626
30,I,3,N,17,3,2,2,3,3,4,146.5101735941719,42.71897379924204,142.76666666666668,138.95268575130532
31,I,5,N,19,3,3,3,4,3,3,229.2719605640573,65.05026751248562,125.73333333333333,186.25240095957048
32,F,2,I,26,4,4,4,5,4,5,161.75189772486755,31.812107582921126,79.13333333333334,131.990293334304
33,F,1,I,24,4,4,3,4,4,5,234.36957695863066,43.11211816045937,94.56666666666666,159.88689096662475
34,E,5,E,19,3,2,3,4,3,4,115.79541406493756,31.812936402782686,82.73333333333333,88.46116167371135
35,G,5,N,23,4,3,4,4,4,4,134.96712594181386,30.745239764266056,81.76666666666667,93.1055900512204
36,B,2,N,17,4,2,2,3,3,3,128.62108122424019,34.83532789378916,114.8,116.49217922091476
37,I,1,N,17,3,3,2,3,3,3,108.06231889763716,28.41006081156001,143.83333333333334,130.78025892132965
38,D,5,E,15,2,2,3,3,2,3,86.81120487205432,19.421862258588455,59.266666666666666,72.90797546570612
