frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
238,0.171143,-0.018775,0.286185,-0.095337,-0.467174,-0.879036,-0.138652,-0.868212,0.476398,-0.985637,0.167875,0.019095,-0.00072,-0.011191,-0.013952,0.130424,-0.055035,-0.026773,-1.917692,-0.144131,-0.030022,0.28095,-0.410654,-0.595635,0.690343,0.910336,-0.226323,0.34641,-0.049588,0.771433,0.634268,-0.017222,0.033325,0.070846,0.344546,-0.54343,-0.202871,-1.408051,0.054553,0.026924,-0.028247,0.459235,0.619731,0.636424,-0.886938,0.28002,0.367327,0.049432,-0.733158,0.678258,-0.00866,0.016632,0.035395,0.281693,-0.482771,-0.172543,-0.995707,0.08463,0.032924,-0.074668,0.176836,0.432344,-0.884197,0.038274,0.894655,0.445113,0.983495,-0.112554,0.14166,-0.00037,-0.005931,-0.007385,0.437683,-0.206005,-0.053098,-1.035118
239,0.171184,-0.019269,0.285648,-0.086404,-0.468155,-0.879438,-0.123385,-0.870908,0.475676,-0.988497,0.150186,0.018585,-0.000751,-0.011649,-0.014601,-0.001457,0.032082,-0.047853,-1.917776,-0.14512,-0.028637,0.283482,-0.413789,-0.605492,0.679816,0.908678,-0.230315,0.348127,-0.053707,0.762531,0.644612,-0.033533,0.040362,0.058142,0.035755,-0.097159,0.062429,-1.407917,0.054058,0.027621,-0.026975,0.461188,0.630311,0.62451,-0.885661,0.284232,0.367171,0.053926,-0.72244,0.689327,-0.016806,0.020047,0.02891,-0.01308,-0.046755,0.083974,-0.996687,0.08465,0.032678,-0.074935,0.167927,0.43282,-0.885701,0.023006,0.896495,0.442456,0.98553,-0.094677,0.140588,-0.000347,-0.005584,-0.00699,0.002017,-0.092428,0.139984,-1.024667
240,0.171204,-0.019884,0.285224,-0.072546,-0.470505,-0.879436,-0.098098,-0.874111,0.475688,-0.992453,0.12136,0.018356,-0.000683,-0.010575,-0.013322,0.011067,0.009647,-0.024181,-1.917777,-0.146348,-0.027011,0.285698,-0.419271,-0.610771,0.671686,0.905958,-0.234688,0.352273,-0.057005,0.756971,0.650853,-0.033274,0.040976,0.057669,-0.762081,-1.983394,1.918953,-1.408494,0.053457,0.028415,-0.025893,0.465032,0.633598,0.618302,-0.883513,0.287873,0.369504,0.056125,-0.718109,0.693663,-0.017291,0.026193,0.024999,0.038344,-0.064014,0.110275,-0.99636,0.084661,0.032368,-0.07515,0.154089,0.434426,-0.887429,-0.002206,0.898304,0.439367,0.988054,-0.065744,0.139377,-0.000262,-0.011284,-0.003121,0.000513,0.026906,-0.068525,-1.022055
241,0.171127,-0.020544,0.284941,-0.061443,-0.472138,-0.879407,-0.078232,-0.876076,0.475755,-0.994977,0.098611,0.01799,-0.015665,-0.020513,-0.003369,-0.032947,-0.050385,0.069894,-1.917755,-0.147639,-0.025094,0.287807,-0.424832,-0.613127,0.666021,0.903244,-0.238939,0.356359,-0.058832,0.75373,0.654441,-0.034192,0.052918,0.049316,0.044103,-0.072034,0.105505,-1.408385,0.052824,0.029353,-0.024857,0.47208,0.636212,0.610224,-0.879519,0.292886,0.375051,0.059886,-0.713758,0.697827,-0.01715,0.026625,0.024916,0.045893,-0.069348,0.105143,-0.996034,0.084628,0.032041,-0.075296,0.143054,0.435529,-0.888734,-0.022038,0.899149,0.437086,0.989469,-0.042941,0.138225,-0.000169,-0.009778,-0.001245,-0.038358,0.031765,-0.043369,-1.015033
242,0.171052,-0.020823,0.284856,-0.055803,-0.47279,-0.879432,-0.068272,-0.876929,0.475716,-0.996049,0.087169,0.017755,-0.015498,-0.017747,0.000118,-0.037048,0.043952,-0.071451,-1.917619,-0.148235,-0.0242,0.288781,-0.42975,-0.615823,0.660354,0.900689,-0.241681,0.360948,-0.062155,0.750651,0.657664,-0.03401,0.052399,0.048068,0.023416,-0.124208,0.154738,-1.408497,0.0525,0.029836,-0.024329,0.477023,0.63841,0.604053,-0.876596,0.295964,0.379452,0.063468,-0.710519,0.700809,-0.017039,0.026142,0.023984,0.025112,-0.122028,0.154332,-0.996034,0.08459,0.031897,-0.075344,0.137369,0.435783,-0.889506,-0.031931,0.899501,0.435748,0.990004,-0.031456,0.137479,-0.000108,-0.008791,-1e-06,-0.036518,0.015261,-0.019556,-1.013237
243,0.170881,-0.021257,0.284744,-0.050173,-0.473418,-0.879434,-0.058565,-0.877626,0.475725,-0.996973,0.075956,0.017405,-0.000125,-0.015868,0.002134,-0.036381,0.029391,-0.041905,-1.917784,-0.149347,-0.022354,0.290595,-0.434752,-0.617949,0.655074,0.898173,-0.245704,0.364485,-0.063743,0.747593,0.660988,-0.018359,0.04944,0.04131,0.044169,-0.072041,0.110358,-1.408271,0.051944,0.030765,-0.023416,0.481876,0.639986,0.598509,-0.873808,0.300131,0.382597,0.065226,-0.707346,0.70385,-0.009203,0.024532,0.020441,0.0454,-0.070352,0.109931,-0.995381,0.084499,0.03168,-0.0754,0.131794,0.436129,-0.89018,-0.041554,0.899655,0.434619,0.990405,-0.020289,0.136692,-0.000114,-0.001804,-0.002285,-0.001694,0.001556,-0.000672,-1.008175
244,0.170684,-0.021448,0.284756,-0.047358,-0.473752,-0.87941,-0.053761,-0.877906,0.475776,-0.997385,0.070394,0.017204,-8e-06,-0.000125,-0.000159,1.458024,-0.788817,-0.028524,-1.917745,-0.150289,-0.020733,0.292123,-0.43885,-0.616958,0.653272,0.896139,-0.248166,0.367807,-0.06426,0.747597,0.660933,-0.017872,0.043022,0.032677,0.019116,-0.042784,0.131224,-1.408131,0.05148,0.031563,-0.022658,0.485889,0.638548,0.596797,-0.871536,0.302529,0.385877,0.065853,-0.707624,0.703513,-0.008925,0.020758,0.015444,0.037099,-0.040295,0.101746,-0.994238,0.0844,0.031577,-0.075395,0.129872,0.436304,-0.890376,-0.044705,0.899645,0.434325,0.990521,-0.016602,0.136344,-7.8e-05,0.000146,-7.4e-05,4.854701,-2.641399,-0.100873,-1.011931
245,0.170595,-0.02144,0.284818,-0.047321,-0.473742,-0.879417,-0.05384,-0.877907,0.475765,-0.997382,0.070446,0.017135,0.000106,0.001585,0.002015,0.0,-0.0,-0.0,-1.917882,-0.150706,-0.020036,0.292758,-0.441239,-0.615445,0.65309,0.894927,-0.248885,0.370264,-0.064788,0.748603,0.659742,-0.0326,0.03678,0.026749,-0.151843,0.288529,0.01348,-1.407929,0.051283,0.031907,-0.022348,0.487565,0.638,0.596017,-0.870588,0.303661,0.387124,0.065998,-0.707634,0.703489,-0.008807,0.018989,0.013164,-0.332113,0.337413,0.349427,-0.997014,0.084356,0.03158,-0.075365,0.129005,0.436325,-0.890492,-0.04617,0.899665,0.434131,0.990567,-0.014891,0.136206,8.5e-05,0.001268,0.001618,-0.000398,-0.015211,0.023889,-1.013564
246,0.170442,-0.021378,0.284985,-0.044317,-0.473839,-0.879521,-0.048776,-0.878303,0.47558,-0.997784,0.06456,0.01691,0.000213,0.003161,0.004013,0.000741,-0.015974,0.023976,-1.917544,-0.151285,-0.018906,0.293634,-0.445683,-0.612284,0.653043,0.892654,-0.250077,0.374918,-0.065695,0.750793,0.657159,-0.000936,0.019718,0.023603,-0.146535,0.130754,0.199391,-1.408426,0.050981,0.032478,-0.021901,0.492024,0.63434,0.596259,-0.868015,0.304905,0.391895,0.066793,-0.710384,0.700637,-0.008541,0.014545,0.007659,-0.256487,0.275611,0.276972,-0.993421,0.08428,0.031615,-0.075277,0.126048,0.436255,-0.89095,-0.051163,0.899777,0.433339,0.990703,-0.009037,0.135735,0.000109,0.001647,0.002095,-0.000171,-0.015469,0.024026,-1.018952
247,0.170314,-0.02134,0.28522,-0.044183,-0.473723,-0.879591,-0.049067,-0.878352,0.47546,-0.997776,0.06475,0.016662,0.000225,0.003325,0.004215,-0.0,-0.0,-0.0,-1.917938,-0.151725,-0.017974,0.293992,-0.44851,-0.610852,0.652449,0.89125,-0.251794,0.377103,-0.065517,0.751384,0.6565,-0.001654,0.022242,0.005139,0.035808,-0.022366,0.044838,-1.407676,0.050755,0.032955,-0.021708,0.495412,0.632023,0.595914,-0.866095,0.306737,0.394703,0.066672,-0.711659,0.699354,-0.00888,0.015988,-0.001367,0.091189,-0.047633,0.050061,-0.987379,0.084216,0.031634,-0.07516,0.125955,0.436141,-0.891019,-0.050834,0.89983,0.433268,0.990732,-0.009278,0.135509,0.000115,0.001736,0.002204,-0.000622,0.000319,5.6e-05,-1.016013
